scope,sample_count,sample_index,scene_name,sample_token,modality,channel,band_label,band_lower_m,band_upper_m,point_count,denominator_points,denominator_scope,proportion_of_denominator,max_observed_range_m,coordinate_frame
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,radar,RADAR_LEFT_FRONT,0-50 m,0,50,192,800,all returns in this sample and modality,0.240000,147.57,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,radar,RADAR_LEFT_FRONT,50-100 m,50,100,345,800,all returns in this sample and modality,0.431250,147.57,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,radar,RADAR_LEFT_FRONT,100-150 m,100,150,263,800,all returns in this sample and modality,0.328750,147.57,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,radar,RADAR_LEFT_FRONT,150-400 m,150,400,0,800,all returns in this sample and modality,0.000000,147.57,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,800,all returns in this sample and modality,0.000000,147.57,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,17177,17180,all returns in this sample and modality,0.999825,81.16,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,3,17180,all returns in this sample and modality,0.000175,81.16,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,17180,all returns in this sample and modality,0.000000,81.16,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,17180,all returns in this sample and modality,0.000000,81.16,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,17180,all returns in this sample and modality,0.000000,81.16,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,radar,RADAR_LEFT_FRONT,0-50 m,0,50,199,534,all returns in this sample and modality,0.372659,180.41,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,radar,RADAR_LEFT_FRONT,50-100 m,50,100,254,534,all returns in this sample and modality,0.475655,180.41,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,radar,RADAR_LEFT_FRONT,100-150 m,100,150,52,534,all returns in this sample and modality,0.097378,180.41,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,radar,RADAR_LEFT_FRONT,150-400 m,150,400,29,534,all returns in this sample and modality,0.054307,180.41,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,534,all returns in this sample and modality,0.000000,180.41,sensor (per-sensor frame as stored; no ego/global transform applied)
