index,scene_name,scene_token,sample_token,sample_timestamp,radar_channel,radar_sample_data_token,lidar_channel,lidar_sample_data_token,annotation_count,coordinate_frame,inclusion_rule,record_status
1,scene-0044384af3d8494e913fb8b14915239e-3,044c648ac12345f1aedf33c9f91cdc5a,32d2bcf46e734dffb14fe2e0a823d059,1695473372698161,RADAR_LEFT_FRONT,1e6375db490e4563b55fce389b06a53b,LIDAR_TOP_FRONT,1ac1e8bcd1ed4493a73c011dc2441713,36,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,37355c547904491481e47accc094d567,80ad351eb99e4b28bfbec1105b6ac8eb,1696700124497510,RADAR_LEFT_FRONT,21395ca433e2425786350d6c186d60a5,LIDAR_TOP_FRONT,5b37cf65c3b244dabcaaaf3047ff3346,31,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
3,scene-23160c4bff134cdd86b96ee822b4aca9-14,81f0a41d0a7a44e0ae8f8ea0ade95fdf,1eb6c0c7adad4cf29e8da13dcf8ef16b,1704027655998290,RADAR_LEFT_FRONT,9339504773c14bc3a6840b0db587ccf1,LIDAR_TOP_FRONT,377b02d2d28d47f69e867bc651d0b784,94,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,b71e2b6ba3fa4279b36bfd4b9720251e,454fa18d64d94009914137ce901c8e7c,1692868171698780,RADAR_LEFT_FRONT,7938cff40b3d4c0b84fa682c3ee82564,LIDAR_TOP_FRONT,27c9863d704d4842b2231bb60d8e38a5,48,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,fb0a3d4e84c74b07ba0997891ed12f0b,c697554e47f54d808bc04430ee0c096a,1693037629798006,RADAR_LEFT_FRONT,ed5966fff1f14aa3ad4c51db88724205,LIDAR_TOP_FRONT,b97069c9a1384affa2179a3f62841800,65,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
6,scene-6be74229febb4aad9e7ae1a37217b231-4,9fb76bae00124c85aaf4d6d0e4dbf194,a5d7d3dc07d345cfb5649e4fac1cdd87,1694938792997212,RADAR_LEFT_FRONT,00ab2f29f509434e8b51225f5975e914,LIDAR_TOP_FRONT,f012f948abb54deaa90337b1d3ecd325,15,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
7,scene-a6a87db5125846bda72ccfc9931ee153-11,38d4ba33fce94499be34f32d245113ed,fa2acde00fe3439786ccd631c78fd641,1706716774798166,RADAR_LEFT_FRONT,b9bb4e5ba7b3474ca344c2a04bcbbc3c,LIDAR_TOP_FRONT,70cec521b5624bc7ad381af2ead0279a,81,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
8,scene-b13542304b244af585a646082c57a079-1,d0b02e67e97a435192bf43f7bb0f902c,9d75f3c77f384353b5477c981fb46011,1701174170498177,RADAR_LEFT_FRONT,f8ce7213518f4c6bb10e53a98967e8e0,LIDAR_TOP_FRONT,46217ffe33f44894bfb0a98ce82ae83f,64,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
9,scene-b201f6e737e34c2d87830fc1e2911516-6,b13b6eb5c4bf4479a631372af53baf28,e9f4a50a1b0a41a492edf7a4870f594c,1699973974898060,RADAR_LEFT_FRONT,f80ed32ae3b7488d8a140ef4b2e6d509,LIDAR_TOP_FRONT,4c2c93c7057441d78ac6d2e442b06424,62,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
10,scene-fb64d203d417452f830ca73efed80c41-11,073e6bb18188424ea9981e3845df54a6,e43ae3c9b670423d89fe92170f0c87e9,1706541302898485,RADAR_LEFT_FRONT,5fe70a63709447c39e5fbb1979ba3fbb,LIDAR_TOP_FRONT,34e5874fe14e4ee19498209bdf4d0872,89,sensor (per-sensor frame as stored; no ego/global transform applied),"First annotated sample of every scene in MAN TruckScenes v1.2-mini (scene['first_sample_token']), in devkit scene-table order. All scenes are included; none are filtered on weather, location or content.",complete
