channel,modality,x_m,y_m,z_m,mount_group,inferred_model,rated_range_m_at_10pct,evidence
CAMERA_LEFT_BACK,camera,5.050,1.369,2.116,corner module,not applicable,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
CAMERA_LEFT_FRONT,camera,5.218,1.289,2.111,corner module,not applicable,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
CAMERA_RIGHT_BACK,camera,5.049,-1.398,2.090,corner module,not applicable,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
CAMERA_RIGHT_FRONT,camera,5.227,-1.311,2.093,corner module,not applicable,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
XSENSE_CABIN,imu,3.240,-0.061,1.909,cab front,not applicable,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
XSENSE_CHASSIS,imu,1.568,-0.013,0.927,unclassified,not applicable,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
LIDAR_LEFT,lidar,5.115,1.279,2.191,corner module,Hesai Pandar64,200,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
LIDAR_REAR,lidar,-0.862,0.000,0.569,trailer rear,Ouster OS0,35,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
LIDAR_RIGHT,lidar,5.128,-1.299,2.189,corner module,Hesai Pandar64,200,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
LIDAR_TOP_FRONT,lidar,5.008,-0.014,3.234,cabin roof,Ouster OS0,35,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
LIDAR_TOP_LEFT,lidar,4.066,1.407,3.320,cabin roof,Ouster OS0,35,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
LIDAR_TOP_RIGHT,lidar,4.084,-1.452,3.303,cabin roof,Ouster OS0,35,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
RADAR_LEFT_BACK,radar,5.013,1.366,2.018,corner module,Continental ARS 548 RDI,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
RADAR_LEFT_FRONT,radar,5.259,1.227,2.013,corner module,Continental ARS 548 RDI,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
RADAR_LEFT_SIDE,radar,5.194,1.400,2.015,corner module,Continental ARS 548 RDI,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
RADAR_RIGHT_BACK,radar,5.006,-1.396,2.002,corner module,Continental ARS 548 RDI,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
RADAR_RIGHT_FRONT,radar,5.251,-1.255,2.001,corner module,Continental ARS 548 RDI,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
RADAR_RIGHT_SIDE,radar,5.188,-1.429,2.001,corner module,Continental ARS 548 RDI,,position measured from calibrated_sensor.json; model inferred from MAN TruckScenes paper (NeurIPS 2024) sensor placement
