model,band_m,observations,tracks,scenes,centers_inside_xy,centers_inside_xyz
lradset_pointpillars_lidar_checkpoint,0-50,895,82,5,479,479
lradset_pointpillars_lidar_checkpoint,50-100,347,74,5,100,100
lradset_pointpillars_lidar_checkpoint,100-150,309,66,4,0,0
lradset_pointpillars_lidar_checkpoint,150-200,283,65,4,0,0
lradset_pointpillars_lidar_checkpoint,200-250,173,51,4,0,0
lradset_pointpillars_lidar_checkpoint,250-300,166,44,4,0,0
lradset_pointpillars_lidar_checkpoint,300-400,165,33,4,0,0
lradset_pointpillars_lidar_checkpoint,200-400,504,55,4,0,0
lradset_pointpillars_radar_checkpoint,0-50,895,82,5,479,479
lradset_pointpillars_radar_checkpoint,50-100,347,74,5,100,100
lradset_pointpillars_radar_checkpoint,100-150,309,66,4,0,0
lradset_pointpillars_radar_checkpoint,150-200,283,65,4,0,0
lradset_pointpillars_radar_checkpoint,200-250,173,51,4,0,0
lradset_pointpillars_radar_checkpoint,250-300,166,44,4,0,0
lradset_pointpillars_radar_checkpoint,300-400,165,33,4,0,0
lradset_pointpillars_radar_checkpoint,200-400,504,55,4,0,0
lradset_lidar_long_config,0-50,895,82,5,479,479
lradset_lidar_long_config,50-100,347,74,5,217,217
lradset_lidar_long_config,100-150,309,66,4,175,175
lradset_lidar_long_config,150-200,283,65,4,5,5
lradset_lidar_long_config,200-250,173,51,4,0,0
lradset_lidar_long_config,250-300,166,44,4,0,0
lradset_lidar_long_config,300-400,165,33,4,0,0
lradset_lidar_long_config,200-400,504,55,4,0,0
lradset_radar_long_config,0-50,895,82,5,479,479
lradset_radar_long_config,50-100,347,74,5,217,217
lradset_radar_long_config,100-150,309,66,4,175,175
lradset_radar_long_config,150-200,283,65,4,5,5
lradset_radar_long_config,200-250,173,51,4,0,0
lradset_radar_long_config,250-300,166,44,4,0,0
lradset_radar_long_config,300-400,165,33,4,0,0
lradset_radar_long_config,200-400,504,55,4,0,0
truckdrive_lidar_fullrange_config,0-50,895,82,5,895,895
truckdrive_lidar_fullrange_config,50-100,347,74,5,347,347
truckdrive_lidar_fullrange_config,100-150,309,66,4,309,309
truckdrive_lidar_fullrange_config,150-200,283,65,4,208,208
truckdrive_lidar_fullrange_config,200-250,173,51,4,128,128
truckdrive_lidar_fullrange_config,250-300,166,44,4,64,64
truckdrive_lidar_fullrange_config,300-400,165,33,4,0,0
truckdrive_lidar_fullrange_config,200-400,504,55,4,192,192
