scenario,class_id,class,band_m,points
2022-07-22_flight,0,undefined,0-50,45215
2022-07-22_flight,0,undefined,50-100,542
2022-07-22_flight,0,undefined,100-150,428
2022-07-22_flight,0,undefined,150-400,325
2022-07-22_flight,0,undefined,>=400,0
2022-07-22_flight,1,traffic_cone,0-50,0
2022-07-22_flight,1,traffic_cone,50-100,0
2022-07-22_flight,1,traffic_cone,100-150,0
2022-07-22_flight,1,traffic_cone,150-400,0
2022-07-22_flight,1,traffic_cone,>=400,0
2022-07-22_flight,2,snow,0-50,0
2022-07-22_flight,2,snow,50-100,0
2022-07-22_flight,2,snow,100-150,0
2022-07-22_flight,2,snow,150-400,0
2022-07-22_flight,2,snow,>=400,0
2022-07-22_flight,3,cobble,0-50,0
2022-07-22_flight,3,cobble,50-100,0
2022-07-22_flight,3,cobble,100-150,0
2022-07-22_flight,3,cobble,150-400,0
2022-07-22_flight,3,cobble,>=400,0
2022-07-22_flight,4,obstacle,0-50,85198
2022-07-22_flight,4,obstacle,50-100,15271
2022-07-22_flight,4,obstacle,100-150,5127
2022-07-22_flight,4,obstacle,150-400,1029
2022-07-22_flight,4,obstacle,>=400,0
2022-07-22_flight,5,leaves,0-50,0
2022-07-22_flight,5,leaves,50-100,0
2022-07-22_flight,5,leaves,100-150,0
2022-07-22_flight,5,leaves,150-400,0
2022-07-22_flight,5,leaves,>=400,0
2022-07-22_flight,6,street_light,0-50,7560
2022-07-22_flight,6,street_light,50-100,962
2022-07-22_flight,6,street_light,100-150,52
2022-07-22_flight,6,street_light,150-400,0
2022-07-22_flight,6,street_light,>=400,0
2022-07-22_flight,7,bikeway,0-50,0
2022-07-22_flight,7,bikeway,50-100,0
2022-07-22_flight,7,bikeway,100-150,0
2022-07-22_flight,7,bikeway,150-400,0
2022-07-22_flight,7,bikeway,>=400,0
2022-07-22_flight,8,ego_vehicle,0-50,53026
2022-07-22_flight,8,ego_vehicle,50-100,0
2022-07-22_flight,8,ego_vehicle,100-150,0
2022-07-22_flight,8,ego_vehicle,150-400,0
2022-07-22_flight,8,ego_vehicle,>=400,0
2022-07-22_flight,9,pedestrian_crossing,0-50,0
2022-07-22_flight,9,pedestrian_crossing,50-100,0
2022-07-22_flight,9,pedestrian_crossing,100-150,0
2022-07-22_flight,9,pedestrian_crossing,150-400,0
2022-07-22_flight,9,pedestrian_crossing,>=400,0
2022-07-22_flight,10,road_block,0-50,0
2022-07-22_flight,10,road_block,50-100,0
2022-07-22_flight,10,road_block,100-150,0
2022-07-22_flight,10,road_block,150-400,0
2022-07-22_flight,10,road_block,>=400,0
2022-07-22_flight,11,road_marking,0-50,6731
2022-07-22_flight,11,road_marking,50-100,628
2022-07-22_flight,11,road_marking,100-150,12
2022-07-22_flight,11,road_marking,150-400,0
2022-07-22_flight,11,road_marking,>=400,0
2022-07-22_flight,12,car,0-50,733
2022-07-22_flight,12,car,50-100,2535
2022-07-22_flight,12,car,100-150,42
2022-07-22_flight,12,car,150-400,22
2022-07-22_flight,12,car,>=400,0
2022-07-22_flight,13,bicycle,0-50,0
2022-07-22_flight,13,bicycle,50-100,166
2022-07-22_flight,13,bicycle,100-150,0
2022-07-22_flight,13,bicycle,150-400,0
2022-07-22_flight,13,bicycle,>=400,0
2022-07-22_flight,14,person,0-50,523
2022-07-22_flight,14,person,50-100,153
2022-07-22_flight,14,person,100-150,0
2022-07-22_flight,14,person,150-400,0
2022-07-22_flight,14,person,>=400,0
2022-07-22_flight,15,bus,0-50,0
2022-07-22_flight,15,bus,50-100,0
2022-07-22_flight,15,bus,100-150,0
2022-07-22_flight,15,bus,150-400,0
2022-07-22_flight,15,bus,>=400,0
2022-07-22_flight,16,forest,0-50,90585
2022-07-22_flight,16,forest,50-100,52969
2022-07-22_flight,16,forest,100-150,25586
2022-07-22_flight,16,forest,150-400,16094
2022-07-22_flight,16,forest,>=400,0
2022-07-22_flight,17,bush,0-50,1706976
2022-07-22_flight,17,bush,50-100,476368
2022-07-22_flight,17,bush,100-150,275950
2022-07-22_flight,17,bush,150-400,115707
2022-07-22_flight,17,bush,>=400,0
2022-07-22_flight,18,moss,0-50,0
2022-07-22_flight,18,moss,50-100,0
2022-07-22_flight,18,moss,100-150,0
2022-07-22_flight,18,moss,150-400,0
2022-07-22_flight,18,moss,>=400,0
2022-07-22_flight,19,traffic_light,0-50,0
2022-07-22_flight,19,traffic_light,50-100,0
2022-07-22_flight,19,traffic_light,100-150,0
2022-07-22_flight,19,traffic_light,150-400,0
2022-07-22_flight,19,traffic_light,>=400,0
2022-07-22_flight,20,motorcycle,0-50,0
2022-07-22_flight,20,motorcycle,50-100,0
2022-07-22_flight,20,motorcycle,100-150,0
2022-07-22_flight,20,motorcycle,150-400,0
2022-07-22_flight,20,motorcycle,>=400,0
2022-07-22_flight,21,sidewalk,0-50,0
2022-07-22_flight,21,sidewalk,50-100,0
2022-07-22_flight,21,sidewalk,100-150,0
2022-07-22_flight,21,sidewalk,150-400,0
2022-07-22_flight,21,sidewalk,>=400,0
2022-07-22_flight,22,curb,0-50,654
2022-07-22_flight,22,curb,50-100,0
2022-07-22_flight,22,curb,100-150,0
2022-07-22_flight,22,curb,150-400,0
2022-07-22_flight,22,curb,>=400,0
2022-07-22_flight,23,asphalt,0-50,1037358
2022-07-22_flight,23,asphalt,50-100,56206
2022-07-22_flight,23,asphalt,100-150,3424
2022-07-22_flight,23,asphalt,150-400,135
2022-07-22_flight,23,asphalt,>=400,0
2022-07-22_flight,24,gravel,0-50,0
2022-07-22_flight,24,gravel,50-100,0
2022-07-22_flight,24,gravel,100-150,0
2022-07-22_flight,24,gravel,150-400,0
2022-07-22_flight,24,gravel,>=400,0
2022-07-22_flight,25,boom_barrier,0-50,465
2022-07-22_flight,25,boom_barrier,50-100,18
2022-07-22_flight,25,boom_barrier,100-150,0
2022-07-22_flight,25,boom_barrier,150-400,0
2022-07-22_flight,25,boom_barrier,>=400,0
2022-07-22_flight,26,rail_track,0-50,0
2022-07-22_flight,26,rail_track,50-100,0
2022-07-22_flight,26,rail_track,100-150,0
2022-07-22_flight,26,rail_track,150-400,0
2022-07-22_flight,26,rail_track,>=400,0
2022-07-22_flight,27,tree_crown,0-50,1559705
2022-07-22_flight,27,tree_crown,50-100,165746
2022-07-22_flight,27,tree_crown,100-150,13525
2022-07-22_flight,27,tree_crown,150-400,593
2022-07-22_flight,27,tree_crown,>=400,0
2022-07-22_flight,28,tree_trunk,0-50,456311
2022-07-22_flight,28,tree_trunk,50-100,27169
2022-07-22_flight,28,tree_trunk,100-150,1546
2022-07-22_flight,28,tree_trunk,150-400,82
2022-07-22_flight,28,tree_trunk,>=400,0
2022-07-22_flight,29,debris,0-50,9978
2022-07-22_flight,29,debris,50-100,268
2022-07-22_flight,29,debris,100-150,24
2022-07-22_flight,29,debris,150-400,1
2022-07-22_flight,29,debris,>=400,0
2022-07-22_flight,30,crops,0-50,0
2022-07-22_flight,30,crops,50-100,0
2022-07-22_flight,30,crops,100-150,0
2022-07-22_flight,30,crops,150-400,0
2022-07-22_flight,30,crops,>=400,0
2022-07-22_flight,31,soil,0-50,889853
2022-07-22_flight,31,soil,50-100,23507
2022-07-22_flight,31,soil,100-150,2812
2022-07-22_flight,31,soil,150-400,626
2022-07-22_flight,31,soil,>=400,0
2022-07-22_flight,32,rider,0-50,0
2022-07-22_flight,32,rider,50-100,63
2022-07-22_flight,32,rider,100-150,0
2022-07-22_flight,32,rider,150-400,0
2022-07-22_flight,32,rider,>=400,0
2022-07-22_flight,33,animal,0-50,114
2022-07-22_flight,33,animal,50-100,0
2022-07-22_flight,33,animal,100-150,0
2022-07-22_flight,33,animal,150-400,0
2022-07-22_flight,33,animal,>=400,0
2022-07-22_flight,34,truck,0-50,0
2022-07-22_flight,34,truck,50-100,994
2022-07-22_flight,34,truck,100-150,513
2022-07-22_flight,34,truck,150-400,63
2022-07-22_flight,34,truck,>=400,0
2022-07-22_flight,35,on_rails,0-50,0
2022-07-22_flight,35,on_rails,50-100,0
2022-07-22_flight,35,on_rails,100-150,0
2022-07-22_flight,35,on_rails,150-400,0
2022-07-22_flight,35,on_rails,>=400,0
2022-07-22_flight,36,caravan,0-50,0
2022-07-22_flight,36,caravan,50-100,634
2022-07-22_flight,36,caravan,100-150,325
2022-07-22_flight,36,caravan,150-400,0
2022-07-22_flight,36,caravan,>=400,0
2022-07-22_flight,37,trailer,0-50,0
2022-07-22_flight,37,trailer,50-100,554
2022-07-22_flight,37,trailer,100-150,522
2022-07-22_flight,37,trailer,150-400,70
2022-07-22_flight,37,trailer,>=400,0
2022-07-22_flight,38,building,0-50,223068
2022-07-22_flight,38,building,50-100,165514
2022-07-22_flight,38,building,100-150,61236
2022-07-22_flight,38,building,150-400,30632
2022-07-22_flight,38,building,>=400,0
2022-07-22_flight,39,wall,0-50,1524
2022-07-22_flight,39,wall,50-100,1
2022-07-22_flight,39,wall,100-150,0
2022-07-22_flight,39,wall,150-400,0
2022-07-22_flight,39,wall,>=400,0
2022-07-22_flight,40,rock,0-50,13742
2022-07-22_flight,40,rock,50-100,275
2022-07-22_flight,40,rock,100-150,37
2022-07-22_flight,40,rock,150-400,0
2022-07-22_flight,40,rock,>=400,0
2022-07-22_flight,41,fence,0-50,1997257
2022-07-22_flight,41,fence,50-100,49895
2022-07-22_flight,41,fence,100-150,7517
2022-07-22_flight,41,fence,150-400,945
2022-07-22_flight,41,fence,>=400,0
2022-07-22_flight,42,guard_rail,0-50,17868
2022-07-22_flight,42,guard_rail,50-100,39
2022-07-22_flight,42,guard_rail,100-150,0
2022-07-22_flight,42,guard_rail,150-400,0
2022-07-22_flight,42,guard_rail,>=400,0
2022-07-22_flight,43,bridge,0-50,0
2022-07-22_flight,43,bridge,50-100,0
2022-07-22_flight,43,bridge,100-150,0
2022-07-22_flight,43,bridge,150-400,0
2022-07-22_flight,43,bridge,>=400,0
2022-07-22_flight,44,tunnel,0-50,0
2022-07-22_flight,44,tunnel,50-100,0
2022-07-22_flight,44,tunnel,100-150,0
2022-07-22_flight,44,tunnel,150-400,0
2022-07-22_flight,44,tunnel,>=400,0
2022-07-22_flight,45,pole,0-50,20789
2022-07-22_flight,45,pole,50-100,1937
2022-07-22_flight,45,pole,100-150,351
2022-07-22_flight,45,pole,150-400,90
2022-07-22_flight,45,pole,>=400,0
2022-07-22_flight,46,traffic_sign,0-50,2372
2022-07-22_flight,46,traffic_sign,50-100,140
2022-07-22_flight,46,traffic_sign,100-150,3
2022-07-22_flight,46,traffic_sign,150-400,0
2022-07-22_flight,46,traffic_sign,>=400,0
2022-07-22_flight,47,misc_sign,0-50,12843
2022-07-22_flight,47,misc_sign,50-100,577
2022-07-22_flight,47,misc_sign,100-150,120
2022-07-22_flight,47,misc_sign,150-400,28
2022-07-22_flight,47,misc_sign,>=400,0
2022-07-22_flight,48,barrier_tape,0-50,0
2022-07-22_flight,48,barrier_tape,50-100,0
2022-07-22_flight,48,barrier_tape,100-150,0
2022-07-22_flight,48,barrier_tape,150-400,0
2022-07-22_flight,48,barrier_tape,>=400,0
2022-07-22_flight,49,kick_scooter,0-50,0
2022-07-22_flight,49,kick_scooter,50-100,0
2022-07-22_flight,49,kick_scooter,100-150,0
2022-07-22_flight,49,kick_scooter,150-400,0
2022-07-22_flight,49,kick_scooter,>=400,0
2022-07-22_flight,50,low_grass,0-50,3929822
2022-07-22_flight,50,low_grass,50-100,416533
2022-07-22_flight,50,low_grass,100-150,71928
2022-07-22_flight,50,low_grass,150-400,11442
2022-07-22_flight,50,low_grass,>=400,0
2022-07-22_flight,51,high_grass,0-50,4535079
2022-07-22_flight,51,high_grass,50-100,225044
2022-07-22_flight,51,high_grass,100-150,63489
2022-07-22_flight,51,high_grass,150-400,19120
2022-07-22_flight,51,high_grass,>=400,0
2022-07-22_flight,52,scenery_vegetation,0-50,0
2022-07-22_flight,52,scenery_vegetation,50-100,0
2022-07-22_flight,52,scenery_vegetation,100-150,0
2022-07-22_flight,52,scenery_vegetation,150-400,0
2022-07-22_flight,52,scenery_vegetation,>=400,0
2022-07-22_flight,53,sky,0-50,0
2022-07-22_flight,53,sky,50-100,0
2022-07-22_flight,53,sky,100-150,0
2022-07-22_flight,53,sky,150-400,0
2022-07-22_flight,53,sky,>=400,0
2022-07-22_flight,54,water,0-50,44
2022-07-22_flight,54,water,50-100,2
2022-07-22_flight,54,water,100-150,0
2022-07-22_flight,54,water,150-400,0
2022-07-22_flight,54,water,>=400,0
2022-07-22_flight,55,wire,0-50,583
2022-07-22_flight,55,wire,50-100,1
2022-07-22_flight,55,wire,100-150,0
2022-07-22_flight,55,wire,150-400,0
2022-07-22_flight,55,wire,>=400,0
2022-07-22_flight,56,outlier,0-50,0
2022-07-22_flight,56,outlier,50-100,0
2022-07-22_flight,56,outlier,100-150,0
2022-07-22_flight,56,outlier,150-400,0
2022-07-22_flight,56,outlier,>=400,0
2022-07-22_flight,57,heavy_machinery,0-50,5008
2022-07-22_flight,57,heavy_machinery,50-100,351
2022-07-22_flight,57,heavy_machinery,100-150,309
2022-07-22_flight,57,heavy_machinery,150-400,121
2022-07-22_flight,57,heavy_machinery,>=400,0
2022-07-22_flight,58,container,0-50,55035
2022-07-22_flight,58,container,50-100,2786
2022-07-22_flight,58,container,100-150,660
2022-07-22_flight,58,container,150-400,381
2022-07-22_flight,58,container,>=400,0
2022-07-22_flight,59,hedge,0-50,6802270
2022-07-22_flight,59,hedge,50-100,1105037
2022-07-22_flight,59,hedge,100-150,237038
2022-07-22_flight,59,hedge,150-400,88834
2022-07-22_flight,59,hedge,>=400,0
2022-07-22_flight,60,barrel,0-50,0
2022-07-22_flight,60,barrel,50-100,0
2022-07-22_flight,60,barrel,100-150,0
2022-07-22_flight,60,barrel,150-400,0
2022-07-22_flight,60,barrel,>=400,0
2022-07-22_flight,61,pipe,0-50,301
2022-07-22_flight,61,pipe,50-100,0
2022-07-22_flight,61,pipe,100-150,0
2022-07-22_flight,61,pipe,150-400,0
2022-07-22_flight,61,pipe,>=400,0
2022-07-22_flight,62,tree_root,0-50,0
2022-07-22_flight,62,tree_root,50-100,0
2022-07-22_flight,62,tree_root,100-150,0
2022-07-22_flight,62,tree_root,150-400,0
2022-07-22_flight,62,tree_root,>=400,0
2022-07-22_flight,63,military_vehicle,0-50,0
2022-07-22_flight,63,military_vehicle,50-100,0
2022-07-22_flight,63,military_vehicle,100-150,0
2022-07-22_flight,63,military_vehicle,150-400,0
2022-07-22_flight,63,military_vehicle,>=400,0
2022-08-30_siegertsbrunn_feldwege,0,undefined,0-50,1842
2022-08-30_siegertsbrunn_feldwege,0,undefined,50-100,400
2022-08-30_siegertsbrunn_feldwege,0,undefined,100-150,305
2022-08-30_siegertsbrunn_feldwege,0,undefined,150-400,272
2022-08-30_siegertsbrunn_feldwege,0,undefined,>=400,0
2022-08-30_siegertsbrunn_feldwege,1,traffic_cone,0-50,0
2022-08-30_siegertsbrunn_feldwege,1,traffic_cone,50-100,0
2022-08-30_siegertsbrunn_feldwege,1,traffic_cone,100-150,0
2022-08-30_siegertsbrunn_feldwege,1,traffic_cone,150-400,0
2022-08-30_siegertsbrunn_feldwege,1,traffic_cone,>=400,0
