frame,scenario,band_m,points,frame_points
2022-07-22_flight__0071_1658494234334310308,2022-07-22_flight,0-50,126635,169883
2022-07-22_flight__0071_1658494234334310308,2022-07-22_flight,50-100,19727,169883
2022-07-22_flight__0071_1658494234334310308,2022-07-22_flight,100-150,21597,169883
2022-07-22_flight__0071_1658494234334310308,2022-07-22_flight,150-400,1924,169883
2022-07-22_flight__0071_1658494234334310308,2022-07-22_flight,>=400,0,169883
2022-07-22_flight__0072_1658494235988100385,2022-07-22_flight,0-50,118829,170374
2022-07-22_flight__0072_1658494235988100385,2022-07-22_flight,50-100,35344,170374
2022-07-22_flight__0072_1658494235988100385,2022-07-22_flight,100-150,12849,170374
2022-07-22_flight__0072_1658494235988100385,2022-07-22_flight,150-400,3352,170374
2022-07-22_flight__0072_1658494235988100385,2022-07-22_flight,>=400,0,170374
2022-07-22_flight__0073_1658494238675704025,2022-07-22_flight,0-50,110094,178777
2022-07-22_flight__0073_1658494238675704025,2022-07-22_flight,50-100,55644,178777
2022-07-22_flight__0073_1658494238675704025,2022-07-22_flight,100-150,10238,178777
2022-07-22_flight__0073_1658494238675704025,2022-07-22_flight,150-400,2801,178777
2022-07-22_flight__0073_1658494238675704025,2022-07-22_flight,>=400,0,178777
2022-07-22_flight__0075_1658494242083534022,2022-07-22_flight,0-50,111400,177233
2022-07-22_flight__0075_1658494242083534022,2022-07-22_flight,50-100,51575,177233
2022-07-22_flight__0075_1658494242083534022,2022-07-22_flight,100-150,10909,177233
2022-07-22_flight__0075_1658494242083534022,2022-07-22_flight,150-400,3349,177233
2022-07-22_flight__0075_1658494242083534022,2022-07-22_flight,>=400,0,177233
2022-07-22_flight__0077_1658494244047191404,2022-07-22_flight,0-50,121178,179316
2022-07-22_flight__0077_1658494244047191404,2022-07-22_flight,50-100,44320,179316
2022-07-22_flight__0077_1658494244047191404,2022-07-22_flight,100-150,10336,179316
2022-07-22_flight__0077_1658494244047191404,2022-07-22_flight,150-400,3482,179316
2022-07-22_flight__0077_1658494244047191404,2022-07-22_flight,>=400,0,179316
2022-07-22_flight__0078_1658494246011438339,2022-07-22_flight,0-50,126595,180376
2022-07-22_flight__0078_1658494246011438339,2022-07-22_flight,50-100,39750,180376
2022-07-22_flight__0078_1658494246011438339,2022-07-22_flight,100-150,10162,180376
2022-07-22_flight__0078_1658494246011438339,2022-07-22_flight,150-400,3869,180376
2022-07-22_flight__0078_1658494246011438339,2022-07-22_flight,>=400,0,180376
2022-07-22_flight__0080_1658494248904312093,2022-07-22_flight,0-50,131024,181221
2022-07-22_flight__0080_1658494248904312093,2022-07-22_flight,50-100,37074,181221
2022-07-22_flight__0080_1658494248904312093,2022-07-22_flight,100-150,9330,181221
2022-07-22_flight__0080_1658494248904312093,2022-07-22_flight,150-400,3793,181221
2022-07-22_flight__0080_1658494248904312093,2022-07-22_flight,>=400,0,181221
2022-07-22_flight__0082_1658494251900354294,2022-07-22_flight,0-50,133612,182990
2022-07-22_flight__0082_1658494251900354294,2022-07-22_flight,50-100,37214,182990
2022-07-22_flight__0082_1658494251900354294,2022-07-22_flight,100-150,8901,182990
2022-07-22_flight__0082_1658494251900354294,2022-07-22_flight,150-400,3263,182990
2022-07-22_flight__0082_1658494251900354294,2022-07-22_flight,>=400,0,182990
2022-07-22_flight__0084_1658494255002048279,2022-07-22_flight,0-50,140826,183452
2022-07-22_flight__0084_1658494255002048279,2022-07-22_flight,50-100,30041,183452
2022-07-22_flight__0084_1658494255002048279,2022-07-22_flight,100-150,9827,183452
2022-07-22_flight__0084_1658494255002048279,2022-07-22_flight,150-400,2758,183452
2022-07-22_flight__0084_1658494255002048279,2022-07-22_flight,>=400,0,183452
2022-07-22_flight__0086_1658494257998064715,2022-07-22_flight,0-50,145132,181402
2022-07-22_flight__0086_1658494257998064715,2022-07-22_flight,50-100,19664,181402
2022-07-22_flight__0086_1658494257998064715,2022-07-22_flight,100-150,13759,181402
2022-07-22_flight__0086_1658494257998064715,2022-07-22_flight,150-400,2847,181402
2022-07-22_flight__0086_1658494257998064715,2022-07-22_flight,>=400,0,181402
2022-07-22_flight__0088_1658494261821517222,2022-07-22_flight,0-50,143144,179288
2022-07-22_flight__0088_1658494261821517222,2022-07-22_flight,50-100,18583,179288
2022-07-22_flight__0088_1658494261821517222,2022-07-22_flight,100-150,13754,179288
2022-07-22_flight__0088_1658494261821517222,2022-07-22_flight,150-400,3807,179288
