scenario,group,band_m,points,all_points_in_band
2022-07-22_flight,Free,0-50,98241,23568590
2022-07-22_flight,Free,50-100,542,2792885
2022-07-22_flight,Free,100-150,428,772576
2022-07-22_flight,Free,150-400,325,286340
2022-07-22_flight,Free,>=400,0,0
2022-07-22_flight,Non-Traversable,0-50,13060874,23568590
2022-07-22_flight,Non-Traversable,50-100,2070157,2792885
2022-07-22_flight,Non-Traversable,100-150,630459,772576
2022-07-22_flight,Non-Traversable,150-400,254691,286340
2022-07-22_flight,Non-Traversable,>=400,0,0
2022-07-22_flight,Potentially Traversable,0-50,4545711,23568590
2022-07-22_flight,Potentially Traversable,50-100,225312,2792885
2022-07-22_flight,Potentially Traversable,100-150,63513,772576
2022-07-22_flight,Potentially Traversable,150-400,19121,286340
2022-07-22_flight,Potentially Traversable,>=400,0,0
2022-07-22_flight,Traversable,0-50,5863764,23568590
2022-07-22_flight,Traversable,50-100,496874,2792885
2022-07-22_flight,Traversable,100-150,78176,772576
2022-07-22_flight,Traversable,150-400,12203,286340
2022-07-22_flight,Traversable,>=400,0,0
2022-08-30_siegertsbrunn_feldwege,Free,0-50,38237,12673210
2022-08-30_siegertsbrunn_feldwege,Free,50-100,400,1646724
2022-08-30_siegertsbrunn_feldwege,Free,100-150,305,538618
2022-08-30_siegertsbrunn_feldwege,Free,150-400,272,217539
2022-08-30_siegertsbrunn_feldwege,Free,>=400,0,0
2022-08-30_siegertsbrunn_feldwege,Non-Traversable,0-50,4146237,12673210
2022-08-30_siegertsbrunn_feldwege,Non-Traversable,50-100,353096,1646724
2022-08-30_siegertsbrunn_feldwege,Non-Traversable,100-150,144395,538618
2022-08-30_siegertsbrunn_feldwege,Non-Traversable,150-400,83035,217539
2022-08-30_siegertsbrunn_feldwege,Non-Traversable,>=400,0,0
2022-08-30_siegertsbrunn_feldwege,Potentially Traversable,0-50,3424781,12673210
2022-08-30_siegertsbrunn_feldwege,Potentially Traversable,50-100,252850,1646724
2022-08-30_siegertsbrunn_feldwege,Potentially Traversable,100-150,114271,538618
2022-08-30_siegertsbrunn_feldwege,Potentially Traversable,150-400,50168,217539
2022-08-30_siegertsbrunn_feldwege,Potentially Traversable,>=400,0,0
2022-08-30_siegertsbrunn_feldwege,Traversable,0-50,5063955,12673210
2022-08-30_siegertsbrunn_feldwege,Traversable,50-100,1040378,1646724
2022-08-30_siegertsbrunn_feldwege,Traversable,100-150,279647,538618
2022-08-30_siegertsbrunn_feldwege,Traversable,150-400,84064,217539
