dataset,margin_m,band_m,category,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckScenes mini,0,100-150,animal,3,1,1,2,0,0,2,0,1,66.66666666666666,0.0,66.66666666666666,100.44430799804785,117.74985868321315,0.0,0.0,0.5,1.0,1.0,1.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,100-150,human.pedestrian.adult,109,13,3,106,0,0,106,0,3,97.24770642201835,0.0,97.24770642201835,100.08172428127371,145.57286485667052,61.46788990825688,32.11009174311927,1.0,3.0,5.0,11.0,96.9871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,100-150,human.pedestrian.construction_worker,6,1,1,6,0,0,6,0,0,100.0,0.0,100.0,100.24382602387756,147.39538134390233,100.0,100.0,8.0,9.0,10.75,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,100-150,human.pedestrian.stroller,6,1,1,6,2,2,4,0,0,100.0,33.33333333333333,66.66666666666667,103.07302909921951,122.20962941244964,100.0,33.33333333333333,3.0,3.0,5.25,6.0,100.0,0.0,0.0,0.0,0.0,0.75,1.0,33.33333333333333
TruckScenes mini,0,100-150,movable_object.barrier,7,1,1,7,0,0,7,0,0,100.0,0.0,100.0,108.09880185061658,149.36710809144014,57.14285714285714,14.285714285714285,2.0,3.0,3.5,5.200000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,100-150,movable_object.trafficcone,191,49,2,189,2,2,187,0,2,98.95287958115183,1.0471204188481675,97.90575916230367,100.17272583494284,149.83532562934755,76.43979057591623,57.06806282722513,3.0,5.0,8.0,12.0,99.31972789115646,0.0,0.0,0.0,0.0,0.0,0.0,0.7482993197278912
TruckScenes mini,0,100-150,static_object.traffic_sign,877,107,7,861,124,124,737,0,16,98.17559863169897,14.139110604332952,84.03648802736603,100.01257789779538,149.98500524582585,86.3169897377423,77.4230330672748,5.0,12.0,30.0,75.39999999999998,98.37579735944222,1.8244013683010263,0.5701254275940707,0.0,0.0,0.0,1.0,14.342858002612607
TruckScenes mini,0,100-150,vehicle.bicycle,7,1,1,7,3,3,4,0,0,100.0,42.857142857142854,57.14285714285714,100.27061144215484,135.14610743255753,85.71428571428571,71.42857142857143,4.5,6.0,6.5,7.800000000000001,100.0,0.0,0.0,0.0,0.0,1.0,1.0,42.857142857142854
TruckScenes mini,0,100-150,vehicle.bus.rigid,30,2,2,30,26,26,4,0,0,100.0,86.66666666666667,13.33333333333333,100.53735197903477,149.3429305914152,100.0,100.0,86.25,106.5,149.5,180.50000000000003,100.0,66.66666666666666,13.333333333333334,2.0,3.0,4.0,5.0,66.66666666666666
TruckScenes mini,0,100-150,vehicle.car,2496,335,8,2347,630,615,1732,15,134,94.03044871794873,25.240384615384613,68.7900641025641,100.00365658377392,149.99902983471054,77.60416666666666,62.05929487179487,3.0,7.0,14.0,28.0,93.41311419640932,2.283653846153846,0.2003205128205128,0.0,0.0,1.0,1.0,22.35612146792615
TruckScenes mini,0,100-150,vehicle.construction,15,2,1,15,14,14,1,0,0,100.0,93.33333333333333,6.666666666666665,103.88893173254276,147.9558286055628,100.0,100.0,35.5,43.0,84.0,137.79999999999998,100.0,46.666666666666664,20.0,2.0,2.0,3.5,5.6,91.66666666666667
TruckScenes mini,0,100-150,vehicle.motorcycle,23,2,2,23,3,3,20,0,0,100.0,13.043478260869565,86.95652173913044,101.61046799081518,148.97082165358046,100.0,100.0,14.0,19.0,22.0,24.0,100.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,21.428571428571427
TruckScenes mini,0,100-150,vehicle.other,7,1,1,7,4,4,3,0,0,100.0,57.14285714285714,42.85714285714286,104.34754846657168,139.42176872710104,100.0,100.0,20.5,22.0,66.0,97.0,100.0,14.285714285714285,14.285714285714285,0.0,1.0,1.0,2.6000000000000014,57.14285714285714
