dataset,margin_m,band_m,cohort,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckScenes mini,0,100-150,all,4332,613,9,4147,1182,1166,2981,16,169,95.72945521698985,27.28531855955679,68.44413665743305,100.00365658377392,149.99902983471054,81.1865189289012,67.98245614035088,3.0,8.0,20.0,47.0,95.61605230935102,6.278855032317636,2.100646352723915,0.0,0.0,1.0,2.0,26.550754756960593
TruckScenes mini,0,100-150,vehicles,3133,440,9,2970,1054,1038,1932,16,147,94.7973188637089,33.64187679540377,61.155442068305135,100.00365658377392,149.99902983471054,80.78518991382062,67.44334503670603,3.0,8.0,20.0,43.0,94.52787063978451,8.171082030003191,2.7449728694541973,0.0,0.0,1.0,2.0,33.34301559031203
TruckScenes mini,0,100-150,passenger_cars,2496,335,8,2347,630,615,1732,15,134,94.03044871794873,25.240384615384613,68.7900641025641,100.00365658377392,149.99902983471054,77.60416666666666,62.05929487179487,3.0,7.0,14.0,28.0,93.41311419640932,2.283653846153846,0.2003205128205128,0.0,0.0,1.0,1.0,22.35612146792615
TruckScenes mini,0,150-200,all,1878,427,9,1740,349,343,1397,6,132,92.65175718849841,18.583599574014908,74.0681576144835,150.00948473263907,199.98866853976983,71.19275825346114,55.32481363152289,2.0,6.0,13.0,33.0,91.63838408449453,3.035143769968051,0.6922257720979765,0.0,0.0,0.0,1.0,15.805361482519963
TruckScenes mini,0,150-200,vehicles,1370,302,9,1254,286,280,974,6,110,91.53284671532846,20.875912408759124,70.65693430656934,150.0106029512012,199.9666937233818,71.24087591240877,53.7956204379562,2.0,5.0,12.0,23.0,90.24904872417841,3.2116788321167884,0.8759124087591241,0.0,0.0,0.0,1.0,19.565381199558924
TruckScenes mini,0,150-200,passenger_cars,926,208,7,818,125,120,698,5,103,88.33693304535637,13.498920086393088,74.83801295896329,150.05681029796702,199.9666937233818,63.17494600431965,41.46868250539957,2.0,4.0,7.0,12.0,87.06200608387142,0.755939524838013,0.0,0.0,0.0,0.0,1.0,10.741313796877622
TruckScenes mini,0,200-250,all,431,216,8,378,1,1,377,0,53,87.70301624129931,0.23201856148491878,87.47099767981439,200.00147325915378,229.4177589511211,58.23665893271461,40.835266821345705,1.0,3.0,9.0,22.0,87.92254556143446,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148145
TruckScenes mini,0,200-250,vehicles,328,156,8,283,1,1,282,0,45,86.28048780487805,0.3048780487804878,85.97560975609755,200.0710707473922,229.4177589511211,58.536585365853654,39.329268292682926,1.0,3.0,8.0,17.30000000000001,86.6961741961742,0.0,0.0,0.0,0.0,0.0,0.0,0.3205128205128205
TruckScenes mini,0,200-250,passenger_cars,207,92,7,170,0,0,170,0,37,82.1256038647343,0.0,82.1256038647343,200.0710707473922,226.84401081084647,49.275362318840585,30.434782608695656,1.0,2.0,6.0,9.0,81.89786059351276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,100-150,all,4332,613,9,4326,2106,2104,2222,2,4,99.86149584487535,48.61495844875346,51.24653739612188,100.00365658377392,149.99902983471054,88.73499538319483,78.00092336103417,5.0,11.0,26.0,57.0,99.91428034801991,14.265927977839334,5.447830101569714,0.0,0.0,2.0,3.0,46.142332640967425
