dataset,margin_m,range_low_m,range_high_m,band_m,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckScenes mini,0,0,50,0-50,10220,661,10,10199,6753,6748,3451,5,16,99.79452054794521,66.07632093933464,33.71819960861057,2.6179277868068884,49.99349955220707,98.89432485322897,98.17025440313112,75.0,235.0,1013.0,4341.600000000006,99.7707170749909,38.816046966731896,26.154598825831705,0.0,1.0,5.0,11.0,64.60319709706344
TruckScenes mini,0,50,75,50-75,4800,710,10,4766,2182,2179,2587,3,31,99.29166666666667,45.458333333333336,53.833333333333336,50.003136842733674,74.99743290776713,95.39583333333333,91.70833333333334,15.0,37.0,93.0,216.10000000000036,99.25335125512713,17.208333333333332,9.291666666666666,0.0,0.0,2.0,4.0,47.55728306337415
TruckScenes mini,0,75,100,75-100,3456,642,10,3386,1278,1269,2117,9,61,97.97453703703704,36.97916666666667,60.995370370370374,75.00079581872598,99.99549439560867,89.90162037037037,82.29166666666666,7.0,18.0,42.0,101.5,98.1326373920085,11.54513888888889,5.758101851851852,0.0,0.0,1.0,3.0,37.38553657776035
TruckScenes mini,0,100,125,100-125,2594,560,9,2498,722,717,1781,5,91,96.29915188897455,27.833461835003853,68.46569005397069,100.00365658377392,124.99281097875053,83.15343099460293,71.24132613723978,4.0,9.0,24.0,49.0,96.17827263283472,7.093292212798766,2.7370855821125675,0.0,0.0,1.0,2.0,28.437291753334698
TruckScenes mini,0,125,150,125-150,1738,476,9,1649,460,449,1200,11,78,94.87917146144994,26.46720368239356,68.41196777905638,125.01494042007434,149.99902983471054,78.25086306098964,63.118527042577675,3.0,7.0,16.0,40.0,94.1867889346881,5.063291139240507,1.1507479861910241,0.0,0.0,1.0,2.0,26.277393998963987
TruckScenes mini,0,150,175,150-175,1091,385,9,1019,240,237,782,3,69,93.40054995417049,21.998166819431713,71.40238313473877,150.00948473263907,174.99846129784066,74.70210815765353,58.47846012832264,2.0,6.0,14.0,37.0,92.58917921904936,3.4830430797433545,0.8249312557286892,0.0,0.0,0.0,1.0,21.27387259205441
TruckScenes mini,0,175,200,175-200,787,299,8,721,109,106,615,3,63,91.61372299872936,13.850063532401524,77.76365946632782,175.10964237109857,199.98866853976983,66.32782719186785,50.95298602287166,2.0,5.0,12.0,29.0,92.51871317088708,2.41423125794155,0.5082592121982211,0.0,0.0,0.0,1.0,10.999541836025765
TruckScenes mini,0,200,225,200-225,424,215,8,372,1,1,371,0,52,87.73584905660378,0.2358490566037736,87.5,200.00147325915378,224.73762196277855,58.72641509433962,41.27358490566038,1.0,3.0,9.0,22.69999999999999,88.33148763381323,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372
TruckScenes mini,0,225,250,225-250,7,7,3,6,0,0,6,0,1,85.71428571428571,0.0,85.71428571428571,225.6481571737795,229.4177589511211,28.57142857142857,14.285714285714285,1.0,1.0,2.5,4.800000000000001,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,0,50,0-50,10220,661,10,10213,8922,8921,1292,1,6,99.93150684931507,87.29941291585128,12.632093933463794,2.6179277868068884,49.99349955220707,99.52054794520548,99.04109589041096,109.0,309.0,1215.25,5253.400000000005,99.92495737578943,54.148727984344426,37.573385518590996,1.0,3.0,7.0,15.0,86.59741739257404
TruckScenes mini,0.5,50,75,50-75,4800,710,10,4799,3632,3632,1167,0,1,99.97916666666666,75.66666666666667,24.312499999999993,50.003136842733674,74.99743290776713,97.04166666666667,93.95833333333333,20.0,46.0,110.0,243.10000000000036,99.98719590268885,34.729166666666664,17.854166666666664,1.0,1.0,3.0,7.0,76.87031924119307
TruckScenes mini,0.5,75,100,75-100,3456,642,10,3456,2219,2219,1237,0,0,100.0,64.20717592592592,35.79282407407407,75.00079581872598,99.99549439560867,94.44444444444444,88.04976851851852,10.0,23.0,51.0,117.0,100.0,26.591435185185187,11.805555555555555,0.0,1.0,3.0,5.0,64.50580119075599
TruckScenes mini,0.5,100,125,100-125,2594,560,9,2594,1341,1341,1253,0,0,100.0,51.69622205088666,48.30377794911334,100.00365658377392,124.99281097875053,90.90208172706245,80.72474942174249,6.0,13.0,30.0,62.0,100.0,15.959907478797225,6.6306861989205865,0.0,1.0,2.0,3.0,51.683637846051475
TruckScenes mini,0.5,125,150,125-150,1738,476,9,1732,765,763,969,2,4,99.6547756041427,44.01611047180668,55.638665132336016,125.01494042007434,149.99902983471054,85.50057537399309,73.93555811277331,4.0,9.0,20.0,49.0,99.63311606693959,11.737629459148447,3.6823935558112773,0.0,0.0,1.0,3.0,41.17153866515322
TruckScenes mini,0.5,150,175,150-175,1091,385,9,1089,441,441,648,0,2,99.8166819431714,40.421631530705774,59.39505041246562,150.00948473263907,174.99846129784066,85.6095325389551,71.31072410632447,4.0,8.0,17.0,44.0,99.65367965367966,10.449129239230064,2.6581118240146653,0.0,0.0,1.0,3.0,37.04802989218574
TruckScenes mini,0.5,175,200,175-200,787,299,8,776,204,204,572,0,11,98.6022871664549,25.921219822109276,72.68106734434562,175.10964237109857,199.98866853976983,80.30495552731894,64.54891994917408,3.0,7.0,14.0,36.0,98.792403248925,6.099110546378653,2.0330368487928845,0.0,0.0,1.0,2.0,20.36767370415764
TruckScenes mini,0.5,200,225,200-225,424,215,8,411,1,1,410,0,13,96.93396226415094,0.2358490566037736,96.69811320754717,200.00147325915378,224.73762196277855,72.87735849056604,54.009433962264154,2.0,5.0,11.0,28.0,97.79069767441861,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372
TruckScenes mini,0.5,225,250,225-250,7,7,3,7,0,0,7,0,0,100.0,0.0,100.0,225.6481571737795,229.4177589511211,42.857142857142854,28.57142857142857,1.0,2.0,4.0,6.200000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,0,50,0-50,2297,64,1,2031,1303,1271,760,32,234,88.41967784066173,56.72616456247279,31.693513278188945,3.8901120594630645,49.922227312492375,85.02394427514149,81.01872006965607,8.0,50.0,1735.0,8844.400000000001,82.7280675325802,46.75663909447105,42.27252938615585,0.0,1.0,13.0,30.0,42.898288411800436
TruckDrive scene_28_1,0,50,75,50-75,817,63,1,606,227,213,393,14,197,74.17380660954713,27.784577723378213,46.38922888616891,50.00441486675363,74.99189064060957,51.28518971848225,41.37086903304773,0.0,3.0,13.0,73.79999999999995,71.03094454155932,21.664626682986537,19.3390452876377,0.0,0.0,1.0,15.399999999999977,25.559446000622472
TruckDrive scene_28_1,0,75,100,75-100,739,60,1,449,192,159,290,33,257,60.757780784844385,25.98105548037889,34.776725304465494,75.0267143445174,99.97436671938755,29.499323410013535,19.756427604871448,0.0,1.0,3.0,14.0,59.853173551702966,19.756427604871448,18.26792963464141,0.0,0.0,1.0,14.0,24.862161531279177
TruckDrive scene_28_1,0,100,125,100-125,604,55,1,227,64,44,183,20,357,37.58278145695364,10.596026490066226,26.986754966887418,100.01457537159469,124.89236527205044,16.39072847682119,10.264900662251655,0.0,0.0,1.0,5.0,44.547682709447415,4.801324503311259,4.304635761589404,0.0,0.0,0.0,1.0,16.780600118835412
TruckDrive scene_28_1,0,125,150,125-150,617,53,1,223,116,92,131,24,370,36.14262560777958,18.80064829821718,17.3419773095624,125.02262579307614,149.98265214178997,18.638573743922205,13.614262560777956,0.0,0.0,1.0,10.399999999999977,34.87384347678465,16.207455429497568,15.559157212317668,0.0,0.0,0.0,8.0,13.063837599076223
TruckDrive scene_28_1,0,150,175,150-175,640,48,1,252,196,159,93,37,351,39.375,30.625000000000004,8.749999999999996,150.0086873666493,174.99144066658909,28.749999999999996,23.90625,0.0,0.0,4.0,20.0,30.72747956020015,26.718750000000004,22.8125,0.0,0.0,3.0,10.0,15.683732457629517
TruckDrive scene_28_1,0,175,200,175-200,699,45,1,301,242,191,110,51,347,43.06151645207439,34.620886981402,8.44062947067239,175.02032762337674,199.9727196236663,35.908440629470675,32.474964234620884,0.0,0.0,10.0,59.200000000000045,32.919453136956754,17.59656652360515,9.012875536480687,0.0,0.0,2.0,4.0,13.977259908541559
TruckDrive scene_28_1,0,200,225,200-225,474,40,1,178,107,71,107,36,260,37.552742616033754,22.573839662447256,14.9789029535865,200.00315051034195,224.98465046007254,25.105485232067508,18.354430379746837,0.0,0.0,2.75,32.69999999999999,31.650446378387553,7.59493670886076,0.21097046413502107,0.0,0.0,0.0,2.0,7.763388598682716
TruckDrive scene_28_1,0,225,250,225-250,300,34,1,95,28,21,74,7,198,31.666666666666664,9.333333333333334,22.333333333333332,225.13884683240255,249.99656504791636,20.333333333333332,14.666666666666666,0.0,0.0,2.0,8.0,26.41077264239029,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,6.0889355742296924
TruckDrive scene_28_1,0,250,300,250-300,598,28,1,235,95,85,150,10,353,39.297658862876254,15.88628762541806,23.411371237458194,250.11739360716103,299.87006924638484,33.27759197324415,27.926421404682273,0.0,0.0,5.75,13.0,26.099019311442568,0.8361204013377926,0.0,0.0,0.0,0.0,1.0,6.248076289547279
TruckDrive scene_28_1,0,300,350,300-350,263,20,1,90,25,24,66,1,172,34.22053231939163,9.505703422053232,24.714828897338403,300.0392261284474,349.3130073064301,28.517110266159694,24.334600760456272,0.0,0.0,4.0,18.80000000000001,26.887973610496836,0.0,0.0,0.0,0.0,0.0,0.0,6.578947368421054
TruckDrive scene_28_1,0,350,400,350-400,65,7,1,4,0,0,4,0,61,6.153846153846154,0.0,6.153846153846154,350.36284113012255,399.0340624161176,3.076923076923077,1.5384615384615385,0.0,0.0,0.0,0.0,4.901960784313726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
