dataset,variant,margin_m,band_m,category,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent,lidar_unsupported,lidar_missing_percent,radar_unsupported,radar_missing_percent,sparse_cohort,lidar_share_of_missing_percent,radar_share_of_missing_percent
TruckScenes,paired,0,0-25,animal,12,1,1,12,1,1,11,0,0,100.0,8.333333333333332,91.66666666666666,3.3370594140958585,23.233488706701635,100.0,100.0,35.0,55.0,115.5,123.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0,0.0,11,91.66666666666667,True,0.0,1.244343891402715
TruckScenes,paired,0,0-25,human.pedestrian.adult,201,17,5,199,136,136,63,0,2,99.00497512437812,67.66169154228857,31.343283582089555,4.010060325968864,24.994198490263628,97.51243781094527,95.02487562189054,105.0,218.0,457.0,598.0,99.43977591036415,19.402985074626866,3.9800995024875623,0.0,1.0,2.0,3.0,64.48647070164097,2,0.9950248756218798,65,32.338308457711435,False,50.0,7.352941176470588
TruckScenes,paired,0,0-25,human.pedestrian.child,18,3,2,18,13,13,5,0,0,100.0,72.22222222222221,27.77777777777778,15.180184985059542,24.651910801555783,94.44444444444444,94.44444444444444,22.0,257.0,401.25,473.1,100.0,11.11111111111111,5.555555555555555,0.25,1.0,2.0,2.3000000000000007,45.23809523809524,0,0.0,5,27.777777777777786,True,0.0,0.5656108597285068
TruckScenes,paired,0,0-25,human.pedestrian.construction_worker,3,1,1,3,0,0,3,0,0,100.0,0.0,100.0,24.90048337833052,24.943080290251412,100.0,100.0,127.5,141.0,144.5,146.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,100.0,True,0.0,0.3393665158371041
TruckScenes,paired,0,0-25,movable_object.barrier,15,2,2,15,4,4,11,0,0,100.0,26.666666666666668,73.33333333333334,7.068668448420652,24.017811046556577,100.0,100.0,61.5,72.0,130.5,310.4,100.0,0.0,0.0,0.0,0.0,0.5,1.0,36.53846153846154,0,0.0,11,73.33333333333333,True,0.0,1.244343891402715
TruckScenes,paired,0,0-25,movable_object.trafficcone,100,25,2,100,39,39,61,0,0,100.0,39.0,61.0,2.6179277868068884,24.970383277162387,94.0,88.0,15.0,71.0,105.25,242.50000000000028,100.0,3.0,0.0,0.0,0.0,1.0,2.0,45.33333333333333,0,0.0,61,61.0,False,0.0,6.900452488687783
TruckScenes,paired,0,0-25,static_object.traffic_sign,1080,105,8,1079,507,507,572,0,1,99.9074074074074,46.94444444444444,52.96296296296297,2.7865554257479825,24.995558605686654,98.98148148148148,98.70370370370371,117.75,254.0,455.25,856.5000000000003,99.93650793650795,10.092592592592593,2.1296296296296298,0.0,0.0,1.0,3.0,43.457437675925064,1,0.09259259259259522,573,53.05555555555556,False,25.0,64.81900452488688
TruckScenes,paired,0,0-25,vehicle.bicycle,50,8,3,50,35,35,15,0,0,100.0,70.0,30.000000000000004,4.230164471046823,24.885180871838386,98.0,96.0,88.75,243.0,612.0,929.4000000000001,100.0,32.0,8.0,0.0,2.0,3.0,4.0,63.1439393939394,0,0.0,15,30.0,False,0.0,1.6968325791855203
TruckScenes,paired,0,0-25,vehicle.car,1223,146,9,1223,1119,1119,104,0,0,100.0,91.49632052330335,8.503679476696647,3.1761544499878007,24.99391284327793,99.83646770237122,99.67293540474243,589.0,1276.0,2464.0,3392.3999999999996,100.0,62.71463614063778,41.29190515126738,2.0,4.0,7.0,11.0,92.21177318009283,0,0.0,104,8.503679476696647,False,0.0,11.764705882352942
TruckScenes,paired,0,0-25,vehicle.ego_trailer,351,9,9,351,327,327,24,0,0,100.0,93.16239316239316,6.8376068376068355,3.9522519617030465,6.753572107966737,100.0,100.0,7703.5,12499.0,16571.5,18302.0,100.0,81.19658119658119,62.67806267806267,3.0,6.0,8.0,10.0,93.16239316239316,0,0.0,24,6.837606837606842,False,0.0,2.7149321266968327
TruckScenes,paired,0,0-25,vehicle.motorcycle,12,2,2,12,9,9,3,0,0,100.0,75.0,25.0,4.045374541588409,23.927181471337466,100.0,100.0,607.75,913.0,1716.5,2004.8,100.0,41.66666666666667,41.66666666666667,0.75,1.5,6.0,6.0,86.36363636363636,0,0.0,3,25.0,True,0.0,0.3393665158371041
TruckScenes,paired,0,0-25,vehicle.other,39,1,1,39,39,39,0,0,0,100.0,100.0,0.0,18.032195212579325,23.80926246243568,100.0,100.0,372.0,416.0,661.0,680.6,100.0,89.74358974358975,33.33333333333333,3.0,4.0,5.0,7.0,100.0,0,0.0,0,0.0,True,0.0,0.0
TruckScenes,paired,0,0-25,vehicle.trailer,380,40,6,379,374,373,6,1,0,99.73684210526315,98.42105263157895,1.3157894736842146,3.4169246296073976,24.96832240953438,98.42105263157895,98.42105263157895,1518.0,4504.0,8616.75,21970.500000000047,99.9,92.36842105263158,85.78947368421052,8.0,14.0,27.0,39.0,98.24712643678161,1,0.2631578947368496,6,1.5789473684210549,False,25.0,0.6787330316742082
TruckScenes,paired,0,0-25,vehicle.train,117,3,1,117,117,117,0,0,0,100.0,100.0,0.0,9.416005253122728,14.723361559912423,100.0,100.0,13248.0,24703.0,41491.0,41539.0,100.0,100.0,100.0,10.0,19.0,21.0,23.0,100.0,0,0.0,0,0.0,True,0.0,0.0
TruckScenes,paired,0,0-25,vehicle.truck,339,37,9,339,336,336,3,0,0,100.0,99.11504424778761,0.8849557522123908,4.361275837976843,24.98505764073589,99.41002949852508,99.11504424778761,2083.0,5750.0,12182.5,35161.19999999998,100.0,94.69026548672566,87.90560471976401,8.0,15.0,23.0,31.0,99.53389218095101,0,0.0,3,0.8849557522123916,False,0.0,0.3393665158371041
TruckScenes,paired,0,25-50,animal,7,1,1,7,1,1,6,0,0,100.0,14.285714285714285,85.71428571428572,26.24421595762759,45.431496390879126,100.0,100.0,10.0,12.0,16.0,25.400000000000006,100.0,0.0,0.0,0.0,0.0,0.0,0.40000000000000036,14.285714285714285,0,0.0,6,85.71428571428572,True,0.0,0.23228803716608595
TruckScenes,paired,0,25-50,human.pedestrian.adult,456,28,5,454,190,190,264,0,2,99.56140350877193,41.66666666666667,57.89473684210527,25.00266046359932,49.90446462513849,97.80701754385966,96.49122807017544,38.0,72.0,100.25,157.5,98.05900621118012,4.605263157894736,1.0964912280701753,0.0,0.0,1.0,2.0,35.18776376591254,2,0.43859649122806843,266,58.33333333333333,False,11.764705882352942,10.29810298102981
TruckScenes,paired,0,25-50,human.pedestrian.child,49,4,2,48,21,20,28,1,0,97.95918367346938,42.857142857142854,55.10204081632652,25.061226211189545,49.92841766747102,95.91836734693877,93.87755102040816,13.0,28.0,51.0,180.0,98.61111111111111,10.204081632653061,2.0408163265306123,0.0,0.0,1.0,2.200000000000003,32.9059829059829,1,2.040816326530617,28,57.142857142857146,True,5.882352941176471,1.084010840108401
TruckScenes,paired,0,25-50,human.pedestrian.construction_worker,149,5,2,149,47,47,102,0,0,100.0,31.543624161073826,68.45637583892618,25.026148264819447,49.742315202315375,100.0,100.0,47.0,78.0,169.0,211.80000000000015,100.0,6.7114093959731544,1.342281879194631,0.0,0.0,1.0,2.0,44.50928381962864,0,0.0,102,68.45637583892618,False,0.0,3.948896631823461
TruckScenes,paired,0,25-50,human.pedestrian.stroller,13,1,1,13,7,7,6,0,0,100.0,53.84615384615385,46.15384615384615,33.038505211786195,48.27409703090002,100.0,100.0,23.0,28.0,30.0,34.800000000000004,100.0,0.0,0.0,0.0,1.0,1.0,1.0,53.84615384615385,0,0.0,6,46.15384615384615,True,0.0,0.23228803716608595
TruckScenes,paired,0,25-50,movable_object.barrier,7,2,2,6,2,2,4,0,1,85.71428571428571,28.57142857142857,57.14285714285714,25.02131110837773,48.866131077214646,85.71428571428571,85.71428571428571,49.5,89.0,138.5,208.80000000000004,50.0,0.0,0.0,0.0,0.0,0.5,1.0,16.666666666666664,1,14.285714285714292,5,71.42857142857143,True,5.882352941176471,0.19357336430507163
