band_m,true_class,predicted_class,points,true_class_points
0-25,other,other,2155,3547
0-25,other,artificial_structures,20,3547
0-25,other,artificial_ground,1,3547
0-25,other,natural_ground,34,3547
0-25,other,obstacle,1134,3547
0-25,other,vehicle,0,3547
0-25,other,vegetation,203,3547
0-25,other,human,0,3547
0-25,artificial_structures,other,0,21664
0-25,artificial_structures,artificial_structures,21003,21664
0-25,artificial_structures,artificial_ground,18,21664
0-25,artificial_structures,natural_ground,77,21664
0-25,artificial_structures,obstacle,566,21664
0-25,artificial_structures,vehicle,0,21664
0-25,artificial_structures,vegetation,0,21664
0-25,artificial_structures,human,0,21664
0-25,artificial_ground,other,0,108880
0-25,artificial_ground,artificial_structures,0,108880
0-25,artificial_ground,artificial_ground,78597,108880
0-25,artificial_ground,natural_ground,28838,108880
0-25,artificial_ground,obstacle,76,108880
0-25,artificial_ground,vehicle,0,108880
0-25,artificial_ground,vegetation,1369,108880
0-25,artificial_ground,human,0,108880
0-25,natural_ground,other,0,44063
0-25,natural_ground,artificial_structures,0,44063
0-25,natural_ground,artificial_ground,56,44063
0-25,natural_ground,natural_ground,32692,44063
0-25,natural_ground,obstacle,67,44063
0-25,natural_ground,vehicle,0,44063
0-25,natural_ground,vegetation,11248,44063
0-25,natural_ground,human,0,44063
0-25,obstacle,other,0,97774
0-25,obstacle,artificial_structures,134,97774
0-25,obstacle,artificial_ground,13,97774
0-25,obstacle,natural_ground,367,97774
0-25,obstacle,obstacle,72139,97774
0-25,obstacle,vehicle,0,97774
0-25,obstacle,vegetation,25121,97774
0-25,obstacle,human,0,97774
0-25,vehicle,other,0,3552
0-25,vehicle,artificial_structures,124,3552
0-25,vehicle,artificial_ground,1,3552
0-25,vehicle,natural_ground,180,3552
0-25,vehicle,obstacle,431,3552
0-25,vehicle,vehicle,2437,3552
0-25,vehicle,vegetation,379,3552
0-25,vehicle,human,0,3552
0-25,vegetation,other,0,474988
0-25,vegetation,artificial_structures,9,474988
0-25,vegetation,artificial_ground,55,474988
0-25,vegetation,natural_ground,49565,474988
0-25,vegetation,obstacle,5139,474988
0-25,vegetation,vehicle,0,474988
0-25,vegetation,vegetation,420220,474988
0-25,vegetation,human,0,474988
0-25,human,other,0,0
0-25,human,artificial_structures,0,0
0-25,human,artificial_ground,0,0
0-25,human,natural_ground,0,0
0-25,human,obstacle,0,0
