frame,scenario,points,correct,accuracy_percent
2022-07-22_flight__0071_1658494234334310308_vls128.bin,2022-07-22_flight,169883,156039,91.85086206389103
2022-07-22_flight__0072_1658494235988100385_vls128.bin,2022-07-22_flight,170374,156054,91.59496167255567
2022-07-22_flight__0073_1658494238675704025_vls128.bin,2022-07-22_flight,178777,159926,89.4555787377571
2022-07-22_flight__0075_1658494242083534022_vls128.bin,2022-07-22_flight,177233,154718,87.29638385627959
2022-07-22_flight__0077_1658494244047191404_vls128.bin,2022-07-22_flight,179316,154344,86.0737469049053
2022-07-22_flight__0078_1658494246011438339_vls128.bin,2022-07-22_flight,180376,154623,85.72260167649799
2022-07-22_flight__0080_1658494248904312093_vls128.bin,2022-07-22_flight,181221,159109,87.79832359384397
2022-07-22_flight__0082_1658494251900354294_vls128.bin,2022-07-22_flight,182990,160239,87.56708016831521
2022-07-22_flight__0084_1658494255002048279_vls128.bin,2022-07-22_flight,183452,156147,85.11599764516059
2022-07-22_flight__0086_1658494257998064715_vls128.bin,2022-07-22_flight,181402,155852,85.91526003020915
