band_m,raw_class,model_truth,points,correct_coarse_label,correct_coarse_percent,most_common_wrong_prediction,most_common_wrong_points
0-25,undefined,other,7,1,14.285714285714286,natural_ground,2
0-25,obstacle,obstacle,109,0,0.0,vegetation,109
0-25,ego_vehicle,other,3540,2154,60.847457627118644,obstacle,1133
0-25,road_marking,artificial_ground,966,336,34.78260869565217,natural_ground,540
0-25,bush,vegetation,130408,129590,99.3727378688424,natural_ground,574
0-25,asphalt,artificial_ground,107914,78261,72.52163760031137,natural_ground,28298
0-25,soil,natural_ground,3421,3003,87.78135048231512,vegetation,364
0-25,building,artificial_structures,21664,21003,96.9488552437223,obstacle,566
0-25,fence,obstacle,89287,64927,72.71719287242264,vegetation,24005
0-25,pole,obstacle,3020,2780,92.05298013245033,vegetation,233
0-25,traffic_sign,obstacle,572,526,91.95804195804196,vegetation,46
0-25,misc_sign,obstacle,1718,1343,78.17229336437718,vegetation,375
0-25,low_grass,natural_ground,40642,29689,73.05004674966783,vegetation,10884
0-25,high_grass,vegetation,313955,260272,82.90105269863516,natural_ground,48933
0-25,heavy_machinery,vehicle,3552,2437,68.60923423423424,obstacle,431
0-25,container,obstacle,3068,2563,83.53976531942634,vegetation,353
0-25,hedge,vegetation,30625,30358,99.12816326530613,obstacle,200
100-150,undefined,other,1,0,0.0,vegetation,1
100-150,obstacle,obstacle,376,0,0.0,vegetation,376
100-150,street_light,obstacle,6,0,0.0,vegetation,6
100-150,road_marking,artificial_ground,3,0,0.0,natural_ground,3
100-150,bush,vegetation,41314,40863,98.90836036210486,obstacle,214
100-150,asphalt,artificial_ground,149,34,22.818791946308725,natural_ground,96
100-150,tree_crown,vegetation,2397,2375,99.08218606591572,obstacle,22
100-150,tree_trunk,vegetation,86,86,100.0,,0
100-150,soil,natural_ground,279,148,53.04659498207885,vegetation,131
100-150,building,artificial_structures,25316,22038,87.05166693000474,natural_ground,1421
100-150,fence,obstacle,953,164,17.20881427072403,vegetation,683
100-150,low_grass,natural_ground,6234,3995,64.08405518126403,vegetation,2205
100-150,high_grass,vegetation,1452,1180,81.26721763085399,natural_ground,266
100-150,heavy_machinery,vehicle,160,50,31.25,obstacle,77
100-150,container,obstacle,59,51,86.44067796610169,vegetation,7
100-150,hedge,vegetation,39123,38324,97.95772307849603,natural_ground,584
150+,undefined,other,3,0,0.0,vegetation,3
150+,bush,vegetation,7213,7035,97.53223346735062,artificial_structures,87
150+,building,artificial_structures,966,640,66.25258799171843,natural_ground,169
150+,fence,obstacle,193,129,66.83937823834196,vegetation,49
150+,low_grass,natural_ground,491,390,79.42973523421588,vegetation,98
150+,high_grass,vegetation,52,35,67.3076923076923,natural_ground,17
150+,hedge,vegetation,22520,22234,98.73001776198934,artificial_structures,142
25-50,obstacle,obstacle,1201,253,21.065778517901748,vegetation,618
25-50,street_light,obstacle,533,454,85.17823639774859,artificial_structures,59
25-50,road_marking,artificial_ground,893,265,29.67525195968645,natural_ground,442
25-50,bush,vegetation,85562,84337,98.56828966129824,obstacle,620
25-50,asphalt,artificial_ground,44697,34560,77.32062554533861,natural_ground,9691
25-50,tree_crown,vegetation,1528,1520,99.47643979057591,obstacle,8
25-50,tree_trunk,vegetation,60,47,78.33333333333333,obstacle,13
25-50,soil,natural_ground,3196,3007,94.0863579474343,vegetation,173
25-50,building,artificial_structures,118173,116059,98.211097289567,vegetation,990
25-50,fence,obstacle,26866,14300,53.2271272240006,vegetation,12082
25-50,pole,obstacle,1002,607,60.578842315369265,vegetation,382
25-50,traffic_sign,obstacle,13,13,100.0,,0
25-50,misc_sign,obstacle,233,233,100.0,,0
25-50,low_grass,natural_ground,65292,50895,77.94982539974269,vegetation,14287
25-50,high_grass,vegetation,103710,91889,88.60187060071353,natural_ground,10087
25-50,heavy_machinery,vehicle,1227,709,57.78321108394458,obstacle,245
25-50,container,obstacle,723,218,30.152143845089903,vegetation,498
25-50,hedge,vegetation,55647,55071,98.96490376839722,natural_ground,415
25-50,pipe,obstacle,301,158,52.49169435215947,vegetation,143
50-75,obstacle,obstacle,314,77,24.522292993630572,vegetation,237
50-75,street_light,obstacle,106,56,52.83018867924528,vegetation,30
50-75,road_marking,artificial_ground,211,67,31.753554502369667,natural_ground,101
50-75,bush,vegetation,66347,65893,99.3157188719912,natural_ground,226
50-75,asphalt,artificial_ground,4648,3436,73.92426850258175,natural_ground,1082
50-75,tree_crown,vegetation,1262,1262,100.0,,0
50-75,tree_trunk,vegetation,65,65,100.0,,0
50-75,soil,natural_ground,530,418,78.86792452830188,vegetation,81
50-75,building,artificial_structures,67746,65258,96.32745844773123,vegetation,1151
50-75,fence,obstacle,4490,2089,46.525612472160354,vegetation,2271
50-75,pole,obstacle,137,79,57.66423357664234,vegetation,58
50-75,misc_sign,obstacle,71,71,100.0,,0
50-75,low_grass,natural_ground,25866,20365,78.73269929637362,vegetation,5408
50-75,high_grass,vegetation,15134,12510,82.66155675961411,natural_ground,2123
50-75,heavy_machinery,vehicle,87,4,4.597701149425287,obstacle,64
50-75,container,obstacle,25,0,0.0,vegetation,25
50-75,hedge,vegetation,57131,56212,98.39141621886542,natural_ground,852
75-100,obstacle,obstacle,168,7,4.166666666666667,vegetation,158
75-100,street_light,obstacle,6,0,0.0,vegetation,6
75-100,road_marking,artificial_ground,49,10,20.408163265306122,natural_ground,28
75-100,bush,vegetation,42543,42370,99.5933526079496,natural_ground,125
75-100,asphalt,artificial_ground,1054,518,49.146110056926,natural_ground,485
75-100,tree_crown,vegetation,804,775,96.39303482587064,artificial_structures,29
75-100,tree_trunk,vegetation,16,16,100.0,,0
75-100,soil,natural_ground,256,187,73.046875,vegetation,69
75-100,building,artificial_structures,24066,21322,88.59802210587551,vegetation,1808
75-100,fence,obstacle,2054,669,32.57059396299903,vegetation,1309
75-100,pole,obstacle,2,2,100.0,,0
75-100,misc_sign,obstacle,5,0,0.0,vegetation,5
75-100,low_grass,natural_ground,10028,6067,60.50059832469086,vegetation,3909
75-100,high_grass,vegetation,3967,2826,71.23771111671289,natural_ground,1001
75-100,heavy_machinery,vehicle,124,42,33.87096774193548,obstacle,42
75-100,container,obstacle,18,15,83.33333333333333,vegetation,3
75-100,hedge,vegetation,41023,40754,99.34427028739975,natural_ground,184
