dataset,variant,margin_m,near_band,far_band,category,tracks,scenes,lidar_near_percent,lidar_far_percent,lidar_far_minus_near_pp,lidar_tracks_lower_far,radar_near_percent,radar_far_percent,radar_far_minus_near_pp,radar_tracks_lower_far
TruckScenes,paired,0,0-50,50-100,ALL,548,9,99.86211515066442,99.02285846047823,-0.8392566901861859,30,63.76155790300356,44.23309596643845,-19.528461936565105,335
TruckScenes,paired,0,0-50,50-100,animal,1,1,100.0,100.0,0.0,0,10.526315789473683,11.11111111111111,0.5847953216374269,0
TruckScenes,paired,0,0-50,50-100,human.pedestrian.adult,19,5,100.0,100.0,0.0,0,41.73462759261307,30.967570441254644,-10.767057151358422,12
TruckScenes,paired,0,0-50,50-100,human.pedestrian.child,2,1,98.4375,100.0,1.5625,0,67.54807692307692,26.136363636363633,-41.41171328671329,2
TruckScenes,paired,0,0-50,50-100,human.pedestrian.construction_worker,1,1,100.0,100.0,0.0,0,100.0,33.33333333333333,-66.66666666666667,1
TruckScenes,paired,0,0-50,50-100,human.pedestrian.stroller,1,1,100.0,100.0,0.0,0,53.84615384615385,15.789473684210526,-38.05668016194332,1
TruckScenes,paired,0,0-50,50-100,movable_object.barrier,1,1,100.0,100.0,0.0,0,37.5,10.0,-27.500000000000004,1
TruckScenes,paired,0,0-50,50-100,movable_object.trafficcone,36,2,100.0,99.78632478632478,-0.21367521367521353,1,20.125661375661373,2.0833333333333335,-18.042328042328037,21
TruckScenes,paired,0,0-50,50-100,static_object.traffic_sign,150,8,99.94444444444444,98.76733907944332,-1.177105365001123,12,31.312641320487103,15.405659954911085,-15.906981365576012,88
TruckScenes,paired,0,0-50,50-100,vehicle.bicycle,2,2,100.0,100.0,0.0,0,73.09941520467837,5.555555555555555,-67.54385964912282,2
TruckScenes,paired,0,0-50,50-100,vehicle.bus.rigid,7,2,100.0,100.0,0.0,0,80.04854924862661,81.82539682539684,1.776847576770198,2
TruckScenes,paired,0,0-50,50-100,vehicle.car,237,9,99.81391323163476,98.55324000893621,-1.2606732226985393,17,79.95447428685438,52.459059976562514,-27.495414310291856,182
TruckScenes,paired,0,0-50,50-100,vehicle.construction,1,1,100.0,100.0,0.0,0,100.0,100.0,0.0,0
TruckScenes,paired,0,0-50,50-100,vehicle.motorcycle,2,2,100.0,100.0,0.0,0,80.35714285714286,18.181818181818183,-62.175324675324674,2
TruckScenes,paired,0,0-50,50-100,vehicle.other,1,1,100.0,100.0,0.0,0,100.0,85.71428571428571,-14.28571428571429,1
