dataset,variant,margin_m,near_band,far_band,track,scene,category,near_observations,far_observations,lidar_near_percent,lidar_far_percent,lidar_far_minus_near_pp,radar_near_percent,radar_far_percent,radar_far_minus_near_pp
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:18b35f704a7d45199d08cbce4ca63d86,scene-0044384af3d8494e913fb8b14915239e-3,human.pedestrian.adult,28,2,100.0,100.0,0.0,42.857142857142854,0.0,-42.857142857142854
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:34dd580c62534e9ebfa697f244af3814,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,34,4,100.0,100.0,0.0,97.05882352941177,100.0,2.941176470588236
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:3c62d9a0a6a44920928bea8cbad597d1,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.trailer,31,4,100.0,100.0,0.0,64.51612903225806,75.0,10.483870967741938
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:4a3fb6f3fc024e5690aaba92ee264430,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.trailer,30,6,100.0,100.0,0.0,96.66666666666667,100.0,3.3333333333333326
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:9caa791504f649619080abb71419f108,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.car,35,2,100.0,100.0,0.0,85.71428571428571,100.0,14.28571428571429
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:e1d9dc2fd2bb4506ae63939bc2d933e9,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.trailer,35,3,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-0044384af3d8494e913fb8b14915239e-3:e99e98a38de24796b7515e8934787430,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,32,2,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:04aa8aee61694695ae0db679f66ecf4a,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,2,4,100.0,100.0,0.0,100.0,75.0,-25.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:0cf48518dca546eca092fa8814a0611e,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,1,2,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:14db312b4795434780f50e1728ba4601,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.trailer,1,2,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:1ae7409af9d348b6969f9248feb2382c,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,8,7,100.0,100.0,0.0,12.5,14.285714285714285,1.785714285714285
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:27cdb8188fd64054bb62f389c31901d7,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,2,4,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:28baf8600144483eb534f0d6190466b5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,7,3,100.0,66.66666666666666,-33.333333333333336,14.285714285714285,0.0,-14.285714285714285
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:2a7cf27abf3d4bbb95cad770f0c591d0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,3,4,100.0,100.0,0.0,0.0,25.0,25.0
