dataset,variant,margin_m,band_m,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent,lidar_unsupported,lidar_missing_percent,radar_unsupported,radar_missing_percent,sparse_cohort
TruckScenes,paired,0,0-25,3940,400,10,3936,3056,3055,881,1,3,99.8984771573604,77.56345177664976,22.33502538071066,2.6179277868068884,24.995558605686654,99.13705583756345,98.68020304568527,263.0,905.5,3946.75,13206.0,99.94952380952381,52.03045685279187,38.578680203045685,1.0,3.0,8.0,18.0,75.0041427803956,4,0.10152284263959643,884,22.436548223350243,False
TruckScenes,paired,0,25-50,6280,639,10,6263,3697,3693,2570,4,13,99.72929936305732,58.86942675159236,40.859872611464965,25.001176906087522,49.99349955220707,98.74203821656052,97.85031847133759,52.0,126.0,343.0,1041.2000000000007,99.38326851982701,30.52547770700637,18.359872611464965,0.0,1.0,3.0,8.0,60.47555145740476,17,0.2707006369426779,2583,41.13057324840764,False
TruckScenes,paired,0,50-75,4800,710,10,4766,2182,2179,2587,3,31,99.29166666666667,45.458333333333336,53.833333333333336,50.003136842733674,74.99743290776713,95.39583333333333,91.70833333333334,15.0,37.0,93.0,216.10000000000036,99.25335125512713,17.208333333333332,9.291666666666666,0.0,0.0,2.0,4.0,47.55728306337415,34,0.7083333333333286,2618,54.541666666666664,False
TruckScenes,paired,0,75-100,3456,642,10,3386,1278,1269,2117,9,61,97.97453703703704,36.97916666666667,60.995370370370374,75.00079581872598,99.99549439560867,89.90162037037037,82.29166666666666,7.0,18.0,42.0,101.5,98.1326373920085,11.54513888888889,5.758101851851852,0.0,0.0,1.0,3.0,37.38553657776035,70,2.025462962962962,2178,63.02083333333333,False
TruckScenes,paired,0,100-150,4332,613,9,4147,1182,1166,2981,16,169,95.72945521698985,27.28531855955679,68.44413665743305,100.00365658377392,149.99902983471054,81.1865189289012,67.98245614035088,3.0,8.0,20.0,47.0,95.61605230935102,6.278855032317636,2.100646352723915,0.0,0.0,1.0,2.0,26.550754756960593,185,4.270544783010152,3150,72.71468144044321,False
TruckScenes,paired,0,150-200,1878,427,9,1740,349,343,1397,6,132,92.65175718849841,18.583599574014908,74.0681576144835,150.00948473263907,199.98866853976983,71.19275825346114,55.32481363152289,2.0,6.0,13.0,33.0,91.63838408449453,3.035143769968051,0.6922257720979765,0.0,0.0,0.0,1.0,15.805361482519963,138,7.348242811501592,1529,81.41640042598509,False
TruckScenes,paired,0,200-250,431,216,8,378,1,1,377,0,53,87.70301624129931,0.23201856148491878,87.47099767981439,200.00147325915378,229.4177589511211,58.23665893271461,40.835266821345705,1.0,3.0,9.0,22.0,87.92254556143446,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148145,53,12.29698375870069,430,99.76798143851508,False
TruckScenes,paired,0.5,0-25,3940,400,10,3938,3625,3624,314,1,1,99.9492385786802,92.00507614213198,7.944162436548218,2.6179277868068884,24.995558605686654,99.72081218274111,99.34010152284264,392.0,1169.5,4833.0,16822.1,99.97619047619048,64.61928934010153,49.035532994923855,2.0,4.0,10.0,21.0,89.37763940042636,2,0.05076142131980532,315,7.994923857868017,False
TruckScenes,paired,0.5,25-50,6280,639,10,6275,5297,5297,978,0,5,99.92038216560509,84.34713375796179,15.573248407643314,25.001176906087522,49.99349955220707,99.39490445859872,98.85350318471338,74.0,168.0,413.0,1182.2000000000007,99.78453652672881,47.5796178343949,30.38216560509554,1.0,2.0,6.0,11.0,85.4335024906759,5,0.07961783439490944,983,15.652866242038215,False
TruckScenes,paired,0.5,50-75,4800,710,10,4799,3632,3632,1167,0,1,99.97916666666666,75.66666666666667,24.312499999999993,50.003136842733674,74.99743290776713,97.04166666666667,93.95833333333333,20.0,46.0,110.0,243.10000000000036,99.98719590268885,34.729166666666664,17.854166666666664,1.0,1.0,3.0,7.0,76.87031924119307,1,0.020833333333342807,1168,24.33333333333333,False
