scenario,band_m,group,points
2022-07-22_flight,0-50,excluded,98241
2022-07-22_flight,0-50,geometry_ambiguous,10632
2022-07-22_flight,0-50,ground_cover,3929822
2022-07-22_flight,0-50,ground_surface,1933942
2022-07-22_flight,0-50,obstacle_candidate,2901294
2022-07-22_flight,0-50,vegetation,14694615
2022-07-22_flight,0-50,water,44
2022-07-22_flight,100-150,excluded,428
2022-07-22_flight,100-150,geometry_ambiguous,24
2022-07-22_flight,100-150,ground_cover,71928
2022-07-22_flight,100-150,ground_surface,6248
2022-07-22_flight,100-150,obstacle_candidate,78360
2022-07-22_flight,100-150,vegetation,615588
2022-07-22_flight,100-150,water,0
2022-07-22_flight,150-400,excluded,325
2022-07-22_flight,150-400,geometry_ambiguous,1
2022-07-22_flight,150-400,ground_cover,11442
2022-07-22_flight,150-400,ground_surface,761
2022-07-22_flight,150-400,obstacle_candidate,33463
2022-07-22_flight,150-400,vegetation,240348
2022-07-22_flight,150-400,water,0
2022-07-22_flight,50-100,excluded,542
2022-07-22_flight,50-100,geometry_ambiguous,268
2022-07-22_flight,50-100,ground_cover,416533
2022-07-22_flight,50-100,ground_surface,80341
2022-07-22_flight,50-100,obstacle_candidate,270035
2022-07-22_flight,50-100,vegetation,2025164
2022-07-22_flight,50-100,water,2
2022-07-22_flight,>=400,excluded,0
2022-07-22_flight,>=400,geometry_ambiguous,0
2022-07-22_flight,>=400,ground_cover,0
2022-07-22_flight,>=400,ground_surface,0
2022-07-22_flight,>=400,obstacle_candidate,0
2022-07-22_flight,>=400,vegetation,0
2022-07-22_flight,>=400,water,0
2022-08-30_siegertsbrunn_feldwege,0-50,excluded,38237
2022-08-30_siegertsbrunn_feldwege,0-50,geometry_ambiguous,108975
2022-08-30_siegertsbrunn_feldwege,0-50,ground_cover,2945310
2022-08-30_siegertsbrunn_feldwege,0-50,ground_surface,2120440
2022-08-30_siegertsbrunn_feldwege,0-50,obstacle_candidate,999437
2022-08-30_siegertsbrunn_feldwege,0-50,vegetation,6460786
2022-08-30_siegertsbrunn_feldwege,0-50,water,25
2022-08-30_siegertsbrunn_feldwege,100-150,excluded,305
2022-08-30_siegertsbrunn_feldwege,100-150,geometry_ambiguous,1225
2022-08-30_siegertsbrunn_feldwege,100-150,ground_cover,174714
2022-08-30_siegertsbrunn_feldwege,100-150,ground_surface,104933
2022-08-30_siegertsbrunn_feldwege,100-150,obstacle_candidate,47421
2022-08-30_siegertsbrunn_feldwege,100-150,vegetation,210020
2022-08-30_siegertsbrunn_feldwege,100-150,water,0
2022-08-30_siegertsbrunn_feldwege,150-400,excluded,272
2022-08-30_siegertsbrunn_feldwege,150-400,geometry_ambiguous,306
2022-08-30_siegertsbrunn_feldwege,150-400,ground_cover,54851
2022-08-30_siegertsbrunn_feldwege,150-400,ground_surface,29213
2022-08-30_siegertsbrunn_feldwege,150-400,obstacle_candidate,25669
2022-08-30_siegertsbrunn_feldwege,150-400,vegetation,107228
2022-08-30_siegertsbrunn_feldwege,150-400,water,0
2022-08-30_siegertsbrunn_feldwege,50-100,excluded,400
2022-08-30_siegertsbrunn_feldwege,50-100,geometry_ambiguous,4651
2022-08-30_siegertsbrunn_feldwege,50-100,ground_cover,677065
2022-08-30_siegertsbrunn_feldwege,50-100,ground_surface,363332
2022-08-30_siegertsbrunn_feldwege,50-100,obstacle_candidate,152197
2022-08-30_siegertsbrunn_feldwege,50-100,vegetation,449079
2022-08-30_siegertsbrunn_feldwege,50-100,water,0
2022-08-30_siegertsbrunn_feldwege,>=400,excluded,0
2022-08-30_siegertsbrunn_feldwege,>=400,geometry_ambiguous,0
2022-08-30_siegertsbrunn_feldwege,>=400,ground_cover,0
2022-08-30_siegertsbrunn_feldwege,>=400,ground_surface,0
2022-08-30_siegertsbrunn_feldwege,>=400,obstacle_candidate,0
2022-08-30_siegertsbrunn_feldwege,>=400,vegetation,0
2022-08-30_siegertsbrunn_feldwege,>=400,water,0
2022-09-21_garching_uebungsplatz_2,0-50,excluded,42594
2022-09-21_garching_uebungsplatz_2,0-50,geometry_ambiguous,8490
2022-09-21_garching_uebungsplatz_2,0-50,ground_cover,4445559
2022-09-21_garching_uebungsplatz_2,0-50,ground_surface,680461
2022-09-21_garching_uebungsplatz_2,0-50,obstacle_candidate,925396
2022-09-21_garching_uebungsplatz_2,0-50,vegetation,16389989
2022-09-21_garching_uebungsplatz_2,0-50,water,0
2022-09-21_garching_uebungsplatz_2,100-150,excluded,94
2022-09-21_garching_uebungsplatz_2,100-150,geometry_ambiguous,0
2022-09-21_garching_uebungsplatz_2,100-150,ground_cover,45208
2022-09-21_garching_uebungsplatz_2,100-150,ground_surface,2788
2022-09-21_garching_uebungsplatz_2,100-150,obstacle_candidate,3658
2022-09-21_garching_uebungsplatz_2,100-150,vegetation,431212
2022-09-21_garching_uebungsplatz_2,100-150,water,0
2022-09-21_garching_uebungsplatz_2,150-400,excluded,42
2022-09-21_garching_uebungsplatz_2,150-400,geometry_ambiguous,0
2022-09-21_garching_uebungsplatz_2,150-400,ground_cover,10619
2022-09-21_garching_uebungsplatz_2,150-400,ground_surface,270
2022-09-21_garching_uebungsplatz_2,150-400,obstacle_candidate,241
2022-09-21_garching_uebungsplatz_2,150-400,vegetation,156964
2022-09-21_garching_uebungsplatz_2,150-400,water,0
2022-09-21_garching_uebungsplatz_2,50-100,excluded,103
2022-09-21_garching_uebungsplatz_2,50-100,geometry_ambiguous,29
2022-09-21_garching_uebungsplatz_2,50-100,ground_cover,307215
2022-09-21_garching_uebungsplatz_2,50-100,ground_surface,35569
2022-09-21_garching_uebungsplatz_2,50-100,obstacle_candidate,58271
2022-09-21_garching_uebungsplatz_2,50-100,vegetation,1475082
2022-09-21_garching_uebungsplatz_2,50-100,water,0
2022-09-21_garching_uebungsplatz_2,>=400,excluded,0
2022-09-21_garching_uebungsplatz_2,>=400,geometry_ambiguous,0
2022-09-21_garching_uebungsplatz_2,>=400,ground_cover,0
2022-09-21_garching_uebungsplatz_2,>=400,ground_surface,0
2022-09-21_garching_uebungsplatz_2,>=400,obstacle_candidate,0
2022-09-21_garching_uebungsplatz_2,>=400,vegetation,0
2022-09-21_garching_uebungsplatz_2,>=400,water,0
2022-12-07_aying_hills,0-50,excluded,47456
2022-12-07_aying_hills,0-50,geometry_ambiguous,14255
2022-12-07_aying_hills,0-50,ground_cover,2979694
2022-12-07_aying_hills,0-50,ground_surface,1167181
2022-12-07_aying_hills,0-50,obstacle_candidate,5318422
2022-12-07_aying_hills,0-50,vegetation,11917355
2022-12-07_aying_hills,0-50,water,0
2022-12-07_aying_hills,100-150,excluded,498
2022-12-07_aying_hills,100-150,geometry_ambiguous,195
2022-12-07_aying_hills,100-150,ground_cover,93939
2022-12-07_aying_hills,100-150,ground_surface,1830
2022-12-07_aying_hills,100-150,obstacle_candidate,80328
2022-12-07_aying_hills,100-150,vegetation,883001
2022-12-07_aying_hills,100-150,water,0
2022-12-07_aying_hills,150-400,excluded,255
2022-12-07_aying_hills,150-400,geometry_ambiguous,115
2022-12-07_aying_hills,150-400,ground_cover,44093
2022-12-07_aying_hills,150-400,ground_surface,105
2022-12-07_aying_hills,150-400,obstacle_candidate,15762
2022-12-07_aying_hills,150-400,vegetation,462554
2022-12-07_aying_hills,150-400,water,0
2022-12-07_aying_hills,50-100,excluded,954
2022-12-07_aying_hills,50-100,geometry_ambiguous,1190
2022-12-07_aying_hills,50-100,ground_cover,374969
2022-12-07_aying_hills,50-100,ground_surface,38653
2022-12-07_aying_hills,50-100,obstacle_candidate,608359
2022-12-07_aying_hills,50-100,vegetation,2147610
2022-12-07_aying_hills,50-100,water,0
2022-12-07_aying_hills,>=400,excluded,0
2022-12-07_aying_hills,>=400,geometry_ambiguous,0
2022-12-07_aying_hills,>=400,ground_cover,0
2022-12-07_aying_hills,>=400,ground_surface,0
2022-12-07_aying_hills,>=400,obstacle_candidate,0
2022-12-07_aying_hills,>=400,vegetation,0
2022-12-07_aying_hills,>=400,water,0
2023-01-20_aying_mangfall_2,0-50,excluded,68204
2023-01-20_aying_mangfall_2,0-50,geometry_ambiguous,151340
2023-01-20_aying_mangfall_2,0-50,ground_cover,8808574
2023-01-20_aying_mangfall_2,0-50,ground_surface,1413956
2023-01-20_aying_mangfall_2,0-50,obstacle_candidate,7142461
2023-01-20_aying_mangfall_2,0-50,vegetation,12719031
2023-01-20_aying_mangfall_2,0-50,water,0
2023-01-20_aying_mangfall_2,100-150,excluded,1919
2023-01-20_aying_mangfall_2,100-150,geometry_ambiguous,2917
2023-01-20_aying_mangfall_2,100-150,ground_cover,367863
2023-01-20_aying_mangfall_2,100-150,ground_surface,2879
2023-01-20_aying_mangfall_2,100-150,obstacle_candidate,103618
2023-01-20_aying_mangfall_2,100-150,vegetation,504043
2023-01-20_aying_mangfall_2,100-150,water,8
2023-01-20_aying_mangfall_2,150-400,excluded,1450
2023-01-20_aying_mangfall_2,150-400,geometry_ambiguous,2223
2023-01-20_aying_mangfall_2,150-400,ground_cover,104753
2023-01-20_aying_mangfall_2,150-400,ground_surface,2558
2023-01-20_aying_mangfall_2,150-400,obstacle_candidate,44509
2023-01-20_aying_mangfall_2,150-400,vegetation,284968
2023-01-20_aying_mangfall_2,150-400,water,0
2023-01-20_aying_mangfall_2,50-100,excluded,645
2023-01-20_aying_mangfall_2,50-100,geometry_ambiguous,17815
2023-01-20_aying_mangfall_2,50-100,ground_cover,1371302
2023-01-20_aying_mangfall_2,50-100,ground_surface,57092
2023-01-20_aying_mangfall_2,50-100,obstacle_candidate,570955
2023-01-20_aying_mangfall_2,50-100,vegetation,1704426
2023-01-20_aying_mangfall_2,50-100,water,4
2023-01-20_aying_mangfall_2,>=400,excluded,0
2023-01-20_aying_mangfall_2,>=400,geometry_ambiguous,0
2023-01-20_aying_mangfall_2,>=400,ground_cover,0
2023-01-20_aying_mangfall_2,>=400,ground_surface,0
2023-01-20_aying_mangfall_2,>=400,obstacle_candidate,0
2023-01-20_aying_mangfall_2,>=400,vegetation,0
2023-01-20_aying_mangfall_2,>=400,water,0
2023-03-03_garching_2,0-50,excluded,36745
2023-03-03_garching_2,0-50,geometry_ambiguous,20985
2023-03-03_garching_2,0-50,ground_cover,6233367
2023-03-03_garching_2,0-50,ground_surface,701071
2023-03-03_garching_2,0-50,obstacle_candidate,1378747
2023-03-03_garching_2,0-50,vegetation,9705578
2023-03-03_garching_2,0-50,water,0
2023-03-03_garching_2,100-150,excluded,3553
2023-03-03_garching_2,100-150,geometry_ambiguous,0
2023-03-03_garching_2,100-150,ground_cover,32807
2023-03-03_garching_2,100-150,ground_surface,2364
2023-03-03_garching_2,100-150,obstacle_candidate,14103
2023-03-03_garching_2,100-150,vegetation,238894
2023-03-03_garching_2,100-150,water,0
2023-03-03_garching_2,150-400,excluded,1050
2023-03-03_garching_2,150-400,geometry_ambiguous,0
2023-03-03_garching_2,150-400,ground_cover,9130
2023-03-03_garching_2,150-400,ground_surface,141
2023-03-03_garching_2,150-400,obstacle_candidate,387
2023-03-03_garching_2,150-400,vegetation,49296
2023-03-03_garching_2,150-400,water,0
2023-03-03_garching_2,50-100,excluded,6001
2023-03-03_garching_2,50-100,geometry_ambiguous,760
2023-03-03_garching_2,50-100,ground_cover,366419
2023-03-03_garching_2,50-100,ground_surface,32624
