band_m,true_class,true_group,predicted_class,points
0-25,asphalt,ground_surface,other,0
0-25,asphalt,ground_surface,artificial_structures,0
0-25,asphalt,ground_surface,artificial_ground,78261
0-25,asphalt,ground_surface,natural_ground,28298
0-25,asphalt,ground_surface,obstacle,76
0-25,asphalt,ground_surface,vehicle,0
0-25,asphalt,ground_surface,vegetation,1279
0-25,asphalt,ground_surface,human,0
0-25,building,obstacle_candidate,other,0
0-25,building,obstacle_candidate,artificial_structures,21003
0-25,building,obstacle_candidate,artificial_ground,18
0-25,building,obstacle_candidate,natural_ground,77
0-25,building,obstacle_candidate,obstacle,566
0-25,building,obstacle_candidate,vehicle,0
0-25,building,obstacle_candidate,vegetation,0
0-25,building,obstacle_candidate,human,0
0-25,bush,vegetation,other,0
0-25,bush,vegetation,artificial_structures,0
0-25,bush,vegetation,artificial_ground,0
0-25,bush,vegetation,natural_ground,574
0-25,bush,vegetation,obstacle,244
0-25,bush,vegetation,vehicle,0
0-25,bush,vegetation,vegetation,129590
0-25,bush,vegetation,human,0
0-25,container,obstacle_candidate,other,0
0-25,container,obstacle_candidate,artificial_structures,0
0-25,container,obstacle_candidate,artificial_ground,2
0-25,container,obstacle_candidate,natural_ground,150
0-25,container,obstacle_candidate,obstacle,2563
0-25,container,obstacle_candidate,vehicle,0
0-25,container,obstacle_candidate,vegetation,353
0-25,container,obstacle_candidate,human,0
0-25,ego_vehicle,excluded,other,2154
0-25,ego_vehicle,excluded,artificial_structures,20
0-25,ego_vehicle,excluded,artificial_ground,0
0-25,ego_vehicle,excluded,natural_ground,32
0-25,ego_vehicle,excluded,obstacle,1133
0-25,ego_vehicle,excluded,vehicle,0
0-25,ego_vehicle,excluded,vegetation,201
0-25,ego_vehicle,excluded,human,0
0-25,fence,obstacle_candidate,other,0
0-25,fence,obstacle_candidate,artificial_structures,134
0-25,fence,obstacle_candidate,artificial_ground,11
0-25,fence,obstacle_candidate,natural_ground,210
0-25,fence,obstacle_candidate,obstacle,64927
0-25,fence,obstacle_candidate,vehicle,0
0-25,fence,obstacle_candidate,vegetation,24005
0-25,fence,obstacle_candidate,human,0
0-25,heavy_machinery,obstacle_candidate,other,0
0-25,heavy_machinery,obstacle_candidate,artificial_structures,124
0-25,heavy_machinery,obstacle_candidate,artificial_ground,1
0-25,heavy_machinery,obstacle_candidate,natural_ground,180
0-25,heavy_machinery,obstacle_candidate,obstacle,431
0-25,heavy_machinery,obstacle_candidate,vehicle,2437
0-25,heavy_machinery,obstacle_candidate,vegetation,379
0-25,heavy_machinery,obstacle_candidate,human,0
0-25,hedge,vegetation,other,0
0-25,hedge,vegetation,artificial_structures,9
0-25,hedge,vegetation,artificial_ground,0
0-25,hedge,vegetation,natural_ground,58
0-25,hedge,vegetation,obstacle,200
0-25,hedge,vegetation,vehicle,0
0-25,hedge,vegetation,vegetation,30358
0-25,hedge,vegetation,human,0
0-25,high_grass,vegetation,other,0
0-25,high_grass,vegetation,artificial_structures,0
0-25,high_grass,vegetation,artificial_ground,55
0-25,high_grass,vegetation,natural_ground,48933
0-25,high_grass,vegetation,obstacle,4695
0-25,high_grass,vegetation,vehicle,0
0-25,high_grass,vegetation,vegetation,260272
0-25,high_grass,vegetation,human,0
0-25,low_grass,ground_cover,other,0
0-25,low_grass,ground_cover,artificial_structures,0
0-25,low_grass,ground_cover,artificial_ground,8
0-25,low_grass,ground_cover,natural_ground,29689
0-25,low_grass,ground_cover,obstacle,61
0-25,low_grass,ground_cover,vehicle,0
0-25,low_grass,ground_cover,vegetation,10884
0-25,low_grass,ground_cover,human,0
0-25,misc_sign,obstacle_candidate,other,0
0-25,misc_sign,obstacle_candidate,artificial_structures,0
0-25,misc_sign,obstacle_candidate,artificial_ground,0
0-25,misc_sign,obstacle_candidate,natural_ground,0
0-25,misc_sign,obstacle_candidate,obstacle,1343
0-25,misc_sign,obstacle_candidate,vehicle,0
0-25,misc_sign,obstacle_candidate,vegetation,375
0-25,misc_sign,obstacle_candidate,human,0
0-25,obstacle,obstacle_candidate,other,0
0-25,obstacle,obstacle_candidate,artificial_structures,0
0-25,obstacle,obstacle_candidate,artificial_ground,0
0-25,obstacle,obstacle_candidate,natural_ground,0
0-25,obstacle,obstacle_candidate,obstacle,0
0-25,obstacle,obstacle_candidate,vehicle,0
0-25,obstacle,obstacle_candidate,vegetation,109
0-25,obstacle,obstacle_candidate,human,0
0-25,pole,obstacle_candidate,other,0
0-25,pole,obstacle_candidate,artificial_structures,0
0-25,pole,obstacle_candidate,artificial_ground,0
