frame,band_m,true_group,points,other_points,obstacle_category_points,ground_category_points,vegetation_points,other_percent,obstacle_category_percent,ground_category_percent,vegetation_percent
2022-07-22_flight__0071_1658494234334310308_vls128.bin,0-25,excluded,352,337,2,13,0,95.73863636363636,0.5681818181818182,3.6931818181818183,0.0
2022-07-22_flight__0071_1658494234334310308_vls128.bin,0-25,ground_cover,15258,0,10,11264,3984,0.0,0.06553938917289291,73.82356796434657,26.110892646480536
2022-07-22_flight__0071_1658494234334310308_vls128.bin,0-25,ground_surface,7036,0,0,6877,159,0.0,0.0,97.74019329164298,2.2598067083570212
2022-07-22_flight__0071_1658494234334310308_vls128.bin,0-25,obstacle_candidate,267,0,197,7,63,0.0,73.78277153558052,2.6217228464419478,23.59550561797753
2022-07-22_flight__0071_1658494234334310308_vls128.bin,0-25,vegetation,77498,0,42,342,77114,0.0,0.05419494696637332,0.4413017110118971,99.50450334202174
2022-07-22_flight__0071_1658494234334310308_vls128.bin,100-150,ground_cover,411,0,0,357,54,0.0,0.0,86.86131386861314,13.138686131386862
2022-07-22_flight__0071_1658494234334310308_vls128.bin,100-150,obstacle_candidate,4679,0,4004,149,526,0.0,85.57384056422312,3.184441119897414,11.241718315879462
2022-07-22_flight__0071_1658494234334310308_vls128.bin,100-150,vegetation,16507,0,28,149,16330,0.0,0.16962500757254498,0.9026473617253287,98.92772763070212
2022-07-22_flight__0071_1658494234334310308_vls128.bin,150+,excluded,1,0,0,0,1,0.0,0.0,0.0,100.0
2022-07-22_flight__0071_1658494234334310308_vls128.bin,150+,ground_cover,43,0,0,37,6,0.0,0.0,86.04651162790698,13.953488372093023
2022-07-22_flight__0071_1658494234334310308_vls128.bin,150+,obstacle_candidate,72,0,68,0,4,0.0,94.44444444444444,0.0,5.555555555555555
2022-07-22_flight__0071_1658494234334310308_vls128.bin,150+,vegetation,1808,0,2,31,1775,0.0,0.11061946902654868,1.7146017699115044,98.17477876106194
2022-07-22_flight__0071_1658494234334310308_vls128.bin,25-50,ground_cover,14872,0,10,11526,3336,0.0,0.06724045185583648,77.50134480903712,22.431414739107048
2022-07-22_flight__0071_1658494234334310308_vls128.bin,25-50,ground_surface,2974,0,0,2904,70,0.0,0.0,97.6462676529926,2.3537323470073974
