band_m,true_group,points,other_points,obstacle_category_points,ground_category_points,vegetation_points,other_percent,obstacle_category_percent,ground_category_percent,vegetation_percent
0-25,excluded,3547,2155,1154,35,203,60.75556808570623,32.53453622779814,0.986749365661122,5.723146320834508
0-25,ground_cover,40642,0,61,29697,10884,0.0,0.1500910388268294,73.06973082033365,26.780178140839524
0-25,ground_surface,112301,0,82,110486,1733,0.0,0.07301804970570164,98.38380780224576,1.5431741480485481
0-25,obstacle_candidate,122990,0,96834,656,25500,0.0,78.7332303439304,0.5333766972924628,20.733392958777138
0-25,vegetation,474988,0,5148,49620,420220,0.0,1.0838168543205302,10.446579703066183,88.46960344261329
100-150,excluded,1,0,0,0,1,0.0,0.0,0.0,100.0
100-150,ground_cover,6234,0,15,4014,2205,0.0,0.24061597690086622,64.3888354186718,35.370548604427334
100-150,ground_surface,431,0,0,281,150,0.0,0.0,65.19721577726219,34.80278422273782
100-150,obstacle_candidate,26956,0,22593,1921,2442,0.0,83.81436414898353,7.126428253450067,9.059207597566404
100-150,vegetation,84286,0,552,992,82742,0.0,0.6549130341931044,1.176945162897753,98.16814180290915
150+,excluded,3,0,0,0,3,0.0,0.0,0.0,100.0
150+,ground_cover,491,0,0,393,98,0.0,0.0,80.04073319755601,19.95926680244399
150+,obstacle_candidate,1159,0,799,184,176,0.0,68.93874029335635,15.875754961173426,15.185504745470233
150+,vegetation,29785,0,268,213,29304,0.0,0.8997817693469867,0.7151250629511499,98.38509316770187
25-50,ground_cover,65292,0,100,50905,14287,0.0,0.1531581204435459,77.96514121178704,21.881700667769405
25-50,ground_surface,48786,0,24,47965,797,0.0,0.04919444102816382,98.31714016316157,1.6336653958102734
25-50,obstacle_candidate,150332,0,134229,1256,14847,0.0,89.28837506319347,0.8354841284623367,9.876140808344198
25-50,vegetation,246447,0,2468,11162,232817,0.0,1.0014323566527488,4.529168543337918,94.46939910000933
50-75,ground_cover,25866,0,62,20396,5408,0.0,0.23969689940462383,78.85254774607593,20.907755354519445
50-75,ground_surface,5389,0,31,5104,254,0.0,0.5752458712191502,94.71144924846911,4.713304880311746
50-75,obstacle_candidate,73041,0,68591,611,3839,0.0,93.90753138648157,0.8365164770471379,5.255952136471297
50-75,vegetation,139874,0,769,3228,135877,0.0,0.54978051675079,2.30779129788238,97.14242818536682
75-100,ground_cover,10028,0,32,6087,3909,0.0,0.3191065017949741,60.70003988831272,38.9808536098923
75-100,ground_surface,1359,0,0,1228,131,0.0,0.0,90.36055923473143,9.63944076526858
75-100,obstacle_candidate,26459,0,22711,420,3328,0.0,85.83468762991798,1.5873615782909407,12.577950791791073
75-100,vegetation,88337,0,273,1339,86725,0.0,0.3090437755413926,1.5157861371792114,98.1751700872794
