frame,scene,lidar_valid,radar_valid,radar_header_delta_min_ms,radar_header_delta_max_ms
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,180011,185,-24.882369,-7.150664
ff10ede7-1508-5527-9365-4d51bd0a7e42,scene-0157,178475,190,-15.370361,1.668406
b51f9db7-6243-5c86-a751-43db7925dac9,scene-0157,182533,209,-8.662534,7.124411
fe7fed8c-bd18-5bfd-aabe-8e8be835cfb5,scene-0158,197811,207,-1.033198,14.983144
afdcd9f7-1d24-5302-8328-2dcd9734c8d6,scene-0158,201396,222,-25.535254,21.964065
9f484ce3-0210-5876-8616-120d3e25dfe7,scene-0159,190604,339,-17.371986,17.010559
cf82b9f4-c348-5830-8bde-8195d2eecfb1,scene-0159,192714,374,-10.372555,21.921031
9efa0c8d-58ed-56d1-bc09-23f833065154,scene-0160,206072,211,-18.341679,4.877457
a3e76b32-565b-5271-b581-f7dc5534bee6,scene-0160,186849,176,-10.291412,12.954752
11695720-5d5c-5088-aae5-298b3b6ed216,scene-0161,198818,132,-10.784523,13.077415
6c431217-c36c-5297-9828-b71b78177e66,scene-0161,198087,136,-3.901526,21.040457
0396ea55-3254-5eb2-9b18-cc310ba7e63e,scene-0162,157916,106,-13.207196,18.272062
e639310d-4816-5d64-b550-d312125fa7df,scene-0162,163257,138,-21.923468,11.280574
6a27eb1f-ba58-5382-87b2-b0381fda6cf2,scene-0163,202801,121,-27.660923,-5.858867
b47ac70d-ba4e-588b-ba74-c302548de0be,scene-0163,163089,116,-23.502404,1.034749
481edc38-db1f-52a4-90f9-3432d829e547,scene-0164,161198,129,-14.766729,9.584376
dac0c541-1c0f-5cb6-9388-d5619ebc4d01,scene-0164,153202,65,-2.39887,19.760814
f4e1debb-7be1-5b9f-ab00-3104b2a87aca,scene-0164,151239,77,-23.931073,16.88532
80c085f1-0fa4-56e4-acce-f4ea15317905,scene-0165,135602,36,-17.528926,22.578946
f610210d-7991-57ed-90da-17352e326ffb,scene-0165,101407,60,-17.600224,13.705415
