frame,total_occupied,local_height_resolved,near_ground,raised
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,6628,1266,356,626
ff10ede7-1508-5527-9365-4d51bd0a7e42,8024,1897,525,699
b51f9db7-6243-5c86-a751-43db7925dac9,7063,1944,766,451
fe7fed8c-bd18-5bfd-aabe-8e8be835cfb5,7519,2015,767,613
afdcd9f7-1d24-5302-8328-2dcd9734c8d6,7028,1743,743,379
9f484ce3-0210-5876-8616-120d3e25dfe7,8911,1736,751,380
cf82b9f4-c348-5830-8bde-8195d2eecfb1,10691,2059,731,746
9efa0c8d-58ed-56d1-bc09-23f833065154,8997,2443,807,822
a3e76b32-565b-5271-b581-f7dc5534bee6,8300,2284,652,867
11695720-5d5c-5088-aae5-298b3b6ed216,5842,1835,623,564
6c431217-c36c-5297-9828-b71b78177e66,6206,1877,652,692
0396ea55-3254-5eb2-9b18-cc310ba7e63e,4133,1406,459,500
e639310d-4816-5d64-b550-d312125fa7df,3642,1368,489,553
6a27eb1f-ba58-5382-87b2-b0381fda6cf2,4863,1315,397,526
b47ac70d-ba4e-588b-ba74-c302548de0be,3862,688,250,293
481edc38-db1f-52a4-90f9-3432d829e547,6071,870,240,456
dac0c541-1c0f-5cb6-9388-d5619ebc4d01,2793,295,84,103
f4e1debb-7be1-5b9f-ab00-3104b2a87aca,2635,251,84,102
80c085f1-0fa4-56e4-acce-f4ea15317905,2319,301,110,90
f610210d-7991-57ed-90da-17352e326ffb,1405,143,58,43
