frame,scene,variant,elevation_deg,band_m,group,tolerance_m,reference_voxels,lidar_supported,radar_supported,both,neither
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,traversable_label,0.4,131,111,4,4,20
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,traversable_label,0.8,131,131,40,40,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,traversable_label,1.2,131,131,85,85,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,potential_label,0.4,1204,1039,54,54,165
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,potential_label,0.8,1204,1199,237,237,5
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,potential_label,1.2,1204,1202,526,526,2
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,nontraversable_label,0.4,792,649,29,28,142
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,nontraversable_label,0.8,792,775,151,151,17
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,nontraversable_label,1.2,792,787,291,291,5
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,near_ground_geometry,0.4,86,86,3,3,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,near_ground_geometry,0.8,86,86,24,24,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,near_ground_geometry,1.2,86,86,54,54,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,raised_geometry,0.4,224,169,14,13,54
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,raised_geometry,0.8,224,224,84,84,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,2-10,raised_geometry,1.2,224,224,175,175,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,traversable_label,0.4,277,179,5,5,98
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,traversable_label,0.8,277,262,32,32,15
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,traversable_label,1.2,277,277,78,78,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,potential_label,0.4,865,530,10,8,333
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,potential_label,0.8,865,794,64,62,69
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,potential_label,1.2,865,865,147,147,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,nontraversable_label,0.4,1033,642,46,44,389
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,nontraversable_label,0.8,1033,950,205,205,83
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,nontraversable_label,1.2,1033,1028,367,367,5
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,near_ground_geometry,0.4,152,152,2,2,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,near_ground_geometry,0.8,152,152,19,19,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,near_ground_geometry,1.2,152,152,45,45,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,raised_geometry,0.4,287,97,15,13,188
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,raised_geometry,0.8,287,255,71,69,30
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,10-20,raised_geometry,1.2,287,287,131,131,0
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,20-30,traversable_label,0.4,144,68,0,0,76
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,20-30,traversable_label,0.8,144,111,0,0,33
51f7f23a-e7a9-54e2-b5a1-b32b1efe3e93,scene-0157,static,10,20-30,traversable_label,1.2,144,135,0,0,9
