sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
63,conti542/joint_radars/detections,radar,2440,3161523712,3172004958,-10.481246,327.8960466876546,322,140,83,31,19,0
63,aeva/joint_lidars/points,lidar,331494,3199952128,3172004958,27.94717,398.19910824361386,22776,6569,2226,501,307,0
63,ouster/forward_center/points,lidar,55831,3174809088,3172004958,2.80413,211.5210192048757,140,27,9,0,0,0
63,ouster/sideward_left/points,lidar,57033,3170619648,3172004958,-1.38531,233.3838486722462,17,17,7,0,0,0
63,ouster/sideward_right/points,lidar,54197,3169808384,3172004958,-2.196574,211.3317060240953,16,12,3,0,0,0
73,conti542/joint_radars/detections,radar,3008,3661261824,3672143058,-10.881234,327.88896320750206,431,181,90,29,17,0
73,aeva/joint_lidars/points,lidar,329111,3699976448,3672143058,27.83339,395.44888944140087,23916,6217,2182,657,378,0
73,ouster/forward_center/points,lidar,58625,3674979328,3672143058,2.83627,239.58365048435752,48,33,8,0,0,0
73,ouster/sideward_left/points,lidar,56108,3670657280,3672143058,-1.485778,208.67076157702985,16,16,3,0,0,0
73,ouster/sideward_right/points,lidar,54869,3670011136,3672143058,-2.131922,208.3457644086386,20,14,5,0,0,0
83,conti542/joint_radars/detections,radar,2988,4161565184,4172124408,-10.559224,327.8910514775989,412,171,88,52,25,0
83,aeva/joint_lidars/points,lidar,372222,4199993600,4172124408,27.869192,389.65807836676987,24528,5761,1832,515,197,0
83,ouster/forward_center/points,lidar,60299,4175069696,4172124408,2.945288,224.97942402641777,66,30,10,0,0,0
83,ouster/sideward_left/points,lidar,54087,4170698496,4172124408,-1.425912,224.47577327718074,19,16,4,0,0,0
83,ouster/sideward_right/points,lidar,56265,4169977088,4172124408,-2.14732,205.27618794469808,18,15,4,0,0,0
93,conti542/joint_radars/detections,radar,3054,4661639168,4672095858,-10.45669,327.8863415718412,439,167,86,47,26,0
93,aeva/joint_lidars/points,lidar,376625,4700006912,4672095858,27.911054,394.54830072372283,25046,6951,1933,699,257,0
93,ouster/forward_center/points,lidar,59817,4674910464,4672095858,2.814606,236.7642398497314,120,25,11,0,0,0
93,ouster/sideward_left/points,lidar,52742,4670861568,4672095858,-1.23429,209.93520571767908,16,12,4,0,0,0
93,ouster/sideward_right/points,lidar,55496,4669845504,4672095858,-2.250354,202.21095106270565,17,7,3,0,0,0
103,conti542/joint_radars/detections,radar,3040,5161228032,5172077333,-10.849301,327.9081499631253,372,124,60,33,19,0
103,aeva/joint_lidars/points,lidar,357276,5200037120,5172077333,27.959787,395.47731383419335,26721,7327,1314,592,220,0
103,ouster/forward_center/points,lidar,59375,5174964992,5172077333,2.887659,222.176963982487,235,27,1,0,0,0
103,ouster/sideward_left/points,lidar,51797,5170864640,5172077333,-1.212693,202.18146519512246,31,11,1,0,0,0
103,ouster/sideward_right/points,lidar,55628,5169693440,5172077333,-2.383893,199.20623192491755,19,8,0,0,0,0
115,conti542/joint_radars/detections,radar,2999,5761256448,5772143433,-10.886985,327.9149317131045,369,132,62,39,25,0
115,aeva/joint_lidars/points,lidar,348458,5800065792,5772143433,27.922359,391.1725485833297,31001,6858,1425,455,181,0
115,ouster/forward_center/points,lidar,57948,5774618624,5772143433,2.475191,246.48682587862922,372,29,3,0,0,0
115,ouster/sideward_left/points,lidar,51118,5770685184,5772143433,-1.458249,205.47832049061975,21,15,2,0,0,0
115,ouster/sideward_right/points,lidar,56098,5769530368,5772143433,-2.613065,195.58864711168616,18,10,0,0,0,0
125,conti542/joint_radars/detections,radar,2959,6261500416,6272125008,-10.624592,327.90452934519334,460,185,89,44,22,0
125,aeva/joint_lidars/points,lidar,326310,6300080128,6272125008,27.95512,394.01944065602726,32646,8046,1636,456,104,0
125,ouster/forward_center/points,lidar,57812,6274663168,6272125008,2.53816,232.00540108958108,376,33,2,0,0,0
125,ouster/sideward_left/points,lidar,51569,6270908160,6272125008,-1.216848,234.2078346503402,22,13,3,0,0,0
125,ouster/sideward_right/points,lidar,55996,6269719296,6272125008,-2.405712,231.245485433755,26,11,2,0,0,0
135,conti542/joint_radars/detections,radar,2829,6761643520,6772096233,-10.452713,327.86192798721265,514,187,118,49,17,0
135,aeva/joint_lidars/points,lidar,315599,6800096256,6772096233,28.000023,361.99501760751247,32981,7637,1189,379,80,0
135,ouster/forward_center/points,lidar,56068,6774959616,6772096233,2.863383,217.46300520748304,577,32,3,0,0,0
135,ouster/sideward_left/points,lidar,51266,6770936064,6772096233,-1.160169,217.1619798789131,17,13,5,0,0,0
135,ouster/sideward_right/points,lidar,56087,6769885952,6772096233,-2.210281,216.77089412233454,17,11,3,0,0,0
145,conti542/joint_radars/detections,radar,3166,7261271552,7272077408,-10.805856,327.89213301586295,430,161,96,46,18,0
145,aeva/joint_lidars/points,lidar,313385,7300096768,7272077408,28.01936,346.44487056520273,33742,8870,1449,387,74,0
145,ouster/forward_center/points,lidar,55495,7274978048,7272077408,2.90064,202.98270777303023,526,28,7,0,0,0
145,ouster/sideward_left/points,lidar,50853,7270852096,7272077408,-1.225312,236.33754136747487,18,16,5,0,0,0
145,ouster/sideward_right/points,lidar,55404,7270012928,7272077408,-2.06448,202.25157799744596,15,11,2,0,0,0
155,conti542/joint_radars/detections,radar,3057,7761519360,7772048708,-10.529348,327.86312181274906,393,151,83,44,14,0
155,aeva/joint_lidars/points,lidar,318164,7800110848,7772048708,28.06214,374.76147562195257,31020,9738,1354,354,79,0
155,ouster/forward_center/points,lidar,54194,7775004672,7772048708,2.955964,230.40353835785797,603,40,2,0,0,0
155,ouster/sideward_left/points,lidar,50603,7770671872,7772048708,-1.376836,214.1530716320178,20,19,1,0,0,0
155,ouster/sideward_right/points,lidar,55300,7769861120,7772048708,-2.187588,187.77102724386125,19,14,0,0,0,0
165,conti542/joint_radars/detections,radar,3253,8261692160,8272030058,-10.337898,327.87939855256246,511,190,99,38,17,0
165,aeva/joint_lidars/points,lidar,340069,8300102400,8272030058,28.072342,354.81565667079224,35455,9732,1438,396,88,0
165,ouster/forward_center/points,lidar,51181,8275083264,8272030058,3.053206,234.63733162874854,798,67,1,0,0,0
165,ouster/sideward_left/points,lidar,50938,8270652160,8272030058,-1.377898,231.4635861902296,18,16,1,0,0,0
165,ouster/sideward_right/points,lidar,53444,8269620224,8272030058,-2.409834,185.44220554117265,20,13,0,0,0,0
175,conti542/joint_radars/detections,radar,3429,8761378560,8772001358,-10.622798,327.8845307229869,549,199,88,37,18,0
175,aeva/joint_lidars/points,lidar,357605,8800110848,8772001358,28.10949,384.0199066919245,36504,10862,1699,378,113,0
175,ouster/forward_center/points,lidar,50870,8774952192,8772001358,2.950834,234.48835431093764,671,54,2,0,0,0
175,ouster/sideward_left/points,lidar,50608,8770720000,8772001358,-1.281358,184.60111128951888,12,12,0,0,0,0
175,ouster/sideward_right/points,lidar,53545,8769482752,8772001358,-2.518606,184.46251167887885,16,13,0,0,0,0
185,conti542/joint_radars/detections,radar,3364,9261595904,9272150058,-10.554154,327.9907538340365,584,186,87,43,24,0
185,aeva/joint_lidars/points,lidar,318367,9300123904,9272150058,27.973846,390.08704274187147,31683,11291,2201,381,111,0
185,ouster/forward_center/points,lidar,51549,9274882304,9272150058,2.732246,183.59297068596294,475,38,0,0,0,0
185,ouster/sideward_left/points,lidar,49775,9270820608,9272150058,-1.32945,206.53326350699177,17,13,2,0,0,0
185,ouster/sideward_right/points,lidar,52992,9269621504,9272150058,-2.528554,183.48154887662432,22,11,0,0,0,0
195,conti542/joint_radars/detections,radar,3256,9761689344,9772121283,-10.431939,327.9423237086285,554,223,96,40,22,0
195,aeva/joint_lidars/points,lidar,314260,9800119040,9772121283,27.997757,348.6295047105789,25530,11238,2176,344,81,0
195,ouster/forward_center/points,lidar,52499,9774655488,9772121283,2.534205,205.75378666343676,565,56,1,0,0,0
195,ouster/sideward_left/points,lidar,49880,9770934016,9772121283,-1.187267,192.18558126051818,17,15,0,0,0,0
195,ouster/sideward_right/points,lidar,53711,9769821952,9772121283,-2.299331,182.53758313218955,20,9,0,0,0,0
205,conti542/joint_radars/detections,radar,3239,10261229824,10272102658,-10.872834,327.9247032183303,543,198,76,29,17,0
205,aeva/joint_lidars/points,lidar,324139,10300096768,10272102658,27.99411,363.0730505427259,23597,11695,2622,443,113,0
205,ouster/forward_center/points,lidar,51557,10274625024,10272102658,2.522366,201.0206969730906,664,63,2,0,0,0
205,ouster/sideward_left/points,lidar,49863,10270862080,10272102658,-1.240578,205.13701208417905,17,16,2,0,0,0
205,ouster/sideward_right/points,lidar,53903,10270018304,10272102658,-2.084354,181.62161728379127,24,10,0,0,0,0
217,conti542/joint_radars/detections,radar,3266,10861272832,10872001233,-10.728401,327.99779846213136,610,261,75,33,8,0
217,aeva/joint_lidars/points,lidar,323062,10900080640,10872001233,28.079407,360.05106343501546,24447,10440,2484,501,37,0
217,ouster/forward_center/points,lidar,51770,10874957312,10872001233,2.956079,214.62390928784149,820,51,2,0,0,0
217,ouster/sideward_left/points,lidar,49306,10870647040,10872001233,-1.354193,205.37934214244964,16,14,1,0,0,0
217,ouster/sideward_right/points,lidar,54191,10869751552,10872001233,-2.249681,182.9237378977023,15,12,0,0,0,0
227,conti542/joint_radars/detections,radar,3213,11361565696,11372149908,-10.584212,327.9590050739157,641,233,64,25,12,0
227,aeva/joint_lidars/points,lidar,315751,11400062208,11372149908,27.9123,394.7326367538391,24679,9326,2656,388,32,0
227,ouster/forward_center/points,lidar,52051,11375112960,11372149908,2.963052,200.21679917908725,359,27,1,0,0,0
227,ouster/sideward_left/points,lidar,49863,11370694144,11372149908,-1.455764,211.76001238943098,21,15,2,0,0,0
227,ouster/sideward_right/points,lidar,54637,11369609216,11372149908,-2.540692,179.67314917695776,15,9,0,0,0,0
237,conti542/joint_radars/detections,radar,3114,11861687296,11872121208,-10.433912,327.96042494470487,633,230,49,27,13,0
237,aeva/joint_lidars/points,lidar,314505,11900051200,11872121208,27.929992,379.60181240446553,29606,9957,2864,326,36,0
237,ouster/forward_center/points,lidar,52999,11874902272,11872121208,2.781064,185.86800793026634,134,38,0,0,0,0
237,ouster/sideward_left/points,lidar,49679,11870811648,11872121208,-1.30956,226.00942125551325,18,14,1,0,0,0
237,ouster/sideward_right/points,lidar,54584,11869538304,11872121208,-2.582904,185.0685127935903,17,13,0,0,0,0
