sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
72,conti542/joint_radars/detections,radar,3026,3689438234,3700083225,-10.644991,327.7059642279282,327,112,76,63,45,0
72,aeva/joint_lidars/points,lidar,379432,3727978778,3700083225,27.895553,384.2225601372955,50050,8795,2278,1254,163,0
72,ouster/forward_center/points,lidar,38291,3702527258,3700083225,2.444033,212.6131290697269,46,4,1,0,0,0
72,ouster/sideward_left/points,lidar,46032,3698899738,3700083225,-1.183487,186.27246670894655,6,6,0,0,0,0
72,ouster/sideward_right/points,lidar,46250,3697516826,3700083225,-2.566399,215.7077270183343,7,1,1,0,0,0
82,conti542/joint_radars/detections,radar,3039,4189722138,4200065100,-10.342962,327.7480238340752,308,111,81,62,52,0
82,aeva/joint_lidars/points,lidar,384013,4227994394,4200065100,27.929294,349.8042376825508,50006,12497,3289,1555,980,0
82,ouster/forward_center/points,lidar,37933,4202606106,4200065100,2.541006,193.94579896877562,41,4,0,0,0,0
82,ouster/sideward_left/points,lidar,45837,4198885914,4200065100,-1.179186,205.47780917597635,3,3,1,0,0,0
82,ouster/sideward_right/points,lidar,46212,4197487130,4200065100,-2.57797,217.30118713313354,4,4,1,0,0,0
92,conti542/joint_radars/detections,radar,2984,4689114394,4700036775,-10.922381,327.71511108723945,301,123,91,75,64,0
92,aeva/joint_lidars/points,lidar,376751,4728022298,4700036775,27.985523,349.95085281758185,47398,11058,2867,1282,923,0
92,ouster/forward_center/points,lidar,37536,4702726938,4700036775,2.690163,206.2904687637161,35,2,1,0,0,0
92,ouster/sideward_left/points,lidar,45534,4698850330,4700036775,-1.186445,184.25155427454433,2,1,0,0,0,0
92,ouster/sideward_right/points,lidar,45953,4697426202,4700036775,-2.610573,218.93199231009422,2,2,2,0,0,0
102,conti542/joint_radars/detections,radar,3117,5189374746,5200018475,-10.643729,327.6726912379033,316,111,71,62,37,0
102,aeva/joint_lidars/points,lidar,383133,5228030746,5200018475,28.012271,340.43503676888986,48048,12850,2968,1430,439,0
102,ouster/forward_center/points,lidar,37486,5202922778,5200018475,2.904303,216.1534252927653,26,2,1,0,0,0
102,ouster/sideward_left/points,lidar,45458,5198723866,5200018475,-1.294609,141.68419762695234,2,0,0,0,0,0
102,ouster/sideward_right/points,lidar,46285,5197579034,5200018475,-2.439441,220.40838567666998,6,5,2,0,0,0
114,conti542/joint_radars/detections,radar,3005,5789435162,5800084725,-10.649563,327.70522678949646,317,111,87,67,37,0
114,aeva/joint_lidars/points,lidar,383909,5828051738,5800084725,27.967013,358.2304891865087,48842,11483,3166,1241,280,0
