sync,annotation_index,reason
61,10,ego_vehicle
61,19,invalid_3d
61,20,invalid_3d
61,21,invalid_3d
61,22,invalid_3d
71,10,ego_vehicle
71,19,invalid_3d
71,20,invalid_3d
71,21,invalid_3d
71,22,invalid_3d
71,23,invalid_3d
81,10,ego_vehicle
81,19,invalid_3d
81,20,invalid_3d
91,10,ego_vehicle
91,19,invalid_3d
91,20,invalid_3d
91,21,invalid_3d
101,10,ego_vehicle
101,19,invalid_3d
101,20,invalid_3d
101,21,invalid_3d
113,10,ego_vehicle
113,19,invalid_3d
113,20,invalid_3d
113,21,invalid_3d
113,22,invalid_3d
123,9,ego_vehicle
123,19,invalid_3d
123,20,invalid_3d
123,21,invalid_3d
133,9,ego_vehicle
133,19,invalid_3d
133,20,invalid_3d
133,21,invalid_3d
133,22,invalid_3d
143,9,ego_vehicle
143,19,invalid_3d
143,20,invalid_3d
143,21,invalid_3d
153,9,ego_vehicle
153,19,invalid_3d
163,9,ego_vehicle
163,19,invalid_3d
163,20,invalid_3d
163,21,invalid_3d
163,22,invalid_3d
173,9,ego_vehicle
173,19,invalid_3d
173,20,invalid_3d
173,21,invalid_3d
183,10,ego_vehicle
183,20,invalid_3d
183,21,invalid_3d
183,22,invalid_3d
183,23,invalid_3d
193,10,ego_vehicle
193,20,invalid_3d
193,21,invalid_3d
193,22,invalid_3d
193,23,invalid_3d
193,24,invalid_3d
193,25,invalid_3d
193,26,invalid_3d
193,27,invalid_3d
193,28,invalid_3d
193,29,invalid_3d
203,10,ego_vehicle
203,20,invalid_3d
203,21,invalid_3d
203,22,invalid_3d
203,23,invalid_3d
203,24,invalid_3d
203,25,invalid_3d
203,26,invalid_3d
203,27,invalid_3d
215,11,ego_vehicle
215,20,invalid_3d
215,21,invalid_3d
215,22,invalid_3d
215,23,invalid_3d
215,24,invalid_3d
215,25,invalid_3d
215,26,invalid_3d
215,27,invalid_3d
215,28,invalid_3d
215,29,invalid_3d
215,30,invalid_3d
215,31,invalid_3d
215,32,invalid_3d
225,11,ego_vehicle
225,21,invalid_3d
225,22,invalid_3d
225,23,invalid_3d
225,24,invalid_3d
225,25,invalid_3d
225,26,invalid_3d
225,27,invalid_3d
225,28,invalid_3d
225,29,invalid_3d
225,30,invalid_3d
225,31,invalid_3d
225,32,invalid_3d
225,33,invalid_3d
225,34,invalid_3d
225,35,invalid_3d
225,36,invalid_3d
225,37,invalid_3d
235,12,ego_vehicle
235,21,invalid_3d
235,22,invalid_3d
235,23,invalid_3d
235,24,invalid_3d
235,25,invalid_3d
235,26,invalid_3d
235,27,invalid_3d
235,28,invalid_3d
235,29,invalid_3d
235,30,invalid_3d
235,31,invalid_3d
235,32,invalid_3d
235,33,invalid_3d
235,34,invalid_3d
235,35,invalid_3d
245,13,ego_vehicle
245,22,invalid_3d
245,23,invalid_3d
245,24,invalid_3d
245,25,invalid_3d
245,26,invalid_3d
245,27,invalid_3d
245,28,invalid_3d
245,29,invalid_3d
245,30,invalid_3d
245,31,invalid_3d
245,32,invalid_3d
245,33,invalid_3d
245,34,invalid_3d
245,35,invalid_3d
245,36,invalid_3d
245,37,invalid_3d
245,38,invalid_3d
245,39,invalid_3d
245,40,invalid_3d
245,41,invalid_3d
255,13,ego_vehicle
255,24,invalid_3d
255,25,invalid_3d
255,26,invalid_3d
255,27,invalid_3d
255,28,invalid_3d
255,29,invalid_3d
255,30,invalid_3d
255,31,invalid_3d
255,32,invalid_3d
255,33,invalid_3d
255,34,invalid_3d
255,35,invalid_3d
255,36,invalid_3d
255,37,invalid_3d
255,38,invalid_3d
255,39,invalid_3d
255,40,invalid_3d
255,41,invalid_3d
265,15,ego_vehicle
265,24,invalid_3d
265,25,invalid_3d
265,26,invalid_3d
265,27,invalid_3d
265,28,invalid_3d
265,29,invalid_3d
265,30,invalid_3d
265,31,invalid_3d
265,32,invalid_3d
265,33,invalid_3d
265,34,invalid_3d
265,35,invalid_3d
265,36,invalid_3d
265,37,invalid_3d
265,38,invalid_3d
265,39,invalid_3d
265,40,invalid_3d
265,41,invalid_3d
265,42,invalid_3d
275,15,ego_vehicle
275,24,invalid_3d
275,25,invalid_3d
275,26,invalid_3d
275,27,invalid_3d
275,28,invalid_3d
275,29,invalid_3d
275,30,invalid_3d
275,31,invalid_3d
275,32,invalid_3d
275,33,invalid_3d
275,34,invalid_3d
275,35,invalid_3d
275,36,invalid_3d
275,37,invalid_3d
275,38,invalid_3d
275,39,invalid_3d
275,40,invalid_3d
285,13,ego_vehicle
285,22,invalid_3d
285,23,invalid_3d
285,24,invalid_3d
285,25,invalid_3d
285,26,invalid_3d
285,27,invalid_3d
285,28,invalid_3d
285,29,invalid_3d
285,30,invalid_3d
285,31,invalid_3d
285,32,invalid_3d
285,33,invalid_3d
295,12,ego_vehicle
295,22,invalid_3d
295,23,invalid_3d
295,24,invalid_3d
295,25,invalid_3d
295,26,invalid_3d
295,27,invalid_3d
295,28,invalid_3d
295,29,invalid_3d
295,30,invalid_3d
295,31,invalid_3d
305,13,ego_vehicle
305,22,invalid_3d
305,23,invalid_3d
305,24,invalid_3d
305,25,invalid_3d
305,26,invalid_3d
305,27,invalid_3d
305,28,invalid_3d
305,29,invalid_3d
305,30,invalid_3d
305,31,invalid_3d
317,12,ego_vehicle
317,21,invalid_3d
317,22,invalid_3d
317,23,invalid_3d
317,24,invalid_3d
317,25,invalid_3d
317,26,invalid_3d
327,12,ego_vehicle
327,22,invalid_3d
327,23,invalid_3d
327,24,invalid_3d
327,25,invalid_3d
327,26,invalid_3d
327,27,invalid_3d
327,28,invalid_3d
327,29,invalid_3d
327,30,invalid_3d
327,31,invalid_3d
337,12,ego_vehicle
337,22,invalid_3d
337,23,invalid_3d
337,24,invalid_3d
337,25,invalid_3d
337,26,invalid_3d
337,27,invalid_3d
337,28,invalid_3d
337,29,invalid_3d
337,30,invalid_3d
347,12,ego_vehicle
347,22,invalid_3d
347,23,invalid_3d
347,24,invalid_3d
347,25,invalid_3d
357,14,ego_vehicle
357,24,invalid_3d
357,25,invalid_3d
357,26,invalid_3d
357,27,invalid_3d
367,16,ego_vehicle
367,25,invalid_3d
367,26,invalid_3d
367,27,invalid_3d
367,28,invalid_3d
377,16,ego_vehicle
377,25,invalid_3d
377,26,invalid_3d
387,16,ego_vehicle
387,26,invalid_3d
387,27,invalid_3d
387,28,invalid_3d
387,29,invalid_3d
387,30,invalid_3d
397,14,ego_vehicle
397,24,invalid_3d
397,25,invalid_3d
397,26,invalid_3d
407,13,ego_vehicle
407,23,invalid_3d
407,24,invalid_3d
407,25,invalid_3d
407,26,invalid_3d
407,27,invalid_3d
407,28,invalid_3d
407,29,invalid_3d
419,14,ego_vehicle
419,25,invalid_3d
419,26,invalid_3d
419,27,invalid_3d
419,28,invalid_3d
419,29,invalid_3d
419,30,invalid_3d
419,31,invalid_3d
429,13,ego_vehicle
429,25,invalid_3d
429,26,invalid_3d
429,27,invalid_3d
429,28,invalid_3d
429,29,invalid_3d
429,30,invalid_3d
429,31,invalid_3d
429,32,invalid_3d
439,13,ego_vehicle
439,25,invalid_3d
439,26,invalid_3d
439,27,invalid_3d
439,28,invalid_3d
439,29,invalid_3d
439,30,invalid_3d
449,13,ego_vehicle
449,25,invalid_3d
449,26,invalid_3d
449,27,invalid_3d
449,28,invalid_3d
449,29,invalid_3d
449,30,invalid_3d
459,13,ego_vehicle
459,24,invalid_3d
459,25,invalid_3d
459,26,invalid_3d
459,27,invalid_3d
459,28,invalid_3d
459,29,invalid_3d
459,30,invalid_3d
459,31,invalid_3d
