sync,annotation_index,reason
72,1,ego_vehicle
72,3,ego_vehicle
72,13,invalid_3d
72,14,invalid_3d
72,15,invalid_3d
72,16,invalid_3d
72,17,invalid_3d
72,18,invalid_3d
72,19,invalid_3d
72,20,invalid_3d
72,21,invalid_3d
72,22,invalid_3d
72,23,invalid_3d
72,24,invalid_3d
72,25,invalid_3d
72,26,invalid_3d
72,27,invalid_3d
72,28,invalid_3d
72,29,invalid_3d
72,30,invalid_3d
72,31,invalid_3d
72,32,invalid_3d
72,33,invalid_3d
72,34,invalid_3d
72,35,invalid_3d
72,36,invalid_3d
72,37,invalid_3d
72,38,invalid_3d
72,39,invalid_3d
72,40,invalid_3d
72,41,invalid_3d
72,42,invalid_3d
72,43,invalid_3d
72,44,invalid_3d
72,45,invalid_3d
72,46,invalid_3d
72,47,invalid_3d
72,48,invalid_3d
72,49,invalid_3d
72,50,invalid_3d
72,51,invalid_3d
72,52,invalid_3d
72,53,invalid_3d
72,54,invalid_3d
72,55,invalid_3d
72,56,invalid_3d
72,57,invalid_3d
72,58,invalid_3d
72,59,invalid_3d
72,60,invalid_3d
72,61,invalid_3d
72,62,invalid_3d
72,63,invalid_3d
72,64,invalid_3d
82,0,ego_vehicle
82,2,ego_vehicle
82,13,invalid_3d
82,14,invalid_3d
82,15,invalid_3d
82,16,invalid_3d
82,17,invalid_3d
82,18,invalid_3d
82,19,invalid_3d
82,20,invalid_3d
82,21,invalid_3d
82,22,invalid_3d
82,23,invalid_3d
82,24,invalid_3d
82,25,invalid_3d
82,26,invalid_3d
82,27,invalid_3d
82,28,invalid_3d
82,29,invalid_3d
82,30,invalid_3d
82,31,invalid_3d
82,32,invalid_3d
82,33,invalid_3d
82,34,invalid_3d
82,35,invalid_3d
82,36,invalid_3d
82,37,invalid_3d
82,38,invalid_3d
82,39,invalid_3d
82,40,invalid_3d
82,41,invalid_3d
82,42,invalid_3d
82,43,invalid_3d
82,44,invalid_3d
82,45,invalid_3d
82,46,invalid_3d
82,47,invalid_3d
82,48,invalid_3d
82,49,invalid_3d
82,50,invalid_3d
82,51,invalid_3d
82,52,invalid_3d
82,53,invalid_3d
82,54,invalid_3d
82,55,invalid_3d
82,56,invalid_3d
82,57,invalid_3d
82,58,invalid_3d
82,59,invalid_3d
82,60,invalid_3d
92,0,ego_vehicle
92,2,ego_vehicle
92,14,invalid_3d
92,15,invalid_3d
92,16,invalid_3d
92,17,invalid_3d
92,18,invalid_3d
92,19,invalid_3d
92,20,invalid_3d
92,21,invalid_3d
92,22,invalid_3d
92,23,invalid_3d
92,24,invalid_3d
92,25,invalid_3d
92,26,invalid_3d
92,27,invalid_3d
92,28,invalid_3d
92,29,invalid_3d
92,30,invalid_3d
92,31,invalid_3d
92,32,invalid_3d
92,33,invalid_3d
92,34,invalid_3d
92,35,invalid_3d
92,36,invalid_3d
92,37,invalid_3d
92,38,invalid_3d
92,39,invalid_3d
92,40,invalid_3d
92,41,invalid_3d
92,42,invalid_3d
92,43,invalid_3d
92,44,invalid_3d
92,45,invalid_3d
92,46,invalid_3d
92,47,invalid_3d
92,48,invalid_3d
92,49,invalid_3d
92,50,invalid_3d
92,51,invalid_3d
92,52,invalid_3d
92,53,invalid_3d
92,54,invalid_3d
92,55,invalid_3d
92,56,invalid_3d
92,57,invalid_3d
92,58,invalid_3d
102,0,ego_vehicle
102,3,ego_vehicle
102,14,invalid_3d
102,15,invalid_3d
102,16,invalid_3d
102,17,invalid_3d
102,18,invalid_3d
102,19,invalid_3d
102,20,invalid_3d
102,21,invalid_3d
102,22,invalid_3d
102,23,invalid_3d
102,24,invalid_3d
102,25,invalid_3d
102,26,invalid_3d
102,27,invalid_3d
102,28,invalid_3d
102,29,invalid_3d
102,30,invalid_3d
102,31,invalid_3d
102,32,invalid_3d
102,33,invalid_3d
102,34,invalid_3d
102,35,invalid_3d
102,36,invalid_3d
102,37,invalid_3d
102,38,invalid_3d
102,39,invalid_3d
102,40,invalid_3d
102,41,invalid_3d
102,42,invalid_3d
102,43,invalid_3d
102,44,invalid_3d
102,45,invalid_3d
102,46,invalid_3d
102,47,invalid_3d
102,48,invalid_3d
102,49,invalid_3d
102,50,invalid_3d
102,51,invalid_3d
102,52,invalid_3d
102,53,invalid_3d
102,54,invalid_3d
102,55,invalid_3d
102,56,invalid_3d
102,57,invalid_3d
102,58,invalid_3d
102,59,invalid_3d
102,60,invalid_3d
114,0,ego_vehicle
114,4,ego_vehicle
114,15,invalid_3d
114,16,invalid_3d
114,17,invalid_3d
114,18,invalid_3d
114,19,invalid_3d
114,20,invalid_3d
114,21,invalid_3d
114,22,invalid_3d
114,23,invalid_3d
114,24,invalid_3d
114,25,invalid_3d
114,26,invalid_3d
114,27,invalid_3d
114,28,invalid_3d
114,29,invalid_3d
114,30,invalid_3d
114,31,invalid_3d
114,32,invalid_3d
114,33,invalid_3d
114,34,invalid_3d
114,35,invalid_3d
114,36,invalid_3d
114,37,invalid_3d
114,38,invalid_3d
114,39,invalid_3d
114,40,invalid_3d
114,41,invalid_3d
114,42,invalid_3d
114,43,invalid_3d
114,44,invalid_3d
114,45,invalid_3d
114,46,invalid_3d
114,47,invalid_3d
114,48,invalid_3d
114,49,invalid_3d
114,50,invalid_3d
114,51,invalid_3d
114,52,invalid_3d
114,53,invalid_3d
114,54,invalid_3d
114,55,invalid_3d
114,56,invalid_3d
114,57,invalid_3d
114,58,invalid_3d
114,59,invalid_3d
114,60,invalid_3d
124,0,ego_vehicle
124,4,ego_vehicle
124,15,invalid_3d
124,16,invalid_3d
124,17,invalid_3d
124,18,invalid_3d
124,19,invalid_3d
124,20,invalid_3d
124,21,invalid_3d
124,22,invalid_3d
124,23,invalid_3d
124,24,invalid_3d
124,25,invalid_3d
124,26,invalid_3d
124,27,invalid_3d
124,28,invalid_3d
124,29,invalid_3d
124,30,invalid_3d
124,31,invalid_3d
124,32,invalid_3d
124,33,invalid_3d
124,34,invalid_3d
124,35,invalid_3d
124,36,invalid_3d
124,37,invalid_3d
124,38,invalid_3d
