variant,margin_m,band_m,category,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
static,0,100-150,RoadObstruction,4,3,2,1,0,0,1,0,3,25.0,0.0,25.0,124.0458251007249,145.2940934507138,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,100-150,RoadObstruction-Barrel,170,33,2,49,7,1,48,6,115,28.823529411764703,4.117647058823529,24.705882352941174,100.01457537159469,149.85105342932135,8.235294117647058,2.3529411764705883,0.0,0.0,1.0,2.0,28.59307359307359,0.0,0.0,0.0,0.0,0.0,0.0,4.873737373737374
static,0,100-150,TrafficSign,153,28,3,22,2,0,22,2,129,14.37908496732026,1.3071895424836601,13.0718954248366,100.07915340275993,149.8043785510788,7.8431372549019605,5.228758169934641,0.0,0.0,0.0,1.0,10.34155328798186,0.0,0.0,0.0,0.0,0.0,0.0,1.9047619047619047
static,0,100-150,Vehicle,30,3,2,30,30,30,0,0,0,100.0,100.0,0.0,104.37622497689988,148.91381342419794,93.33333333333333,93.33333333333333,24.0,86.5,124.25,138.90000000000003,100.0,73.33333333333333,43.333333333333336,2.25,4.0,6.0,7.0,100.0
static,0,100-150,Vehicle-Other,1,1,1,1,1,1,0,0,0,100.0,100.0,0.0,130.3234563016597,130.3234563016597,0.0,0.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,7.0,7.0,7.0,7.0,100.0
static,0,100-150,Vehicle-Passenger,74,22,3,55,47,37,18,10,9,74.32432432432432,63.51351351351351,10.81081081081081,100.380581386362,149.6341155859118,64.86486486486487,51.35135135135135,0.25,6.0,21.75,32.0,60.15151515151514,25.675675675675674,2.7027027027027026,0.0,1.0,2.75,3.0,51.66666666666667
static,0,100-150,Vehicle-RV,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,106.64524990446951,133.66667790333872,100.0,100.0,7.25,8.5,9.75,10.5,100.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0
static,0,100-150,Vehicle-SemiTruck-Cab,87,18,4,81,78,74,7,4,2,93.10344827586206,89.65517241379311,3.4482758620689613,100.63822132308648,147.84398735180793,82.75862068965517,79.3103448275862,7.0,31.0,88.0,130.60000000000005,92.42724867724868,68.96551724137932,41.37931034482759,2.0,4.0,6.0,8.400000000000006,85.7657260435038
static,0,100-150,Vehicle-SemiTruck-Trailer,79,18,4,77,77,75,2,2,0,97.46835443037975,97.46835443037975,0.0,100.26475808240477,149.72193380985757,94.9367088607595,93.67088607594937,24.0,64.0,177.0,231.4,98.41269841269842,84.81012658227847,81.0126582278481,6.0,14.0,22.5,27.0,93.65079365079364
static,0,100-150,Vehicle-SingleUnitTruck,20,2,1,20,19,19,1,0,0,100.0,95.0,5.000000000000004,107.89679924334742,143.5236124185936,90.0,85.0,120.5,213.0,279.0,328.4,100.0,70.0,25.0,2.0,4.0,4.25,8.600000000000009,96.875
