variant,margin_m,band_m,cohort,scene,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
static,0,100-150,vehicles,scene_28_1,44,17,1,31,30,24,7,6,7,70.45454545454545,68.18181818181817,2.272727272727282,103.25284269759703,149.51235788763145,52.27272727272727,45.45454545454545,0.0,3.5,24.25,43.60000000000002,61.029411764705884,52.27272727272727,50.0,0.0,5.0,9.0,16.700000000000003,44.11764705882353
static,0,100-150,vehicles,scene_28_6,142,24,1,137,123,119,18,4,1,96.47887323943662,86.61971830985915,9.859154929577475,100.26475808240477,149.72193380985757,90.14084507042254,86.61971830985915,15.25,43.0,100.0,213.30000000000004,97.0436507936508,61.267605633802816,39.436619718309856,1.0,4.0,8.0,24.80000000000001,83.62985008818342
static,0,100-150,vehicles,scene_28_12,33,13,1,31,32,31,0,1,1,93.93939393939394,96.96969696969697,-3.0303030303030276,101.08026907499156,148.2364399300797,93.93939393939394,90.9090909090909,15.0,86.0,166.0,229.0,94.87179487179486,87.87878787878788,84.84848484848484,7.0,12.0,30.0,36.8,97.43589743589743
static,0,100-150,vehicles,scene_28_18,90,12,1,83,83,78,5,5,2,92.22222222222223,92.22222222222223,0.0,100.380581386362,149.6341155859118,85.55555555555556,78.88888888888889,8.25,30.5,124.25,235.60000000000014,81.1111111111111,62.22222222222222,27.77777777777778,2.0,3.0,5.0,7.1000000000000085,85.19736842105262
static,0,100-150,passenger_cars,scene_28_1,18,11,1,6,6,1,5,5,7,33.33333333333333,33.33333333333333,0.0,103.25284269759703,147.2730748425423,16.666666666666664,5.555555555555555,0.0,0.0,1.75,4.0,40.909090909090914,0.0,0.0,0.0,0.0,1.0,2.0,31.818181818181817
static,0,100-150,passenger_cars,scene_28_6,16,4,1,16,6,6,10,0,0,100.0,37.5,62.5,101.40321414395491,145.3494149274749,93.75,75.0,6.25,26.5,32.5,48.5,100.0,12.5,0.0,0.0,0.0,1.0,3.0,59.166666666666664
static,0,100-150,passenger_cars,scene_28_18,40,7,1,33,35,30,3,5,2,82.5,87.5,-5.000000000000004,100.380581386362,149.6341155859118,75.0,62.5,2.75,10.0,20.25,29.300000000000004,67.6190476190476,42.5,5.0,1.0,2.0,3.0,4.0,78.57142857142857
static,0,100-150,forward_vehicles,scene_28_1,28,7,1,21,27,21,0,6,1,75.0,96.42857142857143,-21.42857142857143,107.31127707374732,149.51235788763145,57.14285714285714,53.57142857142857,0.75,9.0,33.5,59.5,41.07142857142857,78.57142857142857,78.57142857142857,6.0,8.5,11.25,19.3,85.71428571428571
static,0,100-150,forward_vehicles,scene_28_6,85,19,1,85,75,75,10,0,0,100.0,88.23529411764706,11.764705882352944,100.55238789170116,149.72193380985757,95.29411764705881,92.94117647058823,24.0,58.0,105.0,226.40000000000003,100.0,76.47058823529412,54.11764705882353,3.0,5.0,21.0,26.0,95.39961013645222
static,0,100-150,forward_vehicles,scene_28_12,20,8,1,20,20,20,0,0,0,100.0,100.0,0.0,101.08026907499156,148.2364399300797,100.0,95.0,14.75,23.0,118.0,169.50000000000006,100.0,100.0,100.0,12.0,23.5,34.5,38.1,100.0
static,0,100-150,forward_vehicles,scene_28_18,42,11,1,37,41,36,1,5,0,88.09523809523809,97.61904761904762,-9.523809523809524,100.380581386362,149.6341155859118,78.57142857142857,66.66666666666666,4.0,14.5,21.75,33.9,80.9090909090909,59.523809523809526,21.428571428571427,2.0,3.0,4.0,8.0,95.45454545454545
static,0,100-150,all,scene_28_1,236,54,1,84,36,25,59,11,141,35.59322033898305,15.254237288135593,20.338983050847457,100.01457537159469,149.85105342932135,15.677966101694915,10.16949152542373,0.0,0.0,1.0,4.5,37.42724867724868,9.745762711864407,9.322033898305085,0.0,0.0,0.0,2.0,16.311728395061728
static,0,100-150,all,scene_28_6,142,24,1,137,123,119,18,4,1,96.47887323943662,86.61971830985915,9.859154929577475,100.26475808240477,149.72193380985757,90.14084507042254,86.61971830985915,15.25,43.0,100.0,213.30000000000004,97.0436507936508,61.267605633802816,39.436619718309856,1.0,4.0,8.0,24.80000000000001,83.62985008818342
static,0,100-150,all,scene_28_12,151,35,1,43,35,31,12,4,104,28.47682119205298,23.178807947019866,5.298013245033115,100.07915340275993,149.77802477287503,23.841059602649008,21.192052980132452,0.0,0.0,1.5,100.0,40.336734693877546,19.205298013245034,18.543046357615893,0.0,0.0,0.0,12.0,38.19047619047619
static,0,100-150,all,scene_28_18,90,12,1,83,83,78,5,5,2,92.22222222222223,92.22222222222223,0.0,100.380581386362,149.6341155859118,85.55555555555556,78.88888888888889,8.25,30.5,124.25,235.60000000000014,81.1111111111111,62.22222222222222,27.77777777777778,2.0,3.0,5.0,7.1000000000000085,85.19736842105262
static,0,100-150,all,scene_28_24,17,2,1,7,0,0,7,0,10,41.17647058823529,0.0,41.17647058823529,102.0515260064733,112.1430559245427,41.17647058823529,35.294117647058826,0.0,0.0,6.0,9.4,38.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,150-200,vehicles,scene_28_1,115,12,1,87,84,70,17,14,14,75.65217391304347,73.04347826086956,2.608695652173909,150.28445056882035,199.9727196236663,66.95652173913044,62.60869565217392,1.0,10.0,41.5,69.20000000000002,74.50980392156863,47.82608695652174,34.78260869565217,0.0,2.0,7.0,12.0,58.68313553491572
static,0,150-200,vehicles,scene_28_6,74,22,1,68,50,44,24,6,0,91.8918918918919,67.56756756756756,24.32432432432433,150.2692484722888,198.99440052543983,83.78378378378379,81.08108108108108,8.0,17.0,35.25,100.10000000000001,94.9134199134199,33.78378378378378,16.216216216216218,0.0,1.0,3.0,6.700000000000003,60.531135531135526
static,0,150-200,vehicles,scene_28_12,54,18,1,50,43,40,10,3,1,92.5925925925926,79.62962962962963,12.962962962962965,151.37582354922944,199.68700638182082,87.03703703703704,83.33333333333334,7.0,25.0,78.5,154.40000000000003,91.20370370370368,48.148148148148145,37.03703703703704,1.0,2.0,6.0,17.10000000000001,83.33333333333334
static,0,150-200,vehicles,scene_28_18,40,13,1,32,19,13,19,6,2,80.0,47.5,32.50000000000001,152.30494406940272,199.87630076942094,72.5,62.5,1.0,10.5,21.5,31.30000000000002,71.15384615384616,10.0,5.0,0.0,0.0,2.0,2.1000000000000014,56.730769230769226
static,0,150-200,passenger_cars,scene_28_1,15,5,1,10,5,4,6,1,4,66.66666666666666,33.33333333333333,33.33333333333333,154.03596802110513,198.75333675562098,33.33333333333333,33.33333333333333,0.0,1.0,8.5,24.599999999999998,62.142857142857146,0.0,0.0,0.0,0.0,2.0,2.0,48.57142857142856
static,0,150-200,passenger_cars,scene_28_6,7,4,1,6,4,3,3,1,0,85.71428571428571,57.14285714285714,28.57142857142857,150.5748978242395,195.99622348040978,57.14285714285714,42.857142857142854,1.0,3.0,8.0,15.000000000000005,91.66666666666666,28.57142857142857,0.0,0.0,1.0,2.5,3.0,41.666666666666664
static,0,150-200,passenger_cars,scene_28_12,12,1,1,11,6,5,6,1,0,91.66666666666666,50.0,41.666666666666664,165.93708954582632,186.53381818594744,83.33333333333334,75.0,5.5,8.5,10.5,13.8,91.66666666666666,0.0,0.0,0.0,0.5,1.25,2.0,50.0
static,0,150-200,passenger_cars,scene_28_18,30,6,1,24,13,9,15,4,2,80.0,43.333333333333336,36.66666666666667,152.30494406940272,199.87630076942094,73.33333333333333,60.0,1.5,8.0,15.0,24.0,70.83333333333334,3.3333333333333335,0.0,0.0,0.0,1.75,2.0,42.36111111111111
static,0,150-200,forward_vehicles,scene_28_1,105,8,1,78,82,68,10,14,13,74.28571428571429,78.0952380952381,-3.809523809523807,150.28445056882035,199.9727196236663,68.57142857142857,65.71428571428571,0.0,11.0,46.0,70.60000000000001,58.63970588235294,51.42857142857142,38.095238095238095,1.0,3.0,7.0,13.200000000000017,71.35803663570691
static,0,150-200,forward_vehicles,scene_28_6,25,16,1,23,23,21,2,2,0,92.0,92.0,0.0,150.5748978242395,198.99440052543983,92.0,88.0,9.0,17.0,22.0,31.800000000000004,93.75,72.0,48.0,2.0,4.0,7.0,8.0,93.75
static,0,150-200,forward_vehicles,scene_28_12,25,12,1,23,25,23,0,2,0,92.0,100.0,-7.9999999999999964,151.37582354922944,197.3980232445652,84.0,80.0,7.0,30.0,79.0,143.60000000000002,91.66666666666666,80.0,64.0,3.0,6.0,15.0,24.20000000000001,100.0
static,0,150-200,forward_vehicles,scene_28_18,29,10,1,24,16,11,13,5,0,82.75862068965517,55.172413793103445,27.586206896551722,152.30494406940272,199.87630076942094,79.3103448275862,68.96551724137932,3.0,11.0,21.0,30.19999999999999,70.0,13.793103448275861,6.896551724137931,0.0,1.0,2.0,3.1999999999999993,73.75
static,0,150-200,all,scene_28_1,256,46,1,107,85,70,37,15,134,41.796875,33.203125,8.59375,150.12315334501665,199.9727196236663,32.421875,28.515625,0.0,0.0,7.0,47.5,29.898002679332603,21.484375,15.625,0.0,0.0,2.0,7.0,15.852122313456274
static,0,150-200,all,scene_28_6,74,22,1,68,50,44,24,6,0,91.8918918918919,67.56756756756756,24.32432432432433,150.2692484722888,198.99440052543983,83.78378378378379,81.08108108108108,8.0,17.0,35.25,100.10000000000001,94.9134199134199,33.78378378378378,16.216216216216218,0.0,1.0,3.0,6.700000000000003,60.531135531135526
static,0,150-200,all,scene_28_12,160,44,1,62,43,40,22,3,95,38.75,26.875,11.875000000000002,150.3231986970195,199.68700638182082,31.874999999999996,30.0,0.0,0.0,7.0,72.39999999999998,45.21103896103896,16.25,12.5,0.0,0.0,1.0,6.0,34.090909090909086
static,0,150-200,all,scene_28_18,52,16,1,32,19,13,19,6,14,61.53846153846154,36.53846153846153,25.000000000000007,150.35048049437566,199.87630076942094,55.769230769230774,48.07692307692308,0.0,3.5,15.25,26.799999999999997,57.8125,7.6923076923076925,3.8461538461538463,0.0,0.0,1.0,2.0,46.09375
static,0,150-200,all,scene_28_24,9,2,1,1,0,0,1,0,8,11.11111111111111,0.0,11.11111111111111,159.44302771626278,168.72950632582754,0.0,0.0,0.0,0.0,0.0,0.40000000000000036,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-250,vehicles,scene_28_1,48,9,1,32,24,19,13,5,11,66.66666666666666,50.0,16.666666666666664,201.06925163807026,249.9157658332935,58.333333333333336,50.0,0.0,4.5,15.0,41.400000000000034,65.29304029304028,14.583333333333334,0.0,0.0,0.5,2.0,3.0,38.46153846153847
static,0,200-250,vehicles,scene_28_6,39,15,1,27,23,19,8,4,8,69.23076923076923,58.97435897435898,10.256410256410254,201.54258863542225,249.2167268956506,64.1025641025641,64.1025641025641,0.0,7.0,21.5,34.20000000000002,71.9047619047619,20.51282051282051,10.256410256410255,0.0,1.0,2.0,3.4000000000000057,70.95238095238095
static,0,200-250,vehicles,scene_28_12,48,17,1,44,39,36,8,3,1,91.66666666666666,81.25,10.416666666666663,200.0481951240057,249.7046674149109,89.58333333333334,87.5,7.75,16.5,45.0,114.0,91.66666666666666,39.58333333333333,20.833333333333336,1.0,2.0,3.25,7.300000000000004,73.52941176470588
