variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
static,0,100-150,vehicles,1,66,66,4,55,53,46,9,7,4,83.33333333333334,80.3030303030303,3.0303030303030387,100.380581386362,149.72193380985757
static,0,100-150,vehicles,3,66,66,4,45,39,32,13,7,14,68.18181818181817,59.09090909090909,9.090909090909083,100.380581386362,149.72193380985757
static,0,100-150,vehicles,5,66,66,4,41,31,26,15,5,20,62.121212121212125,46.96969696969697,15.151515151515149,100.380581386362,149.72193380985757
static,0,100-150,passenger_cars,1,22,22,3,12,13,7,5,6,4,54.54545454545454,59.09090909090909,-4.545454545454552,100.380581386362,147.2730748425423
static,0,100-150,passenger_cars,3,22,22,3,7,5,2,5,3,12,31.818181818181817,22.727272727272727,9.090909090909092,100.380581386362,147.2730748425423
static,0,100-150,passenger_cars,5,22,22,3,4,1,0,4,1,17,18.181818181818183,4.545454545454546,13.636363636363635,100.380581386362,147.2730748425423
static,0,100-150,forward_vehicles,1,45,45,4,38,43,37,1,6,1,84.44444444444444,95.55555555555556,-11.111111111111116,100.380581386362,149.72193380985757
static,0,100-150,forward_vehicles,3,45,45,4,32,34,27,5,7,6,71.11111111111111,75.55555555555556,-4.444444444444439,100.380581386362,149.72193380985757
static,0,100-150,forward_vehicles,5,45,45,4,30,29,24,6,5,10,66.66666666666666,64.44444444444444,2.2222222222222143,100.380581386362,149.72193380985757
static,0,100-150,all,1,127,127,5,67,58,47,20,11,49,52.75590551181102,45.66929133858268,7.086614173228339,100.380581386362,149.72193380985757
static,0,100-150,all,3,127,127,5,51,39,32,19,7,69,40.15748031496063,30.708661417322837,9.448818897637794,100.380581386362,149.72193380985757
static,0,100-150,all,5,127,127,5,44,31,26,18,5,78,34.645669291338585,24.409448818897637,10.236220472440943,100.380581386362,149.72193380985757
static,0,150-200,vehicles,1,65,65,4,54,47,38,16,9,2,83.07692307692308,72.3076923076923,10.769230769230775,151.8283587278215,199.9727196236663
static,0,150-200,vehicles,3,65,65,4,46,23,17,29,6,13,70.76923076923077,35.38461538461539,35.38461538461539,151.8283587278215,199.9727196236663
static,0,150-200,vehicles,5,65,65,4,43,16,12,31,4,18,66.15384615384615,24.615384615384617,41.53846153846153,151.8283587278215,199.9727196236663
static,0,150-200,passenger_cars,1,16,16,4,11,10,6,5,4,1,68.75,62.5,6.25,152.30494406940272,199.87630076942094
static,0,150-200,passenger_cars,3,16,16,4,8,0,0,8,0,8,50.0,0.0,50.0,152.30494406940272,199.87630076942094
static,0,150-200,passenger_cars,5,16,16,4,7,0,0,7,0,9,43.75,0.0,43.75,152.30494406940272,199.87630076942094
