scene,variant,paired_frames,observations,min_range_m,max_range_m,max_abs_offset_ms
scene_28_1,static,40,1625,3.8901120594630645,399.0340624161176,28.10949
scene_28_1,aligned,38,1555,4.0667924260772725,395.366842163772,28.10949
scene_28_6,static,40,570,4.127461076749828,381.0022030069285,28.078313
scene_28_6,aligned,38,549,4.127461076749828,381.0022030069285,28.078313
scene_28_12,static,40,1087,8.920967379233169,397.6820703976072,28.048251
scene_28_12,aligned,38,1038,8.920967379233169,397.6820703976072,28.048251
scene_28_18,static,40,402,4.241382266421513,396.194511461061,28.055195
scene_28_18,aligned,38,377,4.241382266421513,396.194511461061,28.055195
scene_28_24,static,40,828,9.048126164941834,318.0585202283685,27.917596
scene_28_24,aligned,38,787,9.048126164941834,318.0585202283685,27.917596
