variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,eligible_scenes,lidar_wins,radar_wins,tied_scenes,equal_scene_lidar_percent,equal_scene_radar_percent,equal_scene_difference_pp,min_scene_difference_pp,max_scene_difference_pp,leave_one_scene_out_min_pp,equal_track_lidar_percent,equal_track_radar_percent
static,0,100-150,vehicles,1,309,66,4,282,268,252,30,16,11,91.2621359223301,86.73139158576052,4.530744336569581,100.26475808240477,149.72193380985757,4,2,1,1,88.27375871389957,85.99836392089912,2.2753947930004323,-3.0303030303030276,9.859154929577475,-0.2525252525252486,84.4426406926407,76.45684075508636
static,0,100-150,vehicles,3,309,66,4,259,195,179,80,16,34,83.81877022653723,63.10679611650486,20.71197411003236,100.26475808240477,149.72193380985757,4,3,0,1,80.47713045952483,65.91033575188504,14.56679470763978,0.0,28.873239436619723,9.797979797979798,73.69389382547276,52.37042522130241
static,0,100-150,vehicles,5,309,66,4,244,131,117,127,14,51,78.96440129449837,42.394822006472495,36.569579288025885,100.26475808240477,149.72193380985757,4,3,1,0,75.46806089059609,50.51572058614312,24.952340304452978,-4.545454545454547,51.11111111111111,16.232750035566934,66.36866788182577,40.12328801802486
static,0,100-150,passenger_cars,1,74,22,3,55,47,37,18,10,9,74.32432432432432,63.51351351351351,10.81081081081081,100.380581386362,149.6341155859118,3,1,1,1,71.94444444444444,52.77777777777777,19.166666666666664,-5.000000000000004,62.5,-2.500000000000002,60.151515151515156,51.66666666666666
static,0,100-150,passenger_cars,3,74,22,3,48,19,15,33,4,22,64.86486486486487,25.675675675675674,39.18918918918919,100.380581386362,149.6341155859118,3,3,0,0,61.80555555555555,18.333333333333332,43.47222222222222,16.666666666666664,81.25,24.583333333333332,44.01515151515151,15.303030303030301
static,0,100-150,passenger_cars,5,74,22,3,38,2,1,37,1,35,51.35135135135135,2.7027027027027026,48.648648648648646,100.380581386362,149.6341155859118,3,3,0,0,47.68518518518518,1.6666666666666667,46.01851851851851,5.555555555555555,75.0,31.527777777777775,27.272727272727273,2.272727272727273
static,0,100-150,forward_vehicles,1,175,45,4,163,163,152,11,11,1,93.14285714285714,93.14285714285714,0.0,100.380581386362,149.72193380985757,4,1,2,1,90.77380952380952,95.57072829131653,-4.796918767507003,-21.42857142857143,11.764705882352944,-10.317460317460318,86.16666666666667,94.72427983539096
static,0,100-150,forward_vehicles,3,175,45,4,150,132,116,34,16,9,85.71428571428571,75.42857142857143,10.285714285714276,100.380581386362,149.72193380985757,4,2,1,1,82.75210084033613,78.64145658263305,4.110644257703081,-21.42857142857143,19.047619047619047,-0.8683473389355747,75.77777777777777,77.0082304526749
static,0,100-150,forward_vehicles,5,175,45,4,141,97,83,58,14,20,80.57142857142857,55.42857142857143,25.142857142857146,100.380581386362,149.72193380985757,4,2,2,0,77.04481792717087,63.52941176470588,13.515406162464984,-25.0,45.238095238095234,2.9411764705882355,68.61111111111111,62.71604938271605
static,0,100-150,all,1,636,127,5,354,277,253,101,24,258,55.660377358490564,43.55345911949686,12.106918238993709,100.01457537159469,149.85105342932135,5,4,0,1,58.78952151618604,43.454997153447366,15.334524362738668,0.0,41.17647058823529,8.874037806364512,53.64579427571553,41.314841127315226
static,0,100-150,all,3,636,127,5,285,195,179,106,16,335,44.81132075471698,30.660377358490564,14.150943396226417,100.01457537159469,149.85105342932135,5,5,0,0,51.27837938371147,30.488177716226897,20.790201667484563,4.635761589403972,41.17647058823529,15.693634437296883,41.748432761694254,27.21612649296031
static,0,100-150,all,5,636,127,5,256,131,117,139,14,366,40.25157232704403,20.59748427672956,19.654088050314467,100.01457537159469,149.85105342932135,5,5,0,0,46.43285387027261,19.015895550401723,27.41695831987089,0.8474576271186446,51.11111111111111,21.493420122060833,35.90906399857912,20.851472513304255
static,0,150-200,vehicles,1,283,65,4,237,196,167,70,29,17,83.74558303886926,69.25795053003534,14.487632508833915,150.2692484722888,199.9727196236663,4,4,0,0,85.034164599382,66.93516886451668,18.098995734865305,2.608695652173909,32.50000000000001,13.298660979820403,85.3673777203189,65.74434781698416
static,0,150-200,vehicles,3,283,65,4,215,110,90,125,20,48,75.97173144876325,38.869257950530034,37.10247349823321,150.2692484722888,199.9727196236663,4,4,0,0,77.56933563998783,34.93950472211342,42.62983091787439,19.130434782608695,62.5,36.006441223832525,71.0288551317963,36.30990720797818
static,0,150-200,vehicles,5,283,65,4,202,74,62,140,12,69,71.37809187279152,26.148409893992934,45.22968197879858,150.2692484722888,199.9727196236663,4,4,0,0,72.38077751664709,23.258965487226355,49.12181202942073,27.826086956521745,64.86486486486487,43.87412775093935,66.64693727589655,24.425577518456777
static,0,150-200,passenger_cars,1,64,16,4,51,28,21,30,7,6,79.6875,43.75,35.9375,150.5748978242395,199.87630076942094,4,4,0,0,81.01190476190476,45.952380952380956,35.05952380952381,28.57142857142857,41.666666666666664,32.857142857142854,74.62797619047618,44.60565476190476
static,0,150-200,passenger_cars,3,64,16,4,41,3,2,39,1,22,64.0625,4.6875,59.375,150.5748978242395,199.87630076942094,4,4,0,0,61.78571428571428,7.976190476190475,53.80952380952381,28.57142857142857,83.33333333333334,43.96825396825397,48.34449404761905,7.291666666666666
static,0,150-200,passenger_cars,5,64,16,4,35,0,0,35,0,29,54.6875,0.0,54.6875,150.5748978242395,199.87630076942094,4,4,0,0,52.797619047619044,0.0,52.797619047619044,33.33333333333333,75.0,45.39682539682539,39.09970238095238,0.0
static,0,150-200,forward_vehicles,1,184,46,4,148,146,123,25,23,13,80.43478260869566,79.34782608695652,1.0869565217391353,150.28445056882035,199.9727196236663,4,1,2,1,85.26108374384236,81.31691297208538,3.94417077175698,-7.9999999999999964,27.586206896551722,-3.9365079365079345,81.93734015345268,87.13835419751425
static,0,150-200,forward_vehicles,3,184,46,4,139,96,78,61,18,27,75.54347826086956,52.17391304347826,23.369565217391308,150.28445056882035,199.9727196236663,4,4,0,0,80.9704433497537,54.30541871921182,26.665024630541872,3.9999999999999925,65.51724137931035,13.714285714285715,75.59977976697925,60.656099968591555
static,0,150-200,forward_vehicles,5,184,46,4,131,70,58,73,12,41,71.19565217391305,38.04347826086957,33.152173913043484,150.28445056882035,199.9727196236663,4,4,0,0,75.66995073891626,39.24794745484401,36.42200328407225,16.000000000000004,62.06896551724138,27.873015873015873,70.84327934072179,43.028895768833856
static,0,150-200,all,1,551,130,5,270,197,167,103,30,251,49.00181488203267,35.75317604355717,13.248638838475502,150.12315334501665,199.9727196236663,5,5,0,0,49.017667908292914,32.83683082120582,16.18083708708709,8.59375,25.000000000000007,13.97604635885886,49.18735186382245,33.06448160079977
static,0,150-200,all,3,551,130,5,225,110,90,135,20,306,40.83484573502722,19.96370235934664,20.871143375680585,150.12315334501665,199.9727196236663,5,4,0,1,40.76997791060291,15.842093295218294,24.927884615384617,0.0,50.0,18.65985576923077,37.49061804208863,18.15495360398909
static,0,150-200,all,5,551,130,5,206,74,62,144,12,333,37.38656987295826,13.430127041742287,23.95644283121597,150.12315334501665,199.9727196236663,5,4,0,1,37.53472583160084,9.637474012474012,27.89725181912682,0.0,64.86486486486487,18.655348557692307,34.349109663589296,12.212788759228387
static,0,200-250,vehicles,1,173,51,4,135,102,85,50,17,21,78.03468208092485,58.95953757225434,19.075144508670515,200.0481951240057,249.9157658332935,4,4,0,0,77.943657219973,58.08240553306343,19.86125168690958,10.256410256410254,42.10526315789473,12.446581196581194,74.01062989298283,66.57427539780481
static,0,200-250,vehicles,3,173,51,4,127,39,34,93,5,41,73.41040462427746,22.54335260115607,50.86705202312138,200.0481951240057,249.9157658332935,4,4,0,0,73.39954453441295,21.959345479082323,51.44019905533064,43.5897435897436,68.42105263157895,45.77991452991453,70.19500107735402,24.917402858579326
static,0,200-250,vehicles,5,173,51,4,120,18,16,104,2,51,69.36416184971098,10.404624277456648,58.95953757225434,200.0481951240057,249.9157658332935,4,4,0,0,69.47958839406208,10.404014844804319,59.075573549257754,50.0,66.66666666666666,56.54520917678813,67.13890684478919,13.235294117647058
static,0,200-250,passenger_cars,1,49,10,3,37,16,11,26,5,7,75.51020408163265,32.6530612244898,42.857142857142854,201.91332212775274,249.9157658332935,3,2,1,0,50.932400932400924,54.19580419580419,-3.2634032634032644,-100.0,53.84615384615385,-31.81818181818182,35.19230769230769,51.43356643356643
static,0,200-250,passenger_cars,3,49,10,3,36,1,1,35,0,13,73.46938775510205,2.0408163265306123,71.42857142857143,201.91332212775274,249.9157658332935,3,2,0,1,49.417249417249415,1.5151515151515154,47.9020979020979,0.0,84.61538461538461,29.545454545454547,34.42307692307692,0.7692307692307693
static,0,200-250,passenger_cars,5,49,10,3,33,0,0,33,0,16,67.3469387755102,0.0,67.3469387755102,201.91332212775274,249.9157658332935,3,2,0,1,44.87179487179487,0.0,44.87179487179487,0.0,84.61538461538461,25.0,30.38461538461538,0.0
static,0,200-250,forward_vehicles,1,128,38,4,101,88,71,30,17,10,78.90625,68.75,10.15625,200.0481951240057,249.7046674149109,4,2,1,1,79.55523509438785,71.8248503742727,7.730384720115148,-15.78947368421052,39.3939393939394,-2.8241335044929357,74.23607094659727,85.90357011409644
static,0,200-250,forward_vehicles,3,128,38,4,95,34,29,66,5,28,74.21875,26.5625,47.65625,200.0481951240057,249.7046674149109,4,4,0,0,74.93831585615924,28.53919721698926,46.399118639169984,31.57894736842105,69.6969696969697,38.63316828657008,70.14893001735108,33.441777520724884
static,0,200-250,forward_vehicles,5,128,38,4,91,18,16,75,2,35,71.09375,14.0625,57.03125,200.0481951240057,249.7046674149109,4,4,0,0,72.3947618491906,15.436318067897016,56.95844378129358,51.21951219512195,69.6969696969697,52.71226847606821,68.8982070561018,20.175438596491226
static,0,200-250,all,1,387,112,5,168,102,85,83,17,202,43.41085271317829,26.356589147286826,17.05426356589147,200.0481951240057,249.9157658332935,5,4,0,1,41.643660850427764,26.64305243628552,15.000608414142253,0.0,34.69387755102041,10.077291129922713,41.62856488749346,30.315071832928975
static,0,200-250,all,3,387,112,5,138,39,34,104,5,244,35.65891472868217,10.077519379844961,25.581395348837212,200.0481951240057,249.9157658332935,5,4,0,1,36.3317509558111,9.619211615452215,26.712539340358887,0.0,53.06122448979592,20.12536805299963,34.746533228676086,11.346317373103087
static,0,200-250,all,5,387,112,5,123,18,16,107,2,262,31.782945736434108,4.651162790697675,27.13178294573644,200.0481951240057,249.9157658332935,5,4,0,1,33.77177333944251,5.031254459825888,28.740518879616623,0.0,52.5,22.800648599520777,31.271585557299836,6.026785714285714
static,0,250-300,vehicles,1,166,44,4,138,66,58,80,8,20,83.13253012048193,39.75903614457831,43.373493975903614,250.0497157484766,299.80861071369907,4,4,0,0,82.14345304306372,41.7874821229938,40.35597092006992,29.032258064516125,55.35714285714286,35.355580274378944,74.68811094819159,44.047837243401766
static,0,250-300,vehicles,3,166,44,4,133,10,10,123,0,33,80.12048192771084,6.024096385542169,74.09638554216868,250.0497157484766,299.80861071369907,4,4,0,0,79.80416732877801,5.709160972509137,74.09500635626887,62.06896551724138,87.09677419354838,69.76108374384238,73.2536045943304,8.475378787878787
