sync,annotation_index,reason
65,47,ego_vehicle
65,48,ego_vehicle
65,51,invalid_3d
65,52,invalid_3d
65,53,invalid_3d
65,54,invalid_3d
65,55,invalid_3d
65,56,invalid_3d
65,57,invalid_3d
65,58,invalid_3d
65,59,invalid_3d
65,60,invalid_3d
65,61,invalid_3d
65,62,invalid_3d
65,63,invalid_3d
65,64,invalid_3d
65,65,invalid_3d
65,66,invalid_3d
65,67,invalid_3d
65,68,invalid_3d
65,69,invalid_3d
65,70,invalid_3d
65,71,invalid_3d
65,72,invalid_3d
65,73,invalid_3d
65,74,invalid_3d
65,75,invalid_3d
65,76,invalid_3d
65,77,invalid_3d
65,78,invalid_3d
65,79,invalid_3d
65,80,invalid_3d
65,81,invalid_3d
65,82,invalid_3d
65,83,invalid_3d
65,84,invalid_3d
65,85,invalid_3d
65,86,invalid_3d
65,87,invalid_3d
65,88,invalid_3d
67,45,ego_vehicle
67,46,ego_vehicle
67,50,invalid_3d
67,51,invalid_3d
67,52,invalid_3d
67,53,invalid_3d
67,54,invalid_3d
67,55,invalid_3d
67,56,invalid_3d
67,57,invalid_3d
67,58,invalid_3d
67,59,invalid_3d
67,60,invalid_3d
67,61,invalid_3d
67,62,invalid_3d
67,63,invalid_3d
67,64,invalid_3d
67,65,invalid_3d
67,66,invalid_3d
67,67,invalid_3d
67,68,invalid_3d
67,69,invalid_3d
67,70,invalid_3d
67,71,invalid_3d
67,72,invalid_3d
67,73,invalid_3d
67,74,invalid_3d
67,75,invalid_3d
67,76,invalid_3d
67,77,invalid_3d
67,78,invalid_3d
67,79,invalid_3d
67,80,invalid_3d
67,81,invalid_3d
67,82,invalid_3d
67,83,invalid_3d
69,47,ego_vehicle
69,48,ego_vehicle
69,51,invalid_3d
69,52,invalid_3d
69,53,invalid_3d
69,54,invalid_3d
69,55,invalid_3d
69,56,invalid_3d
69,57,invalid_3d
69,58,invalid_3d
69,59,invalid_3d
69,60,invalid_3d
69,61,invalid_3d
69,62,invalid_3d
69,63,invalid_3d
69,64,invalid_3d
69,65,invalid_3d
69,66,invalid_3d
69,67,invalid_3d
69,68,invalid_3d
69,69,invalid_3d
69,70,invalid_3d
69,71,invalid_3d
69,72,invalid_3d
69,73,invalid_3d
69,74,invalid_3d
69,75,invalid_3d
69,76,invalid_3d
69,77,invalid_3d
69,78,invalid_3d
69,79,invalid_3d
69,80,invalid_3d
69,81,invalid_3d
69,82,invalid_3d
69,83,invalid_3d
69,84,invalid_3d
69,85,invalid_3d
71,48,ego_vehicle
71,49,ego_vehicle
71,51,invalid_3d
71,52,invalid_3d
71,53,invalid_3d
71,54,invalid_3d
71,55,invalid_3d
71,56,invalid_3d
71,57,invalid_3d
71,58,invalid_3d
71,59,invalid_3d
71,60,invalid_3d
71,61,invalid_3d
71,62,invalid_3d
71,63,invalid_3d
71,64,invalid_3d
71,65,invalid_3d
71,66,invalid_3d
71,67,invalid_3d
71,68,invalid_3d
71,69,invalid_3d
71,70,invalid_3d
71,71,invalid_3d
71,72,invalid_3d
71,73,invalid_3d
71,74,invalid_3d
71,75,invalid_3d
71,76,invalid_3d
71,77,invalid_3d
71,78,invalid_3d
71,79,invalid_3d
71,80,invalid_3d
71,81,invalid_3d
71,82,invalid_3d
71,83,invalid_3d
71,84,invalid_3d
73,48,ego_vehicle
73,49,ego_vehicle
73,52,invalid_3d
73,53,invalid_3d
73,54,invalid_3d
73,55,invalid_3d
73,56,invalid_3d
73,57,invalid_3d
73,58,invalid_3d
73,59,invalid_3d
73,60,invalid_3d
73,61,invalid_3d
73,62,invalid_3d
73,63,invalid_3d
73,64,invalid_3d
73,65,invalid_3d
73,66,invalid_3d
73,67,invalid_3d
73,68,invalid_3d
73,69,invalid_3d
73,70,invalid_3d
73,71,invalid_3d
73,72,invalid_3d
73,73,invalid_3d
73,74,invalid_3d
73,75,invalid_3d
73,76,invalid_3d
73,77,invalid_3d
73,78,invalid_3d
73,79,invalid_3d
73,80,invalid_3d
73,81,invalid_3d
73,82,invalid_3d
73,83,invalid_3d
73,84,invalid_3d
73,85,invalid_3d
75,45,ego_vehicle
75,46,ego_vehicle
75,52,invalid_3d
75,53,invalid_3d
75,54,invalid_3d
75,55,invalid_3d
75,56,invalid_3d
75,57,invalid_3d
75,58,invalid_3d
75,59,invalid_3d
75,60,invalid_3d
75,61,invalid_3d
75,62,invalid_3d
75,63,invalid_3d
75,64,invalid_3d
75,65,invalid_3d
75,66,invalid_3d
75,67,invalid_3d
75,68,invalid_3d
75,69,invalid_3d
75,70,invalid_3d
75,71,invalid_3d
75,72,invalid_3d
75,73,invalid_3d
75,74,invalid_3d
75,75,invalid_3d
75,76,invalid_3d
75,77,invalid_3d
75,78,invalid_3d
75,79,invalid_3d
75,80,invalid_3d
75,81,invalid_3d
75,82,invalid_3d
75,83,invalid_3d
75,84,invalid_3d
75,85,invalid_3d
75,86,invalid_3d
75,87,invalid_3d
75,88,invalid_3d
75,89,invalid_3d
75,90,invalid_3d
77,48,ego_vehicle
77,49,ego_vehicle
77,53,invalid_3d
77,54,invalid_3d
77,55,invalid_3d
77,56,invalid_3d
77,57,invalid_3d
77,58,invalid_3d
77,59,invalid_3d
77,60,invalid_3d
77,61,invalid_3d
77,62,invalid_3d
77,63,invalid_3d
77,64,invalid_3d
77,65,invalid_3d
77,66,invalid_3d
77,67,invalid_3d
77,68,invalid_3d
77,69,invalid_3d
77,70,invalid_3d
77,71,invalid_3d
77,72,invalid_3d
77,73,invalid_3d
77,74,invalid_3d
77,75,invalid_3d
77,76,invalid_3d
77,77,invalid_3d
77,78,invalid_3d
77,79,invalid_3d
77,80,invalid_3d
77,81,invalid_3d
77,82,invalid_3d
77,83,invalid_3d
77,84,invalid_3d
77,85,invalid_3d
77,86,invalid_3d
77,87,invalid_3d
77,88,invalid_3d
77,89,invalid_3d
77,90,invalid_3d
79,46,ego_vehicle
79,47,ego_vehicle
79,53,invalid_3d
79,54,invalid_3d
79,55,invalid_3d
79,56,invalid_3d
79,57,invalid_3d
79,58,invalid_3d
79,59,invalid_3d
79,60,invalid_3d
79,61,invalid_3d
79,62,invalid_3d
79,63,invalid_3d
79,64,invalid_3d
79,65,invalid_3d
79,66,invalid_3d
79,67,invalid_3d
79,68,invalid_3d
79,69,invalid_3d
79,70,invalid_3d
79,71,invalid_3d
79,72,invalid_3d
79,73,invalid_3d
79,74,invalid_3d
79,75,invalid_3d
79,76,invalid_3d
79,77,invalid_3d
79,78,invalid_3d
79,79,invalid_3d
79,80,invalid_3d
79,81,invalid_3d
79,82,invalid_3d
79,83,invalid_3d
79,84,invalid_3d
79,85,invalid_3d
79,86,invalid_3d
79,87,invalid_3d
79,88,invalid_3d
79,89,invalid_3d
79,90,invalid_3d
79,91,invalid_3d
81,47,ego_vehicle
81,48,ego_vehicle
81,53,invalid_3d
81,54,invalid_3d
81,55,invalid_3d
81,56,invalid_3d
81,57,invalid_3d
81,58,invalid_3d
81,59,invalid_3d
81,60,invalid_3d
81,61,invalid_3d
81,62,invalid_3d
81,63,invalid_3d
81,64,invalid_3d
81,65,invalid_3d
81,66,invalid_3d
81,67,invalid_3d
81,68,invalid_3d
81,69,invalid_3d
81,70,invalid_3d
81,71,invalid_3d
81,72,invalid_3d
81,73,invalid_3d
81,74,invalid_3d
81,75,invalid_3d
81,76,invalid_3d
81,77,invalid_3d
81,78,invalid_3d
81,79,invalid_3d
81,80,invalid_3d
81,81,invalid_3d
81,82,invalid_3d
81,83,invalid_3d
81,84,invalid_3d
81,85,invalid_3d
81,86,invalid_3d
81,87,invalid_3d
81,88,invalid_3d
81,89,invalid_3d
81,90,invalid_3d
83,48,ego_vehicle
83,49,ego_vehicle
83,53,invalid_3d
83,54,invalid_3d
83,55,invalid_3d
83,56,invalid_3d
83,57,invalid_3d
83,58,invalid_3d
83,59,invalid_3d
83,60,invalid_3d
83,61,invalid_3d
83,62,invalid_3d
83,63,invalid_3d
83,64,invalid_3d
83,65,invalid_3d
83,66,invalid_3d
83,67,invalid_3d
83,68,invalid_3d
83,69,invalid_3d
83,70,invalid_3d
83,71,invalid_3d
83,72,invalid_3d
83,73,invalid_3d
83,74,invalid_3d
83,75,invalid_3d
83,76,invalid_3d
83,77,invalid_3d
83,78,invalid_3d
83,79,invalid_3d
83,80,invalid_3d
83,81,invalid_3d
83,82,invalid_3d
83,83,invalid_3d
83,84,invalid_3d
83,85,invalid_3d
83,86,invalid_3d
85,47,ego_vehicle
85,48,ego_vehicle
85,53,invalid_3d
85,54,invalid_3d
85,55,invalid_3d
85,56,invalid_3d
85,57,invalid_3d
85,58,invalid_3d
85,59,invalid_3d
85,60,invalid_3d
85,61,invalid_3d
85,62,invalid_3d
85,63,invalid_3d
85,64,invalid_3d
85,65,invalid_3d
85,66,invalid_3d
85,67,invalid_3d
85,68,invalid_3d
85,69,invalid_3d
85,70,invalid_3d
85,71,invalid_3d
85,72,invalid_3d
85,73,invalid_3d
85,74,invalid_3d
85,75,invalid_3d
85,76,invalid_3d
85,77,invalid_3d
85,78,invalid_3d
85,79,invalid_3d
85,80,invalid_3d
85,81,invalid_3d
85,82,invalid_3d
85,83,invalid_3d
85,84,invalid_3d
85,85,invalid_3d
87,46,ego_vehicle
87,47,ego_vehicle
87,53,invalid_3d
87,54,invalid_3d
87,55,invalid_3d
87,56,invalid_3d
87,57,invalid_3d
87,58,invalid_3d
87,59,invalid_3d
87,60,invalid_3d
87,61,invalid_3d
87,62,invalid_3d
87,63,invalid_3d
87,64,invalid_3d
87,65,invalid_3d
87,66,invalid_3d
87,67,invalid_3d
87,68,invalid_3d
87,69,invalid_3d
87,70,invalid_3d
87,71,invalid_3d
87,72,invalid_3d
87,73,invalid_3d
87,74,invalid_3d
87,75,invalid_3d
87,76,invalid_3d
87,77,invalid_3d
87,78,invalid_3d
87,79,invalid_3d
87,80,invalid_3d
87,81,invalid_3d
87,82,invalid_3d
87,83,invalid_3d
87,84,invalid_3d
87,85,invalid_3d
87,86,invalid_3d
87,87,invalid_3d
87,88,invalid_3d
89,47,ego_vehicle
89,48,ego_vehicle
89,53,invalid_3d
89,54,invalid_3d
89,55,invalid_3d
89,56,invalid_3d
89,57,invalid_3d
89,58,invalid_3d
89,59,invalid_3d
89,60,invalid_3d
89,61,invalid_3d
89,62,invalid_3d
89,63,invalid_3d
89,64,invalid_3d
89,65,invalid_3d
89,66,invalid_3d
89,67,invalid_3d
89,68,invalid_3d
89,69,invalid_3d
89,70,invalid_3d
89,71,invalid_3d
89,72,invalid_3d
89,73,invalid_3d
89,74,invalid_3d
89,75,invalid_3d
89,76,invalid_3d
89,77,invalid_3d
89,78,invalid_3d
89,79,invalid_3d
89,80,invalid_3d
89,81,invalid_3d
89,82,invalid_3d
89,83,invalid_3d
89,84,invalid_3d
91,46,ego_vehicle
91,47,ego_vehicle
91,53,invalid_3d
91,54,invalid_3d
91,55,invalid_3d
91,56,invalid_3d
91,57,invalid_3d
91,58,invalid_3d
91,59,invalid_3d
91,60,invalid_3d
91,61,invalid_3d
91,62,invalid_3d
91,63,invalid_3d
91,64,invalid_3d
91,65,invalid_3d
91,66,invalid_3d
91,67,invalid_3d
91,68,invalid_3d
91,69,invalid_3d
91,70,invalid_3d
91,71,invalid_3d
91,72,invalid_3d
91,73,invalid_3d
91,74,invalid_3d
91,75,invalid_3d
91,76,invalid_3d
91,77,invalid_3d
91,78,invalid_3d
91,79,invalid_3d
91,80,invalid_3d
91,81,invalid_3d
91,82,invalid_3d
91,83,invalid_3d
91,84,invalid_3d
91,85,invalid_3d
93,44,ego_vehicle
93,45,ego_vehicle
93,53,invalid_3d
93,54,invalid_3d
93,55,invalid_3d
93,56,invalid_3d
93,57,invalid_3d
93,58,invalid_3d
93,59,invalid_3d
93,60,invalid_3d
93,61,invalid_3d
93,62,invalid_3d
93,63,invalid_3d
93,64,invalid_3d
93,65,invalid_3d
93,66,invalid_3d
93,67,invalid_3d
93,68,invalid_3d
93,69,invalid_3d
93,70,invalid_3d
93,71,invalid_3d
93,72,invalid_3d
93,73,invalid_3d
93,74,invalid_3d
93,75,invalid_3d
93,76,invalid_3d
93,77,invalid_3d
93,78,invalid_3d
93,79,invalid_3d
93,80,invalid_3d
93,81,invalid_3d
93,82,invalid_3d
93,83,invalid_3d
93,84,invalid_3d
93,85,invalid_3d
93,86,invalid_3d
93,87,invalid_3d
93,88,invalid_3d
93,89,invalid_3d
93,90,invalid_3d
93,91,invalid_3d
95,45,ego_vehicle
95,46,ego_vehicle
95,53,invalid_3d
95,54,invalid_3d
95,55,invalid_3d
95,56,invalid_3d
95,57,invalid_3d
95,58,invalid_3d
95,59,invalid_3d
95,60,invalid_3d
95,61,invalid_3d
95,62,invalid_3d
95,63,invalid_3d
95,64,invalid_3d
95,65,invalid_3d
95,66,invalid_3d
95,67,invalid_3d
95,68,invalid_3d
95,69,invalid_3d
95,70,invalid_3d
95,71,invalid_3d
95,72,invalid_3d
95,73,invalid_3d
95,74,invalid_3d
95,75,invalid_3d
95,76,invalid_3d
95,77,invalid_3d
95,78,invalid_3d
95,79,invalid_3d
95,80,invalid_3d
95,81,invalid_3d
95,82,invalid_3d
95,83,invalid_3d
95,84,invalid_3d
95,85,invalid_3d
95,86,invalid_3d
95,87,invalid_3d
97,44,ego_vehicle
97,45,ego_vehicle
97,52,invalid_3d
97,53,invalid_3d
97,54,invalid_3d
97,55,invalid_3d
97,56,invalid_3d
97,57,invalid_3d
97,58,invalid_3d
97,59,invalid_3d
97,60,invalid_3d
97,61,invalid_3d
97,62,invalid_3d
97,63,invalid_3d
97,64,invalid_3d
97,65,invalid_3d
97,66,invalid_3d
97,67,invalid_3d
97,68,invalid_3d
97,69,invalid_3d
97,70,invalid_3d
97,71,invalid_3d
97,72,invalid_3d
97,73,invalid_3d
97,74,invalid_3d
97,75,invalid_3d
97,76,invalid_3d
97,77,invalid_3d
97,78,invalid_3d
97,79,invalid_3d
97,80,invalid_3d
97,81,invalid_3d
97,82,invalid_3d
97,83,invalid_3d
97,84,invalid_3d
97,85,invalid_3d
97,86,invalid_3d
99,45,ego_vehicle
99,46,ego_vehicle
99,52,invalid_3d
99,53,invalid_3d
99,54,invalid_3d
99,55,invalid_3d
99,56,invalid_3d
99,57,invalid_3d
99,58,invalid_3d
99,59,invalid_3d
99,60,invalid_3d
99,61,invalid_3d
99,62,invalid_3d
99,63,invalid_3d
99,64,invalid_3d
99,65,invalid_3d
99,66,invalid_3d
99,67,invalid_3d
99,68,invalid_3d
99,69,invalid_3d
99,70,invalid_3d
99,71,invalid_3d
99,72,invalid_3d
99,73,invalid_3d
99,74,invalid_3d
99,75,invalid_3d
99,76,invalid_3d
99,77,invalid_3d
99,78,invalid_3d
99,79,invalid_3d
99,80,invalid_3d
99,81,invalid_3d
99,82,invalid_3d
99,83,invalid_3d
99,84,invalid_3d
99,85,invalid_3d
101,43,ego_vehicle
101,44,ego_vehicle
101,52,invalid_3d
101,53,invalid_3d
101,54,invalid_3d
101,55,invalid_3d
101,56,invalid_3d
101,57,invalid_3d
101,58,invalid_3d
101,59,invalid_3d
101,60,invalid_3d
101,61,invalid_3d
101,62,invalid_3d
101,63,invalid_3d
101,64,invalid_3d
101,65,invalid_3d
101,66,invalid_3d
101,67,invalid_3d
101,68,invalid_3d
101,69,invalid_3d
101,70,invalid_3d
101,71,invalid_3d
101,72,invalid_3d
101,73,invalid_3d
101,74,invalid_3d
101,75,invalid_3d
101,76,invalid_3d
101,77,invalid_3d
101,78,invalid_3d
101,79,invalid_3d
101,80,invalid_3d
101,81,invalid_3d
101,82,invalid_3d
101,83,invalid_3d
101,84,invalid_3d
101,85,invalid_3d
101,86,invalid_3d
101,87,invalid_3d
101,88,invalid_3d
103,45,ego_vehicle
103,46,ego_vehicle
103,52,invalid_3d
103,53,invalid_3d
103,54,invalid_3d
103,55,invalid_3d
103,56,invalid_3d
103,57,invalid_3d
103,58,invalid_3d
103,59,invalid_3d
103,60,invalid_3d
103,61,invalid_3d
103,62,invalid_3d
103,63,invalid_3d
103,64,invalid_3d
103,65,invalid_3d
103,66,invalid_3d
103,67,invalid_3d
103,68,invalid_3d
103,69,invalid_3d
103,70,invalid_3d
103,71,invalid_3d
103,72,invalid_3d
103,73,invalid_3d
103,74,invalid_3d
103,75,invalid_3d
103,76,invalid_3d
103,77,invalid_3d
103,78,invalid_3d
103,79,invalid_3d
103,80,invalid_3d
103,81,invalid_3d
103,82,invalid_3d
103,83,invalid_3d
103,84,invalid_3d
103,85,invalid_3d
103,86,invalid_3d
103,87,invalid_3d
103,88,invalid_3d
103,89,invalid_3d
103,90,invalid_3d
103,91,invalid_3d
103,92,invalid_3d
105,45,ego_vehicle
105,46,ego_vehicle
105,52,invalid_3d
105,53,invalid_3d
105,54,invalid_3d
105,55,invalid_3d
105,56,invalid_3d
105,57,invalid_3d
105,58,invalid_3d
105,59,invalid_3d
105,60,invalid_3d
105,61,invalid_3d
105,62,invalid_3d
105,63,invalid_3d
105,64,invalid_3d
105,65,invalid_3d
105,66,invalid_3d
105,67,invalid_3d
105,68,invalid_3d
105,69,invalid_3d
105,70,invalid_3d
105,71,invalid_3d
105,72,invalid_3d
105,73,invalid_3d
105,74,invalid_3d
105,75,invalid_3d
105,76,invalid_3d
105,77,invalid_3d
105,78,invalid_3d
105,79,invalid_3d
105,80,invalid_3d
105,81,invalid_3d
105,82,invalid_3d
105,83,invalid_3d
105,84,invalid_3d
105,85,invalid_3d
105,86,invalid_3d
105,87,invalid_3d
105,88,invalid_3d
105,89,invalid_3d
105,90,invalid_3d
107,44,ego_vehicle
107,45,ego_vehicle
107,51,invalid_3d
107,52,invalid_3d
107,53,invalid_3d
107,54,invalid_3d
107,55,invalid_3d
107,56,invalid_3d
107,57,invalid_3d
107,58,invalid_3d
107,59,invalid_3d
107,60,invalid_3d
107,61,invalid_3d
107,62,invalid_3d
107,63,invalid_3d
107,64,invalid_3d
107,65,invalid_3d
107,66,invalid_3d
107,67,invalid_3d
107,68,invalid_3d
107,69,invalid_3d
107,70,invalid_3d
107,71,invalid_3d
107,72,invalid_3d
107,73,invalid_3d
107,74,invalid_3d
107,75,invalid_3d
107,76,invalid_3d
107,77,invalid_3d
107,78,invalid_3d
107,79,invalid_3d
107,80,invalid_3d
107,81,invalid_3d
107,82,invalid_3d
107,83,invalid_3d
107,84,invalid_3d
107,85,invalid_3d
107,86,invalid_3d
107,87,invalid_3d
107,88,invalid_3d
107,89,invalid_3d
107,90,invalid_3d
107,91,invalid_3d
109,45,ego_vehicle
