sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
65,conti542/joint_radars/detections,radar,2739,3261474304,3272099583,-10.625279,327.5802069976713,394,165,87,31,23,0
65,aeva/joint_lidars/points,lidar,311005,3299958272,3272099583,27.858689,396.09969435564227,22109,6103,2170,567,313,0
65,ouster/forward_center/points,lidar,56789,3275063808,3272099583,2.964225,210.99679402565198,109,40,11,0,0,0
65,ouster/sideward_left/points,lidar,56671,3270691072,3272099583,-1.408511,227.14572286750587,16,14,5,0,0,0
65,ouster/sideward_right/points,lidar,54310,3269967360,3272099583,-2.132223,210.65265284145246,16,13,3,0,0,0
67,conti542/joint_radars/detections,radar,2892,3361223168,3372026708,-10.80354,327.5810539336031,399,201,102,43,28,0
67,aeva/joint_lidars/points,lidar,337634,3399962368,3372026708,27.93566,393.07357907635037,22561,5906,2234,548,296,0
67,ouster/forward_center/points,lidar,56800,3374996480,3372026708,2.969772,248.4182431678426,131,44,11,0,0,0
67,ouster/sideward_left/points,lidar,56568,3370960384,3372026708,-1.066324,210.45408804798336,16,13,4,0,0,0
67,ouster/sideward_right/points,lidar,54468,3369710336,3372026708,-2.316372,210.13395741077483,16,15,4,0,0,0
69,conti542/joint_radars/detections,radar,2591,3461657856,3472121258,-10.463402,327.6251840009654,336,167,79,33,22,0
69,aeva/joint_lidars/points,lidar,328266,3499959040,3472121258,27.837782,390.30289160271326,23783,5756,2032,579,315,0
69,ouster/forward_center/points,lidar,56553,3474707712,3472121258,2.586454,209.83769353600167,160,44,11,0,0,0
69,ouster/sideward_left/points,lidar,56366,3470854912,3472121258,-1.266346,209.8058374805224,17,15,4,0,0,0
69,ouster/sideward_right/points,lidar,54737,3469505536,3472121258,-2.615722,209.44439647680295,15,12,3,0,0,0
71,conti542/joint_radars/detections,radar,2903,3561502976,3572048483,-10.545507,327.5844755123277,423,182,95,34,24,0
71,aeva/joint_lidars/points,lidar,333771,3599969024,3572048483,27.920541,387.2140655097528,23604,5838,2087,563,303,0
71,ouster/forward_center/points,lidar,57112,3574669568,3572048483,2.621085,210.88902915936242,87,51,11,0,0,0
71,ouster/sideward_left/points,lidar,56281,3570699520,3572048483,-1.348963,209.20826668877223,13,13,3,0,0,0
71,ouster/sideward_right/points,lidar,55063,3569733888,3572048483,-2.314595,208.83202781622137,16,13,5,0,0,0
73,conti542/joint_radars/detections,radar,3008,3661261824,3672143058,-10.881234,327.57131334864636,430,181,89,29,17,0
73,aeva/joint_lidars/points,lidar,329111,3699976448,3672143058,27.83339,396.2618339938463,23657,6166,2208,657,378,0
73,ouster/forward_center/points,lidar,58625,3674979328,3672143058,2.83627,239.66655466286971,48,33,8,0,0,0
73,ouster/sideward_left/points,lidar,56108,3670657280,3672143058,-1.485778,208.62737616975932,16,16,3,0,0,0
73,ouster/sideward_right/points,lidar,54869,3670011136,3672143058,-2.131922,208.28351026037288,20,14,5,0,0,0
75,conti542/joint_radars/detections,radar,2741,3761668352,3772070358,-10.402006,327.58620501685857,384,156,76,30,21,0
75,aeva/joint_lidars/points,lidar,351492,3799977472,3772070358,27.907114,395.96512221788146,23528,5975,2061,676,368,0
75,ouster/forward_center/points,lidar,59364,3775064320,3772070358,2.993962,235.48481248664322,40,29,7,0,0,0
75,ouster/sideward_left/points,lidar,55823,3770819072,3772070358,-1.251286,208.04774964765153,19,17,3,0,0,0
75,ouster/sideward_right/points,lidar,54933,3769829376,3772070358,-2.240982,207.7122288763924,18,12,4,0,0,0
77,conti542/joint_radars/detections,radar,2859,3861612800,3871997558,-10.384758,327.58813946344617,437,188,99,39,24,0
77,aeva/joint_lidars/points,lidar,356557,3899980800,3871997558,27.983242,392.9991771049898,23235,6086,1919,608,339,0
77,ouster/forward_center/points,lidar,58971,3874792704,3871997558,2.795146,233.84495137811606,102,34,10,0,0,0
77,ouster/sideward_left/points,lidar,55689,3870899968,3871997558,-1.09759,207.3729594758882,20,16,3,0,0,0
77,ouster/sideward_right/points,lidar,55177,3869588224,3871997558,-2.409334,207.07532795098572,13,12,4,0,0,0
79,conti542/joint_radars/detections,radar,2944,3961253376,3972092233,-10.838857,327.5751714248148,426,189,95,45,27,0
79,aeva/joint_lidars/points,lidar,344069,3999984128,3972092233,27.891895,391.6907699513125,23609,6006,1898,603,324,0
79,ouster/forward_center/points,lidar,59415,3974602240,3972092233,2.510007,229.6479689464744,61,36,12,0,0,0
79,ouster/sideward_left/points,lidar,55227,3970762496,3972092233,-1.329737,206.80704456617337,23,17,3,0,0,0
79,ouster/sideward_right/points,lidar,55520,3969488128,3972092233,-2.604105,206.42110955757332,15,12,4,0,0,0
81,conti542/joint_radars/detections,radar,2994,4061700864,4072019633,-10.318769,327.5889938084054,417,169,92,51,28,0
81,aeva/joint_lidars/points,lidar,364014,4099995136,4072019633,27.975503,387.1939042897074,22954,5948,1844,588,210,0
81,ouster/forward_center/points,lidar,60090,4074838528,4072019633,2.818895,227.98237056401734,56,38,11,0,0,0
81,ouster/sideward_left/points,lidar,54742,4070622464,4072019633,-1.397169,227.40784537221072,21,17,4,0,0,0
