sync,sensor,modality,points,timestamp_ns,annotation_timestamp_ns,offset_ms,max_planar_range_m,points_ge_100m,points_ge_150m,points_ge_200m,points_ge_250m,points_ge_300m,points_ge_400m
63,conti542/joint_radars/detections,radar,2440,3161523712,3172004958,-10.481246,327.8960466876546,322,140,83,31,19,0
63,aeva/joint_lidars/points,lidar,331494,3199952128,3172004958,27.94717,398.19910824361386,22776,6569,2226,501,307,0
63,ouster/forward_center/points,lidar,55831,3174809088,3172004958,2.80413,211.5210192048757,140,27,9,0,0,0
63,ouster/sideward_left/points,lidar,57033,3170619648,3172004958,-1.38531,233.3838486722462,17,17,7,0,0,0
63,ouster/sideward_right/points,lidar,54197,3169808384,3172004958,-2.196574,211.3317060240953,16,12,3,0,0,0
65,conti542/joint_radars/detections,radar,2739,3261474304,3272099583,-10.625279,327.89027987335663,403,165,89,31,23,0
65,aeva/joint_lidars/points,lidar,311005,3299958272,3272099583,27.858689,395.2850322170353,22294,6099,2176,562,311,0
65,ouster/forward_center/points,lidar,56789,3275063808,3272099583,2.964225,210.9101189119294,109,40,11,0,0,0
65,ouster/sideward_left/points,lidar,56671,3270691072,3272099583,-1.408511,227.10476453917576,16,14,5,0,0,0
65,ouster/sideward_right/points,lidar,54310,3269967360,3272099583,-2.132223,210.71490053398065,16,13,3,0,0,0
67,conti542/joint_radars/detections,radar,2892,3361223168,3372026708,-10.80354,327.89684106632234,401,202,104,43,28,0
67,aeva/joint_lidars/points,lidar,337634,3399962368,3372026708,27.93566,392.25815261563974,23148,5929,2225,553,296,0
67,ouster/forward_center/points,lidar,56800,3374996480,3372026708,2.969772,248.33160018080932,131,44,11,0,0,0
67,ouster/sideward_left/points,lidar,56568,3370960384,3372026708,-1.066324,210.4852674185742,16,13,4,0,0,0
67,ouster/sideward_right/points,lidar,54468,3369710336,3372026708,-2.316372,210.2016984252463,16,15,4,0,0,0
69,conti542/joint_radars/detections,radar,2591,3461657856,3472121258,-10.463402,327.9300990315856,335,167,82,33,22,0
69,aeva/joint_lidars/points,lidar,328266,3499959040,3472121258,27.837782,389.4888021210878,24247,5810,2070,582,315,0
69,ouster/forward_center/points,lidar,56553,3474707712,3472121258,2.586454,209.7620306641918,160,44,11,0,0,0
69,ouster/sideward_left/points,lidar,56366,3470854912,3472121258,-1.266346,209.8428021346867,17,15,4,0,0,0
69,ouster/sideward_right/points,lidar,54737,3469505536,3472121258,-2.615722,209.52075592413485,15,12,3,0,0,0
71,conti542/joint_radars/detections,radar,2903,3561502976,3572048483,-10.545507,327.8928238145135,425,183,95,34,24,0
71,aeva/joint_lidars/points,lidar,333771,3599969024,3572048483,27.920541,386.3988637036447,23757,5965,2081,563,303,0
71,ouster/forward_center/points,lidar,57112,3574669568,3572048483,2.621085,210.812491920134,87,51,11,0,0,0
71,ouster/sideward_left/points,lidar,56281,3570699520,3572048483,-1.348963,209.24772858881045,13,13,3,0,0,0
71,ouster/sideward_right/points,lidar,55063,3569733888,3572048483,-2.314595,208.8997360860463,16,13,5,0,0,0
73,conti542/joint_radars/detections,radar,3008,3661261824,3672143058,-10.881234,327.88896320750206,431,181,90,29,17,0
73,aeva/joint_lidars/points,lidar,329111,3699976448,3672143058,27.83339,395.44888944140087,23916,6217,2182,657,378,0
73,ouster/forward_center/points,lidar,58625,3674979328,3672143058,2.83627,239.58365048435752,48,33,8,0,0,0
73,ouster/sideward_left/points,lidar,56108,3670657280,3672143058,-1.485778,208.67076157702985,16,16,3,0,0,0
73,ouster/sideward_right/points,lidar,54869,3670011136,3672143058,-2.131922,208.3457644086386,20,14,5,0,0,0
75,conti542/joint_radars/detections,radar,2741,3761668352,3772070358,-10.402006,327.89036685281656,384,156,76,30,21,0
75,aeva/joint_lidars/points,lidar,351492,3799977472,3772070358,27.907114,395.1501232594276,23668,6090,2062,676,365,0
75,ouster/forward_center/points,lidar,59364,3775064320,3772070358,2.993962,235.3972817005428,40,29,7,0,0,0
75,ouster/sideward_left/points,lidar,55823,3770819072,3772070358,-1.251286,208.08434632992763,19,17,3,0,0,0
75,ouster/sideward_right/points,lidar,54933,3769829376,3772070358,-2.240982,207.77777667233295,18,12,4,0,0,0
77,conti542/joint_radars/detections,radar,2859,3861612800,3871997558,-10.384758,327.89177534923135,441,188,100,39,24,0
77,aeva/joint_lidars/points,lidar,356557,3899980800,3871997558,27.983242,392.1832499115865,23266,6055,1880,604,339,0
77,ouster/forward_center/points,lidar,58971,3874792704,3871997558,2.795146,233.7633626994174,102,34,10,0,0,0
77,ouster/sideward_left/points,lidar,55689,3870899968,3871997558,-1.09759,207.4050711835963,20,16,3,0,0,0
77,ouster/sideward_right/points,lidar,55177,3869588224,3871997558,-2.409334,207.14580683856477,13,12,4,0,0,0
79,conti542/joint_radars/detections,radar,2944,3961253376,3972092233,-10.838857,327.8915859380786,426,190,95,45,28,0
79,aeva/joint_lidars/points,lidar,344069,3999984128,3972092233,27.891895,390.87608441966563,23669,6047,1920,597,251,0
79,ouster/forward_center/points,lidar,59415,3974602240,3972092233,2.510007,229.57457345924104,61,36,12,0,0,0
79,ouster/sideward_left/points,lidar,55227,3970762496,3972092233,-1.329737,206.84587939072742,23,17,3,0,0,0
79,ouster/sideward_right/points,lidar,55520,3969488128,3972092233,-2.604105,206.49716126953453,15,12,4,0,0,0
81,conti542/joint_radars/detections,radar,2994,4061700864,4072019633,-10.318769,327.89077253758603,418,169,92,51,28,0
81,aeva/joint_lidars/points,lidar,364014,4099995136,4072019633,27.975503,386.8259396145002,23159,5997,1856,582,207,0
81,ouster/forward_center/points,lidar,60090,4074838528,4072019633,2.818895,227.90006609251546,56,38,11,0,0,0
81,ouster/sideward_left/points,lidar,54742,4070622464,4072019633,-1.397169,227.44868099631395,21,17,4,0,0,0
81,ouster/sideward_right/points,lidar,56035,4069792768,4072019633,-2.226865,205.91186151371065,14,13,4,0,0,0
83,conti542/joint_radars/detections,radar,2988,4161565184,4172124408,-10.559224,327.8910514775989,412,171,88,52,25,0
83,aeva/joint_lidars/points,lidar,372222,4199993600,4172124408,27.869192,389.65807836676987,24528,5761,1832,515,197,0
83,ouster/forward_center/points,lidar,60299,4175069696,4172124408,2.945288,224.97942402641777,66,30,10,0,0,0
83,ouster/sideward_left/points,lidar,54087,4170698496,4172124408,-1.425912,224.47577327718074,19,16,4,0,0,0
83,ouster/sideward_right/points,lidar,56265,4169977088,4172124408,-2.14732,205.27618794469808,18,15,4,0,0,0
85,conti542/joint_radars/detections,radar,3073,4261213184,4272051758,-10.838574,327.89301014347325,427,161,87,47,24,0
85,aeva/joint_lidars/points,lidar,371163,4299990784,4272051758,27.939026,398.7775798002542,24193,6192,1951,633,225,0
85,ouster/forward_center/points,lidar,60604,4274931200,4272051758,2.879442,222.05678110701223,55,34,11,0,0,0
85,ouster/sideward_left/points,lidar,53542,4270964992,4272051758,-1.086766,205.07771440077005,23,19,4,0,0,0
85,ouster/sideward_right/points,lidar,56271,4269706496,4272051758,-2.345262,204.65422092699103,20,13,4,0,0,0
87,conti542/joint_radars/detections,radar,3023,4361585408,4372146458,-10.56105,327.8914138017165,438,169,101,55,31,0
87,aeva/joint_lidars/points,lidar,354707,4399998208,4372146458,27.85175,393.52727321400295,25400,6152,1865,562,212,0
87,ouster/forward_center/points,lidar,60947,4374635776,4372146458,2.489318,219.13912596634094,80,39,14,0,0,0
87,ouster/sideward_left/points,lidar,53127,4370848768,4372146458,-1.29769,218.6979410619547,21,15,5,0,0,0
87,ouster/sideward_right/points,lidar,55940,4369503232,4372146458,-2.643226,204.03124665095697,15,12,2,0,0,0
89,conti542/joint_radars/detections,radar,3124,4461591808,4472073733,-10.481925,327.88480084504897,464,175,97,52,29,0
89,aeva/joint_lidars/points,lidar,357759,4499997184,4472073733,27.923451,392.8605202541121,25281,6341,1809,585,216,0
89,ouster/forward_center/points,lidar,60777,4474799360,4472073733,2.725627,284.44251207229865,72,37,15,1,0,0
89,ouster/sideward_left/points,lidar,53108,4470711040,4472073733,-1.362693,215.7390231028543,22,14,4,0,0,0
89,ouster/sideward_right/points,lidar,55582,4469692160,4472073733,-2.381573,217.00199725538175,15,12,4,0,0,0
91,conti542/joint_radars/detections,radar,3123,4561329920,4572001108,-10.671188,327.87505690990537,467,162,92,48,24,0
91,aeva/joint_lidars/points,lidar,378790,4600005376,4572001108,28.004268,397.0444915407896,25942,7754,1780,583,226,0
91,ouster/forward_center/points,lidar,60200,4575084800,4572001108,3.083692,281.53021620600657,91,34,12,1,0,0
91,ouster/sideward_left/points,lidar,52949,4570664704,4572001108,-1.336404,212.82610949999133,20,16,4,0,0,0
91,ouster/sideward_right/points,lidar,55534,4570019584,4572001108,-1.981524,202.84833796511123,15,12,3,0,0,0
93,conti542/joint_radars/detections,radar,3054,4661639168,4672095858,-10.45669,327.8863415718412,439,167,86,47,26,0
93,aeva/joint_lidars/points,lidar,376625,4700006912,4672095858,27.911054,394.54830072372283,25046,6951,1933,699,257,0
93,ouster/forward_center/points,lidar,59817,4674910464,4672095858,2.814606,236.7642398497314,120,25,11,0,0,0
93,ouster/sideward_left/points,lidar,52742,4670861568,4672095858,-1.23429,209.93520571767908,16,12,4,0,0,0
93,ouster/sideward_right/points,lidar,55496,4669845504,4672095858,-2.250354,202.21095106270565,17,7,3,0,0,0
95,conti542/joint_radars/detections,radar,3149,4761553664,4772023183,-10.469519,327.9067978691221,479,175,95,53,26,0
95,aeva/joint_lidars/points,lidar,375333,4800020224,4772023183,27.997041,392.212496078795,25234,7023,1738,603,215,0
95,ouster/forward_center/points,lidar,59501,4774598400,4772023183,2.575217,233.8253905159963,111,27,13,0,0,0
95,ouster/sideward_left/points,lidar,52619,4770842112,4772023183,-1.181071,207.01230109139942,23,11,4,0,0,0
95,ouster/sideward_right/points,lidar,55407,4769584384,4772023183,-2.438799,201.6323670437137,15,7,3,0,0,0
97,conti542/joint_radars/detections,radar,3088,4861266944,4872117908,-10.850964,327.8865659251072,386,150,83,43,22,0
97,aeva/joint_lidars/points,lidar,375639,4900024832,4872117908,27.906924,389.22688864473,25726,7202,1800,659,198,0
97,ouster/forward_center/points,lidar,59276,4874653952,4872117908,2.536044,204.66370734571956,128,46,11,0,0,0
97,ouster/sideward_left/points,lidar,52220,4870684672,4872117908,-1.433236,204.0513895607851,23,11,4,0,0,0
97,ouster/sideward_right/points,lidar,55606,4869466624,4872117908,-2.651284,201.01642557477808,15,7,3,0,0,0
