class,box_observations,denominator,percent,annotated_frames
Vehicle,313408,526148,59.5665098033253,4800
TrafficSign,81450,526148,15.480435162729878,4800
RoadDebris,30664,526148,5.828017972129515,4800
Vehicle-Passenger,29920,526148,5.6866128921900305,4800
Vehicle-SemiTruck-Trailer,13803,526148,2.623406341941811,4800
Vehicle-SemiTruck-Cab,11165,526148,2.122026502048853,4800
RoadObstruction-Barrel,10207,526148,1.939948455567635,4800
Person,7446,526148,1.415191162942746,4800
RoadObstruction,5793,526148,1.1010210054965524,4800
Vehicle-EgoVehicle-Cab,4817,526148,0.9155218683716368,4800
Vehicle-EgoVehicle-Trailer,4402,526148,0.8366467229752845,4800
Vehicle-Trailer,3397,526148,0.6456358287021903,4800
Vehicle-SingleUnitTruck,2310,526148,0.43903996594114203,4800
RoadObstruction-Delineator,1981,526148,0.3765100313980097,4800
RoadObstruction-Cone,1208,526148,0.22959319431034614,4800
Vehicle-Equipment,864,526148,0.1642123508974661,4800
TrafficSignal,624,526148,0.11859780898150331,4800
Vehicle-RV,554,526148,0.10529356758934748,4800
Person-Pedestrian,456,526148,0.08666762964032934,4800
DynamicTrafficSign,374,526148,0.07108266115237538,4800
Vehicle-Other,342,526148,0.065000722230247,4800
VRUvehicle-Motorcycle,305,526148,0.05796848035153607,4800
VRUvehicle,289,526148,0.05492751089047188,4800
Person-Rider,198,526148,0.03763199708066932,4800
Vehicle-Bus,129,526148,0.02451781627983001,4800
RoadObstruction-Barricade,35,526148,0.00665212069607791,4800
Vehicle-SchoolBus,7,526148,0.001330424139215582,4800
