class,matching_threshold_m,one_camera_ap,four_camera_ap
animal,0.5,0.0,0.0
animal,1.0,0.0,0.0
animal,2.0,0.0,0.0
animal,4.0,0.0,0.0
barrier,0.5,0.0,0.0
barrier,1.0,0.0,0.0
barrier,2.0,0.0,0.0
barrier,4.0,0.0,0.0
bicycle,0.5,0.0,0.0
bicycle,1.0,0.0,0.0
bicycle,2.0,0.0,0.0
bicycle,4.0,0.0,0.0
bus,0.5,0.0,0.0
bus,1.0,0.0,0.0
bus,2.0,0.0,0.0
bus,4.0,0.0,0.0
car,0.5,0.0,0.0
car,1.0,0.0,0.0
car,2.0,0.0,0.0
car,4.0,0.0,0.0
motorcycle,0.5,0.0,0.0
motorcycle,1.0,0.0,0.0
motorcycle,2.0,0.0,0.0
motorcycle,4.0,0.0,0.0042268561745685915
other_vehicle,0.5,0.0,0.0
other_vehicle,1.0,0.0,0.0
other_vehicle,2.0,0.0,0.0
other_vehicle,4.0,0.0,0.0
pedestrian,0.5,0.0,0.0
pedestrian,1.0,0.0,0.0
pedestrian,2.0,0.0,0.0
pedestrian,4.0,0.0,0.008217703391904333
traffic_cone,0.5,0.0,0.0
traffic_cone,1.0,0.0,0.0
traffic_cone,2.0,0.0,0.019407057093948316
traffic_cone,4.0,0.0,0.18541277051702884
traffic_sign,0.5,0.0,0.0
traffic_sign,1.0,0.0,0.0
traffic_sign,2.0,0.0,0.0
traffic_sign,4.0,0.0,0.0
trailer,0.5,0.0,0.0
trailer,1.0,0.0,0.0
trailer,2.0,0.0,0.0
trailer,4.0,0.0,0.0
truck,0.5,0.0,0.0
truck,1.0,0.0,0.0
truck,2.0,0.0,0.0
truck,4.0,0.0,0.0058397176150117615
