sample_token,one_camera_boxes,four_camera_boxes,exactly_retained_boxes,added_boxes,removed_boxes
0113d3fc23954918ab040dd627bb4b0f,9,131,9,122,0
0556486618ae429895ef8caa898ee953,10,20,10,10,0
09620b9499344b80a7870dc1b80cb4ed,3,109,3,106,0
1393759bf6ff4f8e88deff0da0dc2aca,53,159,53,106,0
188173f8e91a4090a439f6038577bf1d,0,86,0,86,0
2575a0787cf74a83ab4e558ba732b8d4,11,57,11,46,0
25b220729c6b4209804da4a588c3c84c,3,115,3,112,0
25d2fdbc5fab4e93b80c4064eb60fa38,0,1,0,1,0
268efcebbf824f24b960d30a7162183b,0,101,0,101,0
2e9658149ff64abe863691ca1ab21659,5,13,5,8,0
30408918ea7844f589bcb7b3f5b0cb17,0,91,0,91,0
31a1c724a02d46a1bbe2b8685fb871a2,8,14,8,6,0
32d2bcf46e734dffb14fe2e0a823d059,53,125,53,72,0
34d0b00f1801498c803ec07dce543b72,10,25,10,15,0
368662645c194921b716c026347db664,38,137,38,99,0
36b65dcf8d8d4266bf5802677195cc15,0,130,0,130,0
38f31e131030482e9d3d398811131fc9,0,90,0,90,0
39dae22600564a6b9c130435f3475a77,11,15,11,4,0
3c15136415cb4333964d4cc2936356dd,4,19,4,15,0
3c7fe0a51cdd45da9a49624782c511f1,45,171,45,126,0
4551a79e00f24684b35672591431ec8c,7,121,7,114,0
4752b1aca7c741f9b932631474a5a1f4,5,10,5,5,0
4a2da2b50d9749bc82bd567c13c6dc79,5,18,5,13,0
500f2b2e4f264f54913ffef41af3e3f3,0,3,0,3,0
5141a31284164a69ac4307cb2b9ae6df,13,124,13,111,0
51c116a371d645668dac1af0a02ee674,0,7,0,7,0
65f73fc2d0c343fc8e5018c4f42219c6,0,6,0,6,0
66ec211e07194e3798d84dfe70729910,1,91,1,90,0
68d8f0410d4342a1a6d2687b0deeb24c,7,18,7,11,0
69c7cd93ec6444f799d8f65f16430e17,12,130,12,118,0
6e2e1eaa68694c8f8c8d11993ec856e7,0,6,0,6,0
6f61d7af183f4094919330d51465c1aa,0,6,0,6,0
6f6b53e9b5144d3eb5efa6759877586e,3,12,3,9,0
7097d2353e914bcf834c196a6a21be63,6,24,6,18,0
7941a96d59d44b35a64d6b5cc2046a2e,5,92,5,87,0
7a7c5575a7c342619ce96378e04038a1,3,15,3,12,0
7e342d779b5d446981801c5dfae2990e,11,22,11,11,0
7fd37cf3b62b49a6a1cd62db392c9575,25,144,25,119,0
8087e38a235948e1a12fc698a2fbd73d,0,3,0,3,0
80ad351eb99e4b28bfbec1105b6ac8eb,3,7,3,4,0
814d7dd86f1a47e28385ee434cdb6b1a,49,167,49,118,0
8502c7bf06fc4f319f1847b4a6e179e7,6,109,6,103,0
85c5ca01cfb34d3e92d1c0c265235d04,8,15,8,7,0
8853f77c7306460e8a319a0e56f1b3fd,6,16,6,10,0
88ad6593a97f46dcaca8401aa7b36d8b,13,70,13,57,0
896fee4da88548658064bbe791974249,9,23,9,14,0
8a1ee4d450f94cfe8b07030adcaddf6b,0,15,0,15,0
8a5f89a6ebaa4d75aa70bf4b31734ea5,41,157,41,116,0
8dbf50814d614cfbb323d8e822654eb1,0,82,0,82,0
8fca58701c884e49b255c3f8eb2846d6,34,153,34,119,0
930001ae599e48d6aabc373742c462a5,7,17,7,10,0
94640f753b284a1c9c0e8694243f60cd,9,65,9,56,0
966d4b3345e945a8a99fd3b0752f42e0,0,114,0,114,0
9b3984d9e3094104a34f06910c521a08,4,10,4,6,0
9bd4a2d0f3ae4c5fbc8f9b25c3a5fc05,9,19,9,10,0
9f765fcab1c54fe19aa84192ba6dab76,9,52,9,43,0
a1bcff3507ba48d991ec098093d75394,49,157,49,108,0
a3c36b28774345169f106bf634cbe1ae,0,3,0,3,0
a42b482121464aa795d24f55400c574f,49,164,49,115,0
a574551be31547e4b7c78ff87c75abb3,52,149,52,97,0
a83f7b2127814ba5a0ded665a015e769,2,8,2,6,0
a9b293108091418c9170311735a14d38,5,16,5,11,0
b18f83cbe8b44e8c80dcac5b4bdf1de5,2,4,2,2,0
b4d713a4172242c2851e8281de40e92e,1,85,1,84,0
b7db9773713a454e8148f86a84ab6a53,3,15,3,12,0
bf5cf015771d44108d314771d3ace51d,6,117,6,111,0
c274731e59da4059ae35fd5e543870cd,45,153,45,108,0
c483d412789d4b13991fc1f36cdd06a8,4,19,4,15,0
c83bd7f9373d4dbda92199888bb50db2,6,13,6,7,0
cf37919cc2204541a25798673dc06bdb,0,105,0,105,0
d6faf332666e480aa7391cf082b0267c,2,107,2,105,0
db2c0e4d75654d4db21937c518e75957,3,17,3,14,0
db8f3abb2d1440889ce9d8a759ce855e,3,11,3,8,0
de022c96a11f48ee9a677c4147696a42,11,87,11,76,0
deb7b3f332f042d49e7636d6e4959354,50,136,50,86,0
e070823623784061a8cba3a3849f218e,1,14,1,13,0
e12831dd0e5040abaced46ee13f3c414,6,21,6,15,0
e8d9d7b84b384c95ad0eff56dc1f0a99,39,134,39,95,0
f1c03220990143e19b983bf3da478764,43,152,43,109,0
f52dde90d62b4d3a9024e9280cb73179,4,8,4,4,0
