source,region,band_m,count,denominator,sample_count
LIDAR_LEFT,all_azimuth,0-50,25811921,31106933,400
LIDAR_LEFT,all_azimuth,50-100,4190125,31106933,400
LIDAR_LEFT,all_azimuth,100-150,794582,31106933,400
LIDAR_LEFT,all_azimuth,150-400,310305,31106933,400
LIDAR_LEFT,all_azimuth,>=400,0,31106933,400
LIDAR_LEFT,forward_30deg,0-50,8375118,9708528,400
LIDAR_LEFT,forward_30deg,50-100,1020495,9708528,400
LIDAR_LEFT,forward_30deg,100-150,239502,9708528,400
LIDAR_LEFT,forward_30deg,150-400,73413,9708528,400
LIDAR_LEFT,forward_30deg,>=400,0,9708528,400
LIDAR_TOP_FRONT,all_azimuth,0-50,6736595,6744074,400
LIDAR_TOP_FRONT,all_azimuth,50-100,7043,6744074,400
LIDAR_TOP_FRONT,all_azimuth,100-150,361,6744074,400
LIDAR_TOP_FRONT,all_azimuth,150-400,75,6744074,400
LIDAR_TOP_FRONT,all_azimuth,>=400,0,6744074,400
LIDAR_TOP_FRONT,forward_30deg,0-50,4727013,4727142,400
LIDAR_TOP_FRONT,forward_30deg,50-100,128,4727142,400
LIDAR_TOP_FRONT,forward_30deg,100-150,0,4727142,400
LIDAR_TOP_FRONT,forward_30deg,150-400,1,4727142,400
LIDAR_TOP_FRONT,forward_30deg,>=400,0,4727142,400
RADAR_LEFT_FRONT,all_azimuth,0-50,61743,201136,400
RADAR_LEFT_FRONT,all_azimuth,50-100,71455,201136,400
RADAR_LEFT_FRONT,all_azimuth,100-150,46397,201136,400
RADAR_LEFT_FRONT,all_azimuth,150-400,21541,201136,400
RADAR_LEFT_FRONT,all_azimuth,>=400,0,201136,400
RADAR_LEFT_FRONT,forward_30deg,0-50,41151,147829,400
RADAR_LEFT_FRONT,forward_30deg,50-100,53774,147829,400
RADAR_LEFT_FRONT,forward_30deg,100-150,35890,147829,400
RADAR_LEFT_FRONT,forward_30deg,150-400,17014,147829,400
RADAR_LEFT_FRONT,forward_30deg,>=400,0,147829,400
ground_truth,all_azimuth,0-50,10245,25511,400
ground_truth,all_azimuth,50-100,8470,25511,400
ground_truth,all_azimuth,100-150,4420,25511,400
ground_truth,all_azimuth,150-400,2376,25511,400
ground_truth,all_azimuth,>=400,0,25511,400
ground_truth,forward_30deg,0-50,2562,8759,400
ground_truth,forward_30deg,50-100,2996,8759,400
ground_truth,forward_30deg,100-150,1937,8759,400
ground_truth,forward_30deg,150-400,1264,8759,400
ground_truth,forward_30deg,>=400,0,8759,400
