source,class,band_m,count
ground_truth,animal,0-50,19
ground_truth,animal,50-100,9
ground_truth,animal,100-150,3
ground_truth,animal,150-400,0
ground_truth,animal,>=400,0
ground_truth,barrier,0-50,22
ground_truth,barrier,50-100,10
ground_truth,barrier,100-150,7
ground_truth,barrier,150-400,3
ground_truth,barrier,>=400,0
ground_truth,bicycle,0-50,111
ground_truth,bicycle,50-100,13
ground_truth,bicycle,100-150,7
ground_truth,bicycle,150-400,3
ground_truth,bicycle,>=400,0
ground_truth,bus,0-50,185
ground_truth,bus,50-100,145
ground_truth,bus,100-150,30
ground_truth,bus,150-400,19
ground_truth,bus,>=400,0
ground_truth,car,0-50,3624
ground_truth,car,50-100,4473
ground_truth,car,100-150,2545
ground_truth,car,150-400,1169
ground_truth,car,>=400,0
ground_truth,motorcycle,0-50,28
ground_truth,motorcycle,50-100,26
ground_truth,motorcycle,100-150,24
ground_truth,motorcycle,150-400,2
ground_truth,motorcycle,>=400,0
ground_truth,other_vehicle,0-50,137
ground_truth,other_vehicle,50-100,20
ground_truth,other_vehicle,100-150,22
ground_truth,other_vehicle,150-400,20
ground_truth,other_vehicle,>=400,0
ground_truth,pedestrian,0-50,895
ground_truth,pedestrian,50-100,231
ground_truth,pedestrian,100-150,116
ground_truth,pedestrian,150-400,12
ground_truth,pedestrian,>=400,0
ground_truth,traffic_cone,0-50,254
ground_truth,traffic_cone,50-100,237
ground_truth,traffic_cone,100-150,195
ground_truth,traffic_cone,150-400,171
ground_truth,traffic_cone,>=400,0
ground_truth,traffic_sign,0-50,3021
ground_truth,traffic_sign,50-100,2302
ground_truth,traffic_sign,100-150,902
ground_truth,traffic_sign,150-400,441
ground_truth,traffic_sign,>=400,0
ground_truth,trailer,0-50,1063
ground_truth,trailer,50-100,373
ground_truth,trailer,100-150,213
ground_truth,trailer,150-400,179
ground_truth,trailer,>=400,0
ground_truth,truck,0-50,886
ground_truth,truck,50-100,631
ground_truth,truck,100-150,356
ground_truth,truck,150-400,357
ground_truth,truck,>=400,0
