group,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
human.pedestrian.adult,7,3,1,7,0,0,7,0,0,100.0,0.0,100.0,151.83343151487963,172.49581677456774
human.pedestrian.construction_worker,5,1,1,5,0,0,5,0,0,100.0,0.0,100.0,163.26614617944938,203.2730878939659
movable_object.barrier,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,169.16267041698882,177.34943401028409
movable_object.trafficcone,170,50,2,156,0,0,156,0,14,91.76470588235294,0.0,91.76470588235294,150.4090177666509,223.08859349302594
static_object.traffic_sign,427,71,7,411,63,63,348,0,16,96.25292740046838,14.754098360655737,81.49882903981265,150.00948473263907,224.38006738934413
vehicle.bicycle,2,1,1,2,1,1,1,0,0,100.0,50.0,50.0,152.47270811654,158.13781564282644
vehicle.bus.rigid,17,3,3,14,9,9,5,0,3,82.35294117647058,52.94117647058824,29.411764705882348,150.73989756634435,220.78214850317624
vehicle.car,1133,214,7,988,125,120,868,5,140,87.20211827007944,11.032656663724625,76.1694616063548,150.05681029796702,226.84401081084647
vehicle.construction,14,2,1,14,7,7,7,0,0,100.0,50.0,50.0,156.01409936125535,214.8171436720205
vehicle.motorcycle,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,152.92324720038215,156.93649967607854
vehicle.other,6,1,1,6,1,1,5,0,0,100.0,16.666666666666664,83.33333333333334,150.88976136300818,209.55825989251767
vehicle.trailer,177,41,5,172,46,46,126,0,5,97.17514124293785,25.98870056497175,71.18644067796612,150.0106029512012,227.4924309082738
vehicle.truck,347,47,5,339,98,97,242,1,7,97.69452449567724,28.24207492795389,69.45244956772333,150.1505883465511,229.4177589511211
