cohort,margin_m,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
all,0,1,2309,436,9,2118,350,344,1774,6,185,91.72802078822001,15.158077089649199,76.56994369857081,150.00948473263907,229.4177589511211
all,0,3,2309,436,9,1588,57,56,1532,1,720,68.77436119532265,2.468601126028584,66.30576006929407,150.00948473263907,229.4177589511211
all,0,5,2309,436,9,1215,13,13,1202,0,1094,52.620181896925075,0.563014291901256,52.05716760502382,150.00948473263907,229.4177589511211
vehicles,0,1,1698,310,9,1537,287,281,1256,6,155,90.51825677267374,16.90223792697291,73.61601884570082,150.0106029512012,229.4177589511211
vehicles,0,3,1698,310,9,1168,44,43,1125,1,529,68.78680800942286,2.5912838633686692,66.19552414605418,150.0106029512012,229.4177589511211
vehicles,0,5,1698,310,9,866,12,12,854,0,832,51.001177856301524,0.7067137809187279,50.29446407538279,150.0106029512012,229.4177589511211
cars,0,1,1133,214,7,988,125,120,868,5,140,87.20211827007944,11.032656663724625,76.1694616063548,150.05681029796702,226.84401081084647
cars,0,3,1133,214,7,687,7,6,681,1,445,60.635481023830536,0.617828773168579,60.01765225066195,150.05681029796702,226.84401081084647
cars,0,5,1133,214,7,447,0,0,447,0,686,39.45278022947926,0.0,39.45278022947926,150.05681029796702,226.84401081084647
trucks,0,1,347,47,5,339,98,97,242,1,7,97.69452449567724,28.24207492795389,69.45244956772333,150.1505883465511,229.4177589511211
trucks,0,3,347,47,5,301,15,15,286,0,46,86.74351585014409,4.322766570605188,82.42074927953891,150.1505883465511,229.4177589511211
trucks,0,5,347,47,5,266,5,5,261,0,81,76.657060518732,1.440922190201729,75.21613832853026,150.1505883465511,229.4177589511211
forward_30deg,0,1,1237,248,8,1128,227,224,904,3,106,91.18835893290218,18.350848827809216,72.83751010509296,150.06673187548574,229.4177589511211
forward_30deg,0,3,1237,248,8,891,32,31,860,1,345,72.02910266774454,2.5869037995149555,69.44219886822958,150.06673187548574,229.4177589511211
forward_30deg,0,5,1237,248,8,716,6,6,710,0,521,57.88197251414713,0.4850444624090542,57.39692805173807,150.06673187548574,229.4177589511211
front_180deg,0,1,1311,263,8,1197,247,242,955,5,109,91.30434782608695,18.84057971014493,72.46376811594202,150.06673187548574,229.4177589511211
front_180deg,0,3,1311,263,8,945,33,32,913,1,365,72.08237986270024,2.517162471395881,69.56521739130434,150.06673187548574,229.4177589511211
front_180deg,0,5,1311,263,8,756,6,6,750,0,555,57.66590389016019,0.4576659038901602,57.20823798627003,150.06673187548574,229.4177589511211
rear_180deg,0,1,998,242,8,921,103,102,819,1,76,92.28456913827655,10.32064128256513,81.96392785571142,150.00948473263907,221.18164881978126
rear_180deg,0,3,998,242,8,643,24,24,619,0,355,64.42885771543087,2.404809619238477,62.02404809619239,150.00948473263907,221.18164881978126
rear_180deg,0,5,998,242,8,459,7,7,452,0,539,45.99198396793587,0.7014028056112225,45.29058116232465,150.00948473263907,221.18164881978126
within_150_180,0,1,1258,403,9,1172,278,274,898,4,82,93.1637519872814,22.098569157392685,71.06518282988871,150.00948473263907,179.9784108450282
