instance_token,category,scene,observations,instances,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
00abb15b0e4d47e5a5730db84bef3bc5,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,13,1,13,8,8,5,0,0,100.0,61.53846153846154,38.46153846153846,152.0594303908426,185.49154493237467
00ea51a4b9fc404b83e7f32473636cef,vehicle.car,scene-fb64d203d417452f830ca73efed80c41-11,9,1,9,1,1,8,0,0,100.0,11.11111111111111,88.88888888888889,156.53084557443896,210.71391674518378
01483ac3dcd94155bd01e92f88e7a4b7,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,18,1,17,10,10,7,0,1,94.44444444444444,55.55555555555556,38.888888888888886,151.34113131712624,215.76486001852194
02ae606ec238484f82c960712a0a9563,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,2,1,2,0,0,2,0,0,100.0,0.0,100.0,159.99784015865103,192.22505594403893
040279494d2e4137abc0d558329cdf34,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,2,1,1,0,0,1,0,1,50.0,0.0,50.0,150.81712106131724,163.8391234062536
043a5828f8a14d9da6e7bd19e33aae75,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,2,1,2,0,0,2,0,0,100.0,0.0,100.0,155.85958604923823,164.11639114540625
0461949a6fc34a79b52120ad1d251da7,vehicle.car,scene-fb64d203d417452f830ca73efed80c41-11,7,1,5,0,0,5,0,2,71.42857142857143,0.0,71.42857142857143,154.07900808048427,214.54773149317273
048b30a35ee9420083473c74fa85efe3,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,1,1,1,0,0,1,0,0,100.0,0.0,100.0,223.0763504692456,223.0763504692456
04aa8aee61694695ae0db679f66ecf4a,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,2,1,2,1,1,1,0,0,100.0,50.0,50.0,167.47848483441956,197.27288339631016
0753bd587dc44016b7745efe3f8eeb1f,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,5,1,4,0,0,4,0,1,80.0,0.0,80.0,153.30130984517643,223.13810090979322
084229af40af4f439537870bfc538c90,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,22,1,21,0,0,21,0,1,95.45454545454545,0.0,95.45454545454545,152.30642101547048,222.1359436738044
087377c006b54eaeb1f20ab10043638b,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,176.97544400911738,194.55389742430575
0a746b650bfd4b508451d5b13ae0ed53,human.pedestrian.adult,scene-23160c4bff134cdd86b96ee822b4aca9-14,2,1,2,0,0,2,0,0,100.0,0.0,100.0,168.12706282949725,172.49581677456774
0b3094cec0d842bc9d873b4b8734f5d2,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,176.99685114753706,194.6643846243334
0b893c9c90b34190965185c5e97460b8,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,1,1,1,0,0,1,0,0,100.0,0.0,100.0,215.19465440711085,215.19465440711085
0c5416a588f44b599d60797e2183a415,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,6,1,6,1,1,5,0,0,100.0,16.666666666666664,83.33333333333334,152.91463097932615,214.77190724360668
0c6dbdf7ede24ab5873dafa3923e33c8,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,0,0,4,0,0,100.0,0.0,100.0,164.00470306158863,216.52711858998546
0e0c4c7b42794e759d964984f37ef643,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,3,1,3,0,0,3,0,0,100.0,0.0,100.0,152.73680544351467,158.68399000315915
0e0f4696cb7747b4b62bb0654f48323d,vehicle.trailer,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,3,0,0,3,0,0,100.0,0.0,100.0,163.7492972396924,210.3780227391491
0ea157fd295e43db9cc398c40982cc94,movable_object.trafficcone,scene-3195e3bfd1de4f9ba82f874790c7856c-15,2,1,1,0,0,1,0,1,50.0,0.0,50.0,155.22510635112192,166.87512369092516
0f899343365e4064b43fe3972ea21af1,static_object.traffic_sign,scene-b201f6e737e34c2d87830fc1e2911516-6,3,1,2,0,0,2,0,1,66.66666666666666,0.0,66.66666666666666,151.0400007603081,157.91507717575186
1013ff3870fc4c5d9d33fe9779192e1e,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,171.1228470571072,188.79032010704705
1065c12c3b95416f80b6f4bf7316664d,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,3,1,3,0,0,3,0,0,100.0,0.0,100.0,153.66949765340723,160.8650075046603
118b3f5ad6ae474a9df1cf94d1443546,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,18,1,18,5,5,13,0,0,100.0,27.77777777777778,72.22222222222221,152.5649136666167,208.79919834685154
124ca67f3ff04b3d81be98b6fafba64f,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,1,0,0,1,0,2,33.33333333333333,0.0,33.33333333333333,169.26460944040778,208.6089031190352
14454cd02a8c489fabfc38ea2701e9e3,vehicle.truck,scene-b201f6e737e34c2d87830fc1e2911516-6,17,1,16,7,7,9,0,1,94.11764705882352,41.17647058823529,52.94117647058824,159.86385746086785,180.09045877567408
14db312b4795434780f50e1728ba4601,vehicle.trailer,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,1,1,1,0,0,1,0,0,100.0,0.0,100.0,169.07564803863232,169.07564803863232
