class,band_m,box_observations,unique_instances,samples,lidar_supported,radar_supported,both_supported,neither_supported,radar_support_percent,median_lidar_points,median_radar_points
animal,0-50,19,1,19,19,2,2,0,10.526315789473683,35.0,0.0
animal,100-150,3,1,3,3,0,0,0,0.0,1.0,0.0
animal,50-100,9,1,9,9,1,1,0,11.11111111111111,3.0,0.0
human.pedestrian.adult,0-50,673,29,184,673,333,333,0,49.47994056463596,65.0,0.0
human.pedestrian.adult,100-150,110,13,56,110,0,0,0,0.0,3.0,0.0
human.pedestrian.adult,150-400,7,3,7,7,0,0,0,0.0,1.0,0.0
human.pedestrian.adult,50-100,210,26,122,210,52,52,0,24.761904761904763,14.0,0.0
human.pedestrian.child,0-50,67,4,44,67,34,34,0,50.74626865671642,31.0,1.0
human.pedestrian.child,50-100,15,2,15,15,4,4,0,26.666666666666668,9.0,0.0
human.pedestrian.construction_worker,0-50,155,5,43,155,48,48,0,30.967741935483872,78.0,0.0
human.pedestrian.construction_worker,100-150,6,1,6,6,0,0,0,0.0,10.5,0.0
human.pedestrian.construction_worker,150-400,5,1,5,5,0,0,0,0.0,6.0,0.0
human.pedestrian.construction_worker,50-100,6,1,6,6,2,2,0,33.33333333333333,21.5,0.0
human.pedestrian.stroller,0-50,13,1,13,13,7,7,0,53.84615384615385,27.0,1.0
human.pedestrian.stroller,100-150,7,1,7,7,2,2,0,28.57142857142857,4.0,0.0
human.pedestrian.stroller,50-100,19,1,19,19,3,3,0,15.789473684210526,5.0,0.0
movable_object.barrier,0-50,22,2,22,22,6,6,0,27.27272727272727,78.5,0.0
movable_object.barrier,100-150,7,1,7,7,0,0,0,0.0,3.0,0.0
movable_object.barrier,150-400,3,1,3,3,0,0,0,0.0,1.0,0.0
movable_object.barrier,50-100,10,1,10,10,1,1,0,10.0,20.5,0.0
movable_object.trafficcone,0-50,254,39,53,254,55,55,0,21.653543307086615,45.5,0.0
movable_object.trafficcone,100-150,195,49,41,195,2,2,0,1.0256410256410255,6.0,0.0
movable_object.trafficcone,150-400,171,50,39,171,0,0,0,0.0,3.0,0.0
movable_object.trafficcone,50-100,237,46,48,237,4,4,0,1.6877637130801686,13.0,0.0
static_object.traffic_sign,0-50,3021,170,316,3021,1017,1017,0,33.664349553128105,86.0,0.0
static_object.traffic_sign,100-150,902,111,251,902,129,129,0,14.301552106430155,12.0,0.0
static_object.traffic_sign,150-400,441,72,219,441,66,66,0,14.965986394557824,10.0,0.0
static_object.traffic_sign,50-100,2302,187,299,2302,368,368,0,15.986099044309295,22.0,0.0
vehicle.bicycle,0-50,111,10,83,111,78,78,0,70.27027027027027,100.0,1.0
vehicle.bicycle,100-150,7,1,7,7,3,3,0,42.857142857142854,6.0,0.0
vehicle.bicycle,150-400,3,1,3,3,1,1,0,33.33333333333333,4.0,0.0
vehicle.bicycle,50-100,13,2,13,13,1,1,0,7.6923076923076925,14.0,0.0
vehicle.bus.rigid,0-50,185,7,41,185,152,152,0,82.16216216216216,243.0,3.0
vehicle.bus.rigid,100-150,30,2,30,30,26,26,0,86.66666666666667,93.0,3.0
vehicle.bus.rigid,150-400,19,3,19,19,10,10,0,52.63157894736842,23.0,1.0
vehicle.bus.rigid,50-100,145,11,56,145,115,115,0,79.3103448275862,45.0,2.0
vehicle.car,0-50,3624,269,400,3624,3001,3001,0,82.80905077262693,307.0,2.0
vehicle.car,100-150,2545,342,297,2545,641,641,0,25.18664047151277,8.0,0.0
vehicle.car,150-400,1169,217,271,1169,130,130,0,11.120615911035072,5.0,0.0
vehicle.car,50-100,4473,408,342,4473,2108,2108,0,47.12720769058797,24.0,0.0
vehicle.construction,0-50,90,3,90,90,50,50,0,55.55555555555556,669.5,10.0
vehicle.construction,100-150,15,2,13,15,14,14,0,93.33333333333333,42.0,2.0
vehicle.construction,150-400,14,2,14,14,7,7,0,50.0,11.0,0.5
vehicle.construction,50-100,13,2,13,13,13,13,0,100.0,205.0,4.0
vehicle.ego_trailer,0-50,360,9,360,360,336,336,0,93.33333333333333,7034.0,6.0
vehicle.motorcycle,0-50,28,2,28,28,22,22,0,78.57142857142857,296.0,2.0
vehicle.motorcycle,100-150,24,2,24,24,3,3,0,12.5,18.0,0.0
vehicle.motorcycle,150-400,2,1,2,2,0,0,0,0.0,12.5,0.0
vehicle.motorcycle,50-100,26,2,26,26,5,5,0,19.230769230769234,46.0,0.0
vehicle.other,0-50,47,2,47,47,47,47,0,100.0,319.0,4.0
vehicle.other,100-150,7,1,7,7,4,4,0,57.14285714285714,34.0,1.0
vehicle.other,150-400,6,1,6,6,1,1,0,16.666666666666664,10.0,0.0
vehicle.other,50-100,7,1,7,7,6,6,0,85.71428571428571,102.0,3.0
vehicle.trailer,0-50,703,53,267,703,668,668,0,95.02133712660029,2253.0,12.0
vehicle.trailer,100-150,213,47,131,213,146,146,0,68.54460093896714,32.0,2.0
vehicle.trailer,150-400,179,41,91,179,47,47,0,26.256983240223462,10.0,0.0
vehicle.trailer,50-100,373,54,211,373,308,308,0,82.57372654155496,109.0,4.0
vehicle.train,0-50,200,5,40,200,200,200,0,100.0,12030.5,9.0
vehicle.truck,0-50,886,56,302,886,866,866,0,97.74266365688487,1508.0,9.0
vehicle.truck,100-150,356,53,191,356,239,239,0,67.13483146067416,21.0,1.0
vehicle.truck,150-400,357,47,140,357,101,101,0,28.291316526610643,11.0,0.0
vehicle.truck,50-100,631,62,292,631,575,575,0,91.12519809825673,137.0,4.0
