annotation_token,instance_token,sample_token,scene,class,range_m,band_m,lidar_points,radar_points
963559d5365a41c18083075942820860,0146b783c52d478983cc0e7813d193a0,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,89.91608834067353,50-100,10,1
99051b9190df4927ba1f0a58634f1b36,0a128df0bef94cf69eb33b3075ddb710,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,30.03261105878029,0-50,200,1
743451578f0a4e2d86a3a54944eb4643,0f899343365e4064b43fe3972ea21af1,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,static_object.traffic_sign,87.24084204374105,50-100,36,0
2963ad2a2e4c41b5a99b9de3c669fe2c,120b08c210b14ef3810d59639d8a3e91,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,10.423704561691396,0-50,717,0
f6e780a99df64a238b226429e066e85a,1224f7a1115b4dbaa98e80f9141972dd,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,70.97146768443287,50-100,9,0
917d46cdd70e405581b35a62c2cca902,1bd57a81ff4a4e70a6671cbc563cc5bb,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,200.7949476239435,150-400,2,0
d65631ce626c4d619b01ab94b47bb3f1,209ef3d11c35416bb07d8d54821db3de,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,101.59047263038202,100-150,12,0
6fb6cadba88647fe96b78c3b1703b38e,25b9df0ed2d64b24b1dac5aad14e0fdd,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,179.47122426086355,150-400,3,0
ab1d1dfafa9b45c0be573138fb9da102,25d1f210b6d64957baf0cc884691c732,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,static_object.traffic_sign,106.49920388036807,100-150,60,5
a6ddf80a82a942ddb424d7b8c21eb60a,2efd73b530b9472a9728bb6070df0b15,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,127.37439471292157,100-150,2,0
e00d5019158c44e4a05663858203887d,3072746101794e748a08eeab5afa2179,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.truck,90.59287320301779,50-100,125,7
0b11f3e83f0f4d81af3eeaaeb79ae90a,32733368b2654bd3816d201b4a39fab6,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,68.09869445527623,50-100,137,2
7df25e894e2d4e098603851c547db10c,3290adc624bb407fbf94fa15428e7707,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,124.18384201289655,100-150,4,0
997bd80917e74e66a93acbb5381089d4,33648aedba8b46d1853f6c7dee2b5235,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,99.30123165663626,50-100,22,0
342c11b229194d45ae91e64a054d7d83,3690e1061eeb451f82075bdb78bc8d69,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.ego_trailer,4.821882913301189,0-50,7440,6
f9185e65c717401d9d9361ddb55c5608,3acd5ebdc97a44f4a56fc71ef98c417f,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,167.81820879655314,150-400,2,0
034e1963f55844e991562f68e8b05282,468ac17c10ef4e36bfb1ff4d5531bfc1,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,41.387647848477336,0-50,155,3
aac96769152c45378fb9c4ebac43984a,4baa7bd5831f446c8b7d12d0d0b4c2cc,0085b50c1d064bbba1c214e4d712d514,scene-b201f6e737e34c2d87830fc1e2911516-6,vehicle.car,117.32249628996018,100-150,9,1
