scene,band_m,box_observations,unique_instances,samples,lidar_supported,radar_supported,both_supported,neither_supported,radar_support_percent,median_lidar_points,median_radar_points
scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,40,1241,1081,1081,0,87.1071716357776,683.0,4.0
scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,26,44,27,27,0,61.36363636363637,155.5,1.5
scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,294,51,40,294,191,191,0,64.96598639455783,381.5,1.0
scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,281,60,40,281,86,86,0,30.604982206405694,16.0,0.0
scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,326,61,40,326,57,57,0,17.484662576687114,8.0,0.0
scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,388,59,40,388,184,184,0,47.42268041237113,57.0,0.0
scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,40,1513,854,854,0,56.44415069398546,116.0,1.0
scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,40,774,80,80,0,10.335917312661499,4.0,0.0
scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,40,198,13,13,0,6.565656565656567,4.0,0.0
scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,40,1723,352,352,0,20.429483459082995,16.0,0.0
scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,40,396,287,287,0,72.47474747474747,572.0,2.0
scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,40,404,191,191,0,47.277227722772274,20.0,0.0
scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,40,363,62,62,0,17.079889807162534,8.0,0.0
scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,40,369,218,218,0,59.078590785907856,48.0,1.0
scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,40,847,524,524,0,61.86540731995277,278.0,1.0
scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,40,816,277,277,0,33.94607843137255,11.0,0.0
scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,40,816,105,105,0,12.867647058823529,6.0,0.0
scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,40,890,404,404,0,45.39325842696629,35.0,0.0
scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,40,592,352,352,0,59.45945945945946,888.0,1.0
scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,10,10,5,5,0,50.0,61.5,0.5
scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,14,14,6,6,0,42.857142857142854,19.0,0.0
scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,12,21,18,18,0,85.71428571428571,114.0,1.0
scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,40,1561,945,945,0,60.53811659192825,153.0,1.0
scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,40,653,164,164,0,25.114854517611025,10.0,0.0
scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,40,141,21,21,0,14.893617021276595,5.0,0.0
scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,40,1566,607,607,0,38.76117496807152,27.0,0.0
scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,40,1619,930,930,0,57.442865966646075,94.0,1.0
scene-b13542304b244af585a646082c57a079-1,100-150,42,12,27,42,20,20,0,47.61904761904761,6.5,0.0
scene-b13542304b244af585a646082c57a079-1,150-400,3,1,3,3,1,1,0,33.33333333333333,6.0,0.0
scene-b13542304b244af585a646082c57a079-1,50-100,901,66,40,901,548,548,0,60.82130965593785,21.0,1.0
scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,40,842,723,723,0,85.86698337292161,531.0,3.0
scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,40,692,159,159,0,22.976878612716764,7.0,0.0
scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,40,330,58,58,0,17.575757575757574,6.0,0.0
scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,40,1111,539,539,0,48.51485148514851,26.0,0.0
scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,40,1553,1035,1035,0,66.64520283322601,224.0,2.0
scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,40,755,227,227,0,30.066225165562916,10.0,0.0
scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,40,185,40,40,0,21.62162162162162,6.0,0.0
scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,40,1476,669,669,0,45.32520325203252,29.0,0.0
