margin_m,category,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,animal,0-50,19,1,1,17,0,2,0
0.0,animal,0-50,19,1,3,19,0,0,0
0.0,animal,0-50,19,1,5,19,0,0,0
0.0,animal,100-150,3,1,1,0,0,0,3
0.0,animal,100-150,3,1,3,0,0,0,3
0.0,animal,100-150,3,1,5,0,0,0,3
0.0,animal,50-100,9,1,1,8,0,1,0
0.0,animal,50-100,9,1,3,5,0,0,4
0.0,animal,50-100,9,1,5,1,0,0,8
0.0,human.pedestrian.adult,0-50,673,29,1,333,0,333,7
0.0,human.pedestrian.adult,0-50,673,29,3,594,0,62,17
0.0,human.pedestrian.adult,0-50,673,29,5,630,0,13,30
0.0,human.pedestrian.adult,100-150,110,13,1,98,0,0,12
0.0,human.pedestrian.adult,100-150,110,13,3,48,0,0,62
0.0,human.pedestrian.adult,100-150,110,13,5,24,0,0,86
0.0,human.pedestrian.adult,150-400,7,3,1,4,0,0,3
0.0,human.pedestrian.adult,150-400,7,3,3,0,0,0,7
0.0,human.pedestrian.adult,150-400,7,3,5,0,0,0,7
0.0,human.pedestrian.adult,50-100,210,26,1,154,0,52,4
0.0,human.pedestrian.adult,50-100,210,26,3,177,0,2,31
0.0,human.pedestrian.adult,50-100,210,26,5,165,0,0,45
0.0,human.pedestrian.child,0-50,67,4,1,33,0,34,0
0.0,human.pedestrian.child,0-50,67,4,3,59,0,7,1
0.0,human.pedestrian.child,0-50,67,4,5,62,0,2,3
0.0,human.pedestrian.child,50-100,15,2,1,10,0,4,1
0.0,human.pedestrian.child,50-100,15,2,3,10,0,0,5
0.0,human.pedestrian.child,50-100,15,2,5,7,0,0,8
0.0,human.pedestrian.construction_worker,0-50,155,5,1,107,0,48,0
0.0,human.pedestrian.construction_worker,0-50,155,5,3,144,0,11,0
0.0,human.pedestrian.construction_worker,0-50,155,5,5,153,0,2,0
0.0,human.pedestrian.construction_worker,100-150,6,1,1,3,0,0,3
