margin_m,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,0-50,10451,667,1,3310,37,6880,224
0.0,0-50,10451,667,3,5924,6,4069,452
0.0,0-50,10451,667,5,7115,3,2738,595
0.0,100-150,4417,627,1,2438,56,1153,770
0.0,100-150,4417,627,3,2511,11,269,1626
0.0,100-150,4417,627,5,2226,1,92,2098
0.0,150-400,2370,440,1,1291,35,325,719
0.0,150-400,2370,440,3,1126,9,48,1187
0.0,150-400,2370,440,5,913,4,9,1444
0.0,50-100,8483,807,1,4283,67,3496,637
0.0,50-100,8483,807,3,5797,9,1261,1416
0.0,50-100,8483,807,5,5856,3,667,1957
0.5,0-50,10451,667,1,1314,4,9127,6
0.5,0-50,10451,667,3,4723,1,5667,60
0.5,0-50,10451,667,5,6397,4,3935,115
0.5,100-150,4417,627,1,2195,12,2136,74
0.5,100-150,4417,627,3,3154,8,623,632
0.5,100-150,4417,627,5,3041,2,238,1136
0.5,150-400,2370,440,1,1547,5,655,163
0.5,150-400,2370,440,3,1590,1,164,615
0.5,150-400,2370,440,5,1378,1,44,947
0.5,50-100,8483,807,1,2444,16,6001,22
0.5,50-100,8483,807,3,5430,8,2655,390
0.5,50-100,8483,807,5,6382,3,1307,791
