sample_token,channel,modality,region,band_m,count
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,0-50,68232
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,50-100,7879
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,100-150,2616
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,150-400,867
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,0-50,22417
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,50-100,2578
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,100-150,75
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,150-400,415
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,0-50,19858
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,50-100,113
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,0-50,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,50-100,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,0-50,70532
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,50-100,7192
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,100-150,1116
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,150-400,1104
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,0-50,19651
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,50-100,3479
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,100-150,65
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,150-400,881
