margin_m,scene,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,1,154,1,1080,6
0.0,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,3,449,5,775,12
0.0,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,5,608,3,609,21
0.0,scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,1,17,0,27,0
0.0,scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,3,26,0,18,0
0.0,scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,5,34,0,9,1
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,287,51,1,74,4,182,27
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,287,51,3,138,0,109,40
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,287,51,5,163,0,82,42
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,271,60,1,116,6,80,69
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,271,60,3,143,0,18,110
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,271,60,5,137,0,7,127
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,320,61,1,127,6,48,139
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,320,61,3,128,0,12,180
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,320,61,5,110,0,3,207
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,382,59,1,147,5,176,54
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,382,59,3,207,1,93,81
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,382,59,5,216,0,69,97
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,1,637,0,854,22
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,3,1089,0,363,61
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,5,1230,0,196,87
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,1,581,5,75,113
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,3,419,0,1,354
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,5,290,0,0,484
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,1,148,1,12,37
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,3,104,0,0,94
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,5,77,0,0,121
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,1,1253,8,344,118
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,3,1305,2,65,351
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,5,1191,0,22,510
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,1,98,3,284,11
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,3,179,0,197,20
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,5,214,0,158,24
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,1,116,8,183,97
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,3,186,2,84,132
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,5,215,0,28,161
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,1,179,8,54,122
