modality,region,band_m,count
lidar,all_azimuth,0-50,84228556
lidar,all_azimuth,100-150,1535160
lidar,all_azimuth,150-400,533589
lidar,all_azimuth,50-100,7723981
lidar,all_azimuth,>=400,0
lidar,forward_30deg,0-50,28254591
lidar,forward_30deg,100-150,570388
lidar,forward_30deg,150-400,193215
lidar,forward_30deg,50-100,2174557
lidar,forward_30deg,>=400,0
radar,all_azimuth,0-50,359275
radar,all_azimuth,100-150,244865
radar,all_azimuth,150-400,97437
radar,all_azimuth,50-100,440346
radar,all_azimuth,>=400,0
radar,forward_30deg,0-50,97535
radar,forward_30deg,100-150,92285
radar,forward_30deg,150-400,39932
radar,forward_30deg,50-100,136544
radar,forward_30deg,>=400,0
