margin_m,category,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,animal,0-50,19,1,1,17,0,2,0
0.0,animal,0-50,19,1,3,19,0,0,0
0.0,animal,0-50,19,1,5,19,0,0,0
0.0,animal,100-150,3,1,1,2,0,0,1
0.0,animal,100-150,3,1,3,0,0,0,3
0.0,animal,100-150,3,1,5,0,0,0,3
0.0,animal,50-100,9,1,1,8,0,1,0
0.0,animal,50-100,9,1,3,5,0,0,4
0.0,animal,50-100,9,1,5,1,0,0,8
0.0,human.pedestrian.adult,0-50,657,29,1,327,0,326,4
0.0,human.pedestrian.adult,0-50,657,29,3,582,0,60,15
0.0,human.pedestrian.adult,0-50,657,29,5,618,0,13,26
0.0,human.pedestrian.adult,100-150,109,13,1,106,0,0,3
0.0,human.pedestrian.adult,100-150,109,13,3,67,0,0,42
0.0,human.pedestrian.adult,100-150,109,13,5,35,0,0,74
0.0,human.pedestrian.adult,150-400,7,3,1,7,0,0,0
0.0,human.pedestrian.adult,150-400,7,3,3,1,0,0,6
0.0,human.pedestrian.adult,150-400,7,3,5,0,0,0,7
0.0,human.pedestrian.adult,50-100,204,26,1,153,0,51,0
0.0,human.pedestrian.adult,50-100,204,26,3,189,0,2,13
0.0,human.pedestrian.adult,50-100,204,26,5,175,0,0,29
0.0,human.pedestrian.child,0-50,67,4,1,33,1,33,0
0.0,human.pedestrian.child,0-50,67,4,3,57,0,7,3
0.0,human.pedestrian.child,0-50,67,4,5,61,0,2,4
0.0,human.pedestrian.child,50-100,15,2,1,11,0,4,0
0.0,human.pedestrian.child,50-100,15,2,3,13,0,0,2
0.0,human.pedestrian.child,50-100,15,2,5,9,0,0,6
0.0,human.pedestrian.construction_worker,0-50,152,5,1,105,0,47,0
0.0,human.pedestrian.construction_worker,0-50,152,5,3,142,0,10,0
0.0,human.pedestrian.construction_worker,0-50,152,5,5,150,0,2,0
0.0,human.pedestrian.construction_worker,100-150,6,1,1,6,0,0,0
