sample_token,annotation_token,instance_token,scene,category,range_m,band_m,margin_m,lidar_points,radar_points,publisher_lidar_points,publisher_radar_points
32d2bcf46e734dffb14fe2e0a823d059,50873dd5195b47bc9544ac2821e054e0,163b7c695f7243779ef5e5f0fd844063,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.car,23.470573875357278,0-50,0.0,518,2,430,2
32d2bcf46e734dffb14fe2e0a823d059,50873dd5195b47bc9544ac2821e054e0,163b7c695f7243779ef5e5f0fd844063,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.car,23.470573875357278,0-50,0.5,613,2,430,2
32d2bcf46e734dffb14fe2e0a823d059,68d704a733b44e539a773415a25068b7,18b35f704a7d45199d08cbce4ca63d86,scene-0044384af3d8494e913fb8b14915239e-3,human.pedestrian.adult,51.11457998328122,50-100,0.0,48,0,38,0
32d2bcf46e734dffb14fe2e0a823d059,68d704a733b44e539a773415a25068b7,18b35f704a7d45199d08cbce4ca63d86,scene-0044384af3d8494e913fb8b14915239e-3,human.pedestrian.adult,51.11457998328122,50-100,0.5,124,2,38,0
32d2bcf46e734dffb14fe2e0a823d059,7611254877134bf5a2f8c2d1ac182a9f,2619facba2fc43838cb901caf8eaf4f6,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,46.46333800828618,0-50,0.0,381,2,309,2
32d2bcf46e734dffb14fe2e0a823d059,7611254877134bf5a2f8c2d1ac182a9f,2619facba2fc43838cb901caf8eaf4f6,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,46.46333800828618,0-50,0.5,384,7,309,2
32d2bcf46e734dffb14fe2e0a823d059,5122ca161ebd46dfbf07354db109d6a1,299af72bc8cb41df93b03b117071d032,scene-0044384af3d8494e913fb8b14915239e-3,human.pedestrian.adult,20.883651923581706,0-50,0.0,62,0,50,0
32d2bcf46e734dffb14fe2e0a823d059,5122ca161ebd46dfbf07354db109d6a1,299af72bc8cb41df93b03b117071d032,scene-0044384af3d8494e913fb8b14915239e-3,human.pedestrian.adult,20.883651923581706,0-50,0.5,80,0,50,0
32d2bcf46e734dffb14fe2e0a823d059,c4a9dfe7426b43cbaacc425db160137d,314a5bbfa6a44e7482623413114e54bf,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.trailer,42.59628072133902,0-50,0.0,149,8,127,8
32d2bcf46e734dffb14fe2e0a823d059,c4a9dfe7426b43cbaacc425db160137d,314a5bbfa6a44e7482623413114e54bf,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.trailer,42.59628072133902,0-50,0.5,426,13,127,8
32d2bcf46e734dffb14fe2e0a823d059,533fcd99c7e3422dacb8a5f46818c4c4,34dd580c62534e9ebfa697f244af3814,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,55.57918773068889,50-100,0.0,557,3,506,3
32d2bcf46e734dffb14fe2e0a823d059,533fcd99c7e3422dacb8a5f46818c4c4,34dd580c62534e9ebfa697f244af3814,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,55.57918773068889,50-100,0.5,562,7,506,3
32d2bcf46e734dffb14fe2e0a823d059,7735606d59854c41a4d592d6624ff4b5,35b7663c95ed45db9d2455d17cfa36be,scene-0044384af3d8494e913fb8b14915239e-3,movable_object.trafficcone,6.4023483677604975,0-50,0.0,9,0,16,0
32d2bcf46e734dffb14fe2e0a823d059,7735606d59854c41a4d592d6624ff4b5,35b7663c95ed45db9d2455d17cfa36be,scene-0044384af3d8494e913fb8b14915239e-3,movable_object.trafficcone,6.4023483677604975,0-50,0.5,256,0,16,0
32d2bcf46e734dffb14fe2e0a823d059,74afcd8b8b044ed2b572e523b8376186,3bb133db7dee4ece9fda03515316cda2,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,28.636421060928157,0-50,0.0,330,4,298,4
32d2bcf46e734dffb14fe2e0a823d059,74afcd8b8b044ed2b572e523b8376186,3bb133db7dee4ece9fda03515316cda2,scene-0044384af3d8494e913fb8b14915239e-3,vehicle.truck,28.636421060928157,0-50,0.5,477,8,298,4
