margin_m,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,0-50,10220,661,1,3451,5,6748,16
0.0,0-50,10220,661,3,6146,6,3961,107
0.0,0-50,10220,661,5,7363,3,2670,184
0.0,100-150,4332,613,1,2981,16,1166,169
0.0,100-150,4332,613,3,3247,2,270,813
0.0,100-150,4332,613,5,2854,0,91,1387
0.0,150-400,2309,436,1,1774,6,344,185
0.0,150-400,2309,436,3,1532,1,56,720
0.0,150-400,2309,436,5,1202,0,13,1094
0.0,50-100,8256,805,1,4704,12,3448,92
0.0,50-100,8256,805,3,6465,4,1221,566
0.0,50-100,8256,805,5,6602,1,644,1009
0.5,0-50,10220,661,1,1292,1,8921,6
0.5,0-50,10220,661,3,4638,1,5533,48
0.5,0-50,10220,661,5,6285,3,3837,95
0.5,100-150,4332,613,1,2222,2,2104,4
0.5,100-150,4332,613,3,3234,8,610,480
0.5,100-150,4332,613,5,3145,2,234,951
0.5,150-400,2309,436,1,1637,0,646,26
0.5,150-400,2309,436,3,1717,1,161,430
0.5,150-400,2309,436,5,1472,0,45,792
0.5,50-100,8256,805,1,2404,0,5851,1
0.5,50-100,8256,805,3,5344,8,2578,326
0.5,50-100,8256,805,5,6291,3,1262,700
