sample_token,channel,modality,region,band_m,count
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,0-50,68216
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,50-100,7895
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,100-150,2615
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,150-400,868
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,0-50,22447
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,50-100,2579
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,100-150,75
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,150-400,415
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,0-50,19857
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,50-100,114
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,0-50,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,50-100,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,0-50,70541
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,50-100,7184
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,100-150,1115
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,150-400,1104
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,0-50,19635
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,50-100,3470
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,100-150,65
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,150-400,881
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,all_azimuth,0-50,17177
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,all_azimuth,50-100,3
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,all_azimuth,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,forward_30deg,0-50,13277
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,forward_30deg,50-100,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,all_azimuth,0-50,22354
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,all_azimuth,50-100,72
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,all_azimuth,100-150,6
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,forward_30deg,0-50,8602
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,forward_30deg,50-100,72
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,all_azimuth,0-50,18924
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,all_azimuth,50-100,1
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,all_azimuth,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,forward_30deg,0-50,9064
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,forward_30deg,50-100,1
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,lidar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,all_azimuth,0-50,203
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,all_azimuth,50-100,246
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,all_azimuth,100-150,212
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,all_azimuth,150-400,91
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,forward_30deg,0-50,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,forward_30deg,50-100,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,radar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,all_azimuth,0-50,171
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,all_azimuth,50-100,343
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,all_azimuth,100-150,276
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,all_azimuth,150-400,10
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,forward_30deg,0-50,79
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,forward_30deg,50-100,206
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,forward_30deg,100-150,160
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,forward_30deg,150-400,8
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,radar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,all_azimuth,0-50,188
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,all_azimuth,50-100,292
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,all_azimuth,100-150,253
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,all_azimuth,150-400,67
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,forward_30deg,0-50,31
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,forward_30deg,50-100,70
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,forward_30deg,100-150,42
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,forward_30deg,150-400,12
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,radar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,all_azimuth,0-50,228
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,all_azimuth,50-100,428
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,all_azimuth,100-150,144
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,forward_30deg,0-50,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,forward_30deg,50-100,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,forward_30deg,100-150,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,radar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,all_azimuth,0-50,138
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,all_azimuth,50-100,215
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,all_azimuth,100-150,291
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,all_azimuth,150-400,83
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,forward_30deg,0-50,67
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,forward_30deg,50-100,125
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,forward_30deg,100-150,180
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,forward_30deg,150-400,48
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,radar,forward_30deg,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,all_azimuth,0-50,222
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,all_azimuth,50-100,411
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,all_azimuth,100-150,167
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,all_azimuth,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,all_azimuth,>=400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,forward_30deg,0-50,28
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,forward_30deg,50-100,76
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,forward_30deg,100-150,41
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,forward_30deg,150-400,0
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,radar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,all_azimuth,0-50,68970
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,all_azimuth,50-100,8051
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,all_azimuth,100-150,2190
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,all_azimuth,150-400,771
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,forward_30deg,0-50,22759
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,forward_30deg,50-100,2516
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,forward_30deg,100-150,64
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,forward_30deg,150-400,416
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,lidar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,all_azimuth,0-50,19875
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,all_azimuth,50-100,128
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,all_azimuth,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,all_azimuth,150-400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,forward_30deg,0-50,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,forward_30deg,50-100,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,forward_30deg,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,lidar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,all_azimuth,0-50,70518
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,all_azimuth,50-100,7431
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,all_azimuth,100-150,858
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,all_azimuth,150-400,1082
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,forward_30deg,0-50,20213
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,forward_30deg,50-100,3422
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,forward_30deg,100-150,62
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,forward_30deg,150-400,821
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,lidar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,all_azimuth,0-50,17315
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,all_azimuth,50-100,8
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,all_azimuth,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,all_azimuth,150-400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,forward_30deg,0-50,13651
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,forward_30deg,50-100,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,forward_30deg,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,lidar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,all_azimuth,0-50,22518
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,all_azimuth,50-100,56
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,all_azimuth,100-150,5
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,all_azimuth,150-400,0
