margin_m,scene,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1221,39,1,155,2,1061,3
0.0,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1221,39,3,444,6,762,9
0.0,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1221,39,5,601,3,598,19
0.0,scene-0044384af3d8494e913fb8b14915239e-3,50-100,43,8,1,16,0,27,0
0.0,scene-0044384af3d8494e913fb8b14915239e-3,50-100,43,8,3,25,0,18,0
0.0,scene-0044384af3d8494e913fb8b14915239e-3,50-100,43,8,5,33,0,9,1
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,282,51,1,99,0,183,0
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,282,51,3,172,0,108,2
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,282,51,5,197,0,81,4
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,260,57,1,172,0,81,7
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,260,57,3,211,0,16,33
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,260,57,5,208,0,5,47
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,311,60,1,241,0,52,18
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,311,60,3,222,0,12,77
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,311,60,5,190,0,3,118
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,370,59,1,192,0,174,4
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,370,59,3,271,0,88,11
0.0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,370,59,5,288,0,67,15
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1498,72,1,656,1,841,0
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1498,72,3,1125,0,357,16
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1498,72,5,1278,0,194,26
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,761,82,1,641,3,77,40
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,761,82,3,520,0,1,240
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,761,82,5,369,0,0,392
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,191,41,1,158,1,12,20
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,191,41,3,123,0,0,68
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,191,41,5,89,0,0,102
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1688,125,1,1321,2,342,23
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1688,125,3,1433,1,64,190
0.0,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1688,125,5,1354,0,20,314
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,389,62,1,108,0,281,0
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,389,62,3,196,0,192,1
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,389,62,5,234,0,153,2
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,397,74,1,208,0,188,1
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,397,74,3,287,0,85,25
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,397,74,5,311,0,28,58
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,354,74,1,280,0,59,15
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,354,74,3,253,0,13,88
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,354,74,5,212,0,3,139
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,360,71,1,148,0,212,0
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,360,71,3,253,0,97,10
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,360,71,5,273,0,66,21
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,824,112,1,312,0,512,0
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,824,112,3,481,0,334,9
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,824,112,5,530,0,278,16
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,801,146,1,526,1,268,6
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,801,146,3,620,0,85,96
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,801,146,5,579,0,34,188
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,799,155,1,627,2,102,68
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,799,155,3,491,1,21,286
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,799,155,5,387,0,7,405
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,867,138,1,471,0,393,3
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,867,138,3,609,0,218,40
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,867,138,5,669,0,120,78
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,578,15,1,234,0,342,2
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,578,15,3,305,0,267,6
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,578,15,5,365,0,206,7
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,1,5,0,5,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,3,10,0,0,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,5,10,0,0,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,1,8,0,6,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,3,13,0,0,1
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,5,13,0,0,1
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,19,2,1,2,0,17,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,19,2,3,15,0,3,1
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,19,2,5,16,0,0,3
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1525,107,1,598,2,919,6
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1525,107,3,1051,0,442,32
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1525,107,5,1240,0,243,42
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,635,78,1,447,7,155,26
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,635,78,3,503,0,18,114
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,635,78,5,438,0,7,190
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,136,27,1,108,1,19,8
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,136,27,3,87,0,0,49
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,136,27,5,56,0,0,80
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1535,135,1,921,3,593,18
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1535,135,3,1323,0,144,68
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1535,135,5,1367,0,37,131
0.0,scene-b13542304b244af585a646082c57a079-1,0-50,1574,66,1,670,0,901,3
0.0,scene-b13542304b244af585a646082c57a079-1,0-50,1574,66,3,1120,0,432,22
0.0,scene-b13542304b244af585a646082c57a079-1,0-50,1574,66,5,1312,0,216,46
0.0,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,1,20,0,20,2
0.0,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,3,30,0,4,8
0.0,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,5,26,0,2,14
0.0,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,1,2,0,1,0
0.0,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,3,2,0,1,0
0.0,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,5,3,0,0,0
0.0,scene-b13542304b244af585a646082c57a079-1,50-100,872,66,1,339,1,530,2
0.0,scene-b13542304b244af585a646082c57a079-1,50-100,872,66,3,607,2,210,53
0.0,scene-b13542304b244af585a646082c57a079-1,50-100,872,66,5,642,1,116,113
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,818,59,1,115,0,703,0
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,818,59,3,354,0,463,1
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,818,59,5,506,0,310,2
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,681,76,1,479,1,155,46
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,681,76,3,501,1,31,148
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,681,76,5,413,0,9,259
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,323,43,1,227,1,55,40
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,323,43,3,225,0,5,93
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,323,43,5,163,0,0,160
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1080,92,1,525,3,521,31
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1080,92,3,761,0,212,107
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1080,92,5,747,0,150,183
0.0,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1511,78,1,504,0,1005,2
0.0,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1511,78,3,898,0,604,9
0.0,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1511,78,5,1100,0,391,20
0.0,scene-fb64d203d417452f830ca73efed80c41-11,100-150,745,87,1,483,4,217,41
0.0,scene-fb64d203d417452f830ca73efed80c41-11,100-150,745,87,3,565,1,30,149
0.0,scene-fb64d203d417452f830ca73efed80c41-11,100-150,745,87,5,500,0,6,239
0.0,scene-fb64d203d417452f830ca73efed80c41-11,150-400,178,34,1,123,1,38,16
0.0,scene-fb64d203d417452f830ca73efed80c41-11,150-400,178,34,3,116,0,4,58
0.0,scene-fb64d203d417452f830ca73efed80c41-11,150-400,178,34,5,89,0,0,89
0.0,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1422,109,1,769,3,639,11
0.0,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1422,109,3,1168,1,167,86
0.0,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1422,109,5,1213,0,59,150
0.5,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1221,39,1,72,0,1148,1
0.5,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1221,39,3,327,0,893,1
0.5,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1221,39,5,485,2,731,3
0.5,scene-0044384af3d8494e913fb8b14915239e-3,50-100,43,8,1,1,0,42,0
0.5,scene-0044384af3d8494e913fb8b14915239e-3,50-100,43,8,3,18,0,25,0
0.5,scene-0044384af3d8494e913fb8b14915239e-3,50-100,43,8,5,28,0,14,1
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,282,51,1,35,0,247,0
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,282,51,3,122,0,159,1
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,282,51,5,168,0,113,1
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,260,57,1,109,0,151,0
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,260,57,3,213,0,39,8
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,260,57,5,226,0,14,20
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,311,60,1,222,0,85,4
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,311,60,3,235,0,31,45
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,311,60,5,227,0,10,74
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,370,59,1,99,0,271,0
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,370,59,3,216,0,150,4
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,370,59,5,268,0,93,9
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1498,72,1,189,0,1309,0
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1498,72,3,851,0,639,8
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1498,72,5,1170,0,317,11
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,761,82,1,559,1,200,1
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,761,82,3,552,0,24,185
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,761,82,5,439,0,2,320
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,191,41,1,142,0,45,4
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,191,41,3,129,0,6,56
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,191,41,5,97,0,1,93
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1688,125,1,776,0,912,0
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1688,125,3,1345,0,202,141
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1688,125,5,1374,0,64,250
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,389,62,1,53,0,336,0
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,389,62,3,143,0,245,1
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,389,62,5,193,0,195,1
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,397,74,1,138,0,259,0
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,397,74,3,273,0,118,6
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,397,74,5,311,0,64,22
