sample_token,channel,sample_data_token,calibration_token,acquisition_pose_token,reference_pose_token,sensor_offset_ms
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,9ae8f9fd6cd2458298c82eb6a85119a6,2e6c7b7b7ceb4f69be01f9006cedf58f,524a9fa7e5334630b5b40003626f4f1f,9f5d4bc97327401cabe5726c0deb153e,-10.661
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_REAR,18b4fe677dc7408b84ebd555c559da16,7198b581279c431bad450deaf7669f87,9faca6c977384bfa89607681c37707b9,9f5d4bc97327401cabe5726c0deb153e,-48.185
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_RIGHT,28a12ab75263458a977dd29ca4e54ee2,aefabf5dd96744beb296b9881d60ff8b,b6e6e85aaa084fc6a6cea41c6f8372bd,9f5d4bc97327401cabe5726c0deb153e,14.718
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,1ac1e8bcd1ed4493a73c011dc2441713,f994daad50a14ac49f1468d66eb8db62,9f5d4bc97327401cabe5726c0deb153e,9f5d4bc97327401cabe5726c0deb153e,2.642
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_LEFT,85c18e7eeb3c42f194eba257dcf6d66c,373fca46a765439794d1ecbb5839a161,ad5c0abedf854e4b83031a242d6e0727,9f5d4bc97327401cabe5726c0deb153e,-22.296
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_RIGHT,064d8efa5f31493db10f96dbeef91282,f8849496a35c4af599b8e598afda166d,4a700c43a56e49ebae9b1edea4479f50,9f5d4bc97327401cabe5726c0deb153e,27.979
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_BACK,e940e3abeab34da8833e013c84b52366,326989c743c948bf86229f525d0deb2d,9f5d4bc97327401cabe5726c0deb153e,9f5d4bc97327401cabe5726c0deb153e,6.451
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,1e6375db490e4563b55fce389b06a53b,5e6c5afaa842478db6066e9de8dec1ef,9f5d4bc97327401cabe5726c0deb153e,9f5d4bc97327401cabe5726c0deb153e,6.566
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_SIDE,c58e24c2e644404f85a5c0901d367338,cbecfab3ced24bbeab0a1b1bdd4375a8,9f5d4bc97327401cabe5726c0deb153e,9f5d4bc97327401cabe5726c0deb153e,3.895
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_BACK,c790efd2151d491aae635234a5df26d8,f2c73d43e0994ee8a16f930860856c0e,9f5d4bc97327401cabe5726c0deb153e,9f5d4bc97327401cabe5726c0deb153e,6.221
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_FRONT,36c9a2c6b3ee4d9f9d01c902521cbb27,3126c35b164c459d85e0a0555ccba628,9f5d4bc97327401cabe5726c0deb153e,9f5d4bc97327401cabe5726c0deb153e,3.695
32d2bcf46e734dffb14fe2e0a823d059,RADAR_RIGHT_SIDE,7f3083ba7f2e49678b4ccbc2fd14f590,8bef64c60da74778a5b9ef975c97edb7,9faca6c977384bfa89607681c37707b9,9f5d4bc97327401cabe5726c0deb153e,-44.934
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,b4ba1778d9024363a97415b7252d24c6,2e6c7b7b7ceb4f69be01f9006cedf58f,624030de1ff545e383c19bee1dc64054,7ed9bf4957754ae9965eb434e40f96e8,-10.649
deb7b3f332f042d49e7636d6e4959354,LIDAR_REAR,b00e6cefa6d4481c8f3d06a6b7e28077,7198b581279c431bad450deaf7669f87,d36208094ecd4a01a261930ee7f6f3fd,7ed9bf4957754ae9965eb434e40f96e8,-48.545
deb7b3f332f042d49e7636d6e4959354,LIDAR_RIGHT,658d79529f3b4bf9a0df7b26424ff7de,aefabf5dd96744beb296b9881d60ff8b,1ea2ad4725be421ea3a6bfdb41127037,7ed9bf4957754ae9965eb434e40f96e8,14.059
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,3c17fa04e0e5449f8e35b4a07ccc0ffd,f994daad50a14ac49f1468d66eb8db62,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,2.315
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,5c80a6525c654ef2ab802d5913d58d31,373fca46a765439794d1ecbb5839a161,91769757f626448985e8997809b48010,7ed9bf4957754ae9965eb434e40f96e8,-22.688
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,1585e3b94ba14c3999506c0be2893549,f8849496a35c4af599b8e598afda166d,66064c13037b4b899a8ab7942f6eaf9e,7ed9bf4957754ae9965eb434e40f96e8,27.442
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,1eecf9cdafcd4685ad1c225aecef9faf,326989c743c948bf86229f525d0deb2d,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,4.138
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,7f50e200e03249aab2fda9ddc0c5c952,5e6c5afaa842478db6066e9de8dec1ef,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,4.561
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,f958776edcf543b990d6665ae0442ac8,cbecfab3ced24bbeab0a1b1bdd4375a8,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,5.191
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,bfa9035acde54eb19a17603ae4ca3413,f2c73d43e0994ee8a16f930860856c0e,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,4.217
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,51abcad0829947c5848883611d8f042c,3126c35b164c459d85e0a0555ccba628,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,4.977
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,0363f79b816e424cb4021a6070490baf,8bef64c60da74778a5b9ef975c97edb7,7ed9bf4957754ae9965eb434e40f96e8,7ed9bf4957754ae9965eb434e40f96e8,3.892
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,a3e9e7bdc0974603a571959d2782dfbf,2e6c7b7b7ceb4f69be01f9006cedf58f,ebe5d608af0e46dca4a8daa57a0bf581,e312e478556b4552a4c6bceb4599b629,-10.634
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,b12fc93807b64ee8a5e56633cf872f5e,7198b581279c431bad450deaf7669f87,edba5e2f6d0143dbb0e947ea55aa5a5c,e312e478556b4552a4c6bceb4599b629,-48.015
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,d2715f61498e49328c7ef2bc76c3673e,aefabf5dd96744beb296b9881d60ff8b,d1f5971660b741f28b4cf7c25b4c6b24,e312e478556b4552a4c6bceb4599b629,14.14
