modality,region,band_m,count
lidar,all_azimuth,0-50,82144925
lidar,all_azimuth,100-150,1496698
lidar,all_azimuth,150-400,518178
lidar,all_azimuth,50-100,7534941
lidar,all_azimuth,>=400,0
lidar,forward_30deg,0-50,27589940
lidar,forward_30deg,100-150,553060
lidar,forward_30deg,150-400,187156
lidar,forward_30deg,50-100,2120360
lidar,forward_30deg,>=400,0
radar,all_azimuth,0-50,349908
radar,all_azimuth,100-150,238818
radar,all_azimuth,150-400,94566
radar,all_azimuth,50-100,429387
radar,all_azimuth,>=400,0
radar,forward_30deg,0-50,95046
radar,forward_30deg,100-150,89833
radar,forward_30deg,150-400,38680
radar,forward_30deg,50-100,133181
radar,forward_30deg,>=400,0
