channel,low_m,high_m,count
RADAR_LEFT_BACK,0,5,780
RADAR_LEFT_BACK,5,10,3383
RADAR_LEFT_BACK,10,15,4612
RADAR_LEFT_BACK,15,20,5499
RADAR_LEFT_BACK,20,25,5813
RADAR_LEFT_BACK,25,30,6155
RADAR_LEFT_BACK,30,35,7269
RADAR_LEFT_BACK,35,40,8220
RADAR_LEFT_BACK,40,45,8675
RADAR_LEFT_BACK,45,50,8915
RADAR_LEFT_BACK,50,55,8982
RADAR_LEFT_BACK,55,60,8921
RADAR_LEFT_BACK,60,65,8676
RADAR_LEFT_BACK,65,70,8961
RADAR_LEFT_BACK,70,75,8627
RADAR_LEFT_BACK,75,80,8349
RADAR_LEFT_BACK,80,85,8045
RADAR_LEFT_BACK,85,90,7636
RADAR_LEFT_BACK,90,95,7507
RADAR_LEFT_BACK,95,100,6994
RADAR_LEFT_BACK,100,105,6417
RADAR_LEFT_BACK,105,110,5871
RADAR_LEFT_BACK,110,115,5652
RADAR_LEFT_BACK,115,120,5153
RADAR_LEFT_BACK,120,125,4892
RADAR_LEFT_BACK,125,130,4277
RADAR_LEFT_BACK,130,135,4049
RADAR_LEFT_BACK,135,140,3681
RADAR_LEFT_BACK,140,145,3744
RADAR_LEFT_BACK,145,150,3321
RADAR_LEFT_BACK,150,155,3057
RADAR_LEFT_BACK,155,160,2921
RADAR_LEFT_BACK,160,165,2811
RADAR_LEFT_BACK,165,170,2769
RADAR_LEFT_BACK,170,175,2645
RADAR_LEFT_BACK,175,180,2572
RADAR_LEFT_BACK,180,185,2183
RADAR_LEFT_BACK,185,190,1952
RADAR_LEFT_BACK,190,195,0
RADAR_LEFT_BACK,195,200,0
RADAR_LEFT_BACK,200,205,0
RADAR_LEFT_BACK,205,210,0
RADAR_LEFT_FRONT,0,5,157
RADAR_LEFT_FRONT,5,10,3868
RADAR_LEFT_FRONT,10,15,6632
RADAR_LEFT_FRONT,15,20,7745
RADAR_LEFT_FRONT,20,25,8151
RADAR_LEFT_FRONT,25,30,8478
RADAR_LEFT_FRONT,30,35,8604
RADAR_LEFT_FRONT,35,40,8458
RADAR_LEFT_FRONT,40,45,8232
RADAR_LEFT_FRONT,45,50,7965
RADAR_LEFT_FRONT,50,55,7986
RADAR_LEFT_FRONT,55,60,8052
RADAR_LEFT_FRONT,60,65,7774
RADAR_LEFT_FRONT,65,70,7471
RADAR_LEFT_FRONT,70,75,7238
RADAR_LEFT_FRONT,75,80,6674
RADAR_LEFT_FRONT,80,85,6579
RADAR_LEFT_FRONT,85,90,6173
RADAR_LEFT_FRONT,90,95,6104
RADAR_LEFT_FRONT,95,100,5964
RADAR_LEFT_FRONT,100,105,5760
RADAR_LEFT_FRONT,105,110,5345
RADAR_LEFT_FRONT,110,115,5034
RADAR_LEFT_FRONT,115,120,4949
RADAR_LEFT_FRONT,120,125,4494
RADAR_LEFT_FRONT,125,130,4283
RADAR_LEFT_FRONT,130,135,3949
RADAR_LEFT_FRONT,135,140,3651
RADAR_LEFT_FRONT,140,145,3322
RADAR_LEFT_FRONT,145,150,3138
RADAR_LEFT_FRONT,150,155,2812
RADAR_LEFT_FRONT,155,160,2832
RADAR_LEFT_FRONT,160,165,2578
RADAR_LEFT_FRONT,165,170,2401
RADAR_LEFT_FRONT,170,175,2332
RADAR_LEFT_FRONT,175,180,2140
