source,region,band_m,count,denominator,sample_count
LIDAR_LEFT,all_azimuth,0-50,5002206,6315305,80
LIDAR_LEFT,all_azimuth,50-100,1055307,6315305,80
LIDAR_LEFT,all_azimuth,100-150,172051,6315305,80
LIDAR_LEFT,all_azimuth,150-400,85741,6315305,80
LIDAR_LEFT,all_azimuth,>=400,0,6315305,80
LIDAR_LEFT,forward_30deg,0-50,1627322,1863339,80
LIDAR_LEFT,forward_30deg,50-100,154414,1863339,80
LIDAR_LEFT,forward_30deg,100-150,55236,1863339,80
LIDAR_LEFT,forward_30deg,150-400,26367,1863339,80
LIDAR_LEFT,forward_30deg,>=400,0,1863339,80
LIDAR_TOP_FRONT,all_azimuth,0-50,1526149,1529016,80
LIDAR_TOP_FRONT,all_azimuth,50-100,2845,1529016,80
LIDAR_TOP_FRONT,all_azimuth,100-150,21,1529016,80
LIDAR_TOP_FRONT,all_azimuth,150-400,1,1529016,80
LIDAR_TOP_FRONT,all_azimuth,>=400,0,1529016,80
LIDAR_TOP_FRONT,forward_30deg,0-50,1087872,1087879,80
LIDAR_TOP_FRONT,forward_30deg,50-100,7,1087879,80
LIDAR_TOP_FRONT,forward_30deg,100-150,0,1087879,80
LIDAR_TOP_FRONT,forward_30deg,150-400,0,1087879,80
LIDAR_TOP_FRONT,forward_30deg,>=400,0,1087879,80
RADAR_LEFT_FRONT,all_azimuth,0-50,14435,52198,80
RADAR_LEFT_FRONT,all_azimuth,50-100,18261,52198,80
RADAR_LEFT_FRONT,all_azimuth,100-150,13330,52198,80
RADAR_LEFT_FRONT,all_azimuth,150-400,6172,52198,80
RADAR_LEFT_FRONT,all_azimuth,>=400,0,52198,80
RADAR_LEFT_FRONT,forward_30deg,0-50,9168,37482,80
RADAR_LEFT_FRONT,forward_30deg,50-100,13960,37482,80
RADAR_LEFT_FRONT,forward_30deg,100-150,9711,37482,80
RADAR_LEFT_FRONT,forward_30deg,150-400,4643,37482,80
RADAR_LEFT_FRONT,forward_30deg,>=400,0,37482,80
camera_four,all_azimuth,0-50,3867,5247,80
camera_four,all_azimuth,50-100,1340,5247,80
camera_four,all_azimuth,100-150,33,5247,80
camera_four,all_azimuth,150-400,7,5247,80
camera_four,all_azimuth,>=400,0,5247,80
camera_four,forward_30deg,0-50,813,1286,80
camera_four,forward_30deg,50-100,457,1286,80
camera_four,forward_30deg,100-150,16,1286,80
camera_four,forward_30deg,150-400,0,1286,80
camera_four,forward_30deg,>=400,0,1286,80
camera_one,all_azimuth,0-50,683,959,80
camera_one,all_azimuth,50-100,264,959,80
camera_one,all_azimuth,100-150,12,959,80
camera_one,all_azimuth,150-400,0,959,80
camera_one,all_azimuth,>=400,0,959,80
camera_one,forward_30deg,0-50,385,625,80
camera_one,forward_30deg,50-100,229,625,80
camera_one,forward_30deg,100-150,11,625,80
camera_one,forward_30deg,150-400,0,625,80
camera_one,forward_30deg,>=400,0,625,80
ground_truth,all_azimuth,0-50,1535,2574,80
ground_truth,all_azimuth,50-100,432,2574,80
ground_truth,all_azimuth,100-150,281,2574,80
ground_truth,all_azimuth,150-400,326,2574,80
ground_truth,all_azimuth,>=400,0,2574,80
ground_truth,forward_30deg,0-50,315,824,80
ground_truth,forward_30deg,50-100,173,824,80
ground_truth,forward_30deg,100-150,159,824,80
ground_truth,forward_30deg,150-400,177,824,80
ground_truth,forward_30deg,>=400,0,824,80
