source,class,band_m,count
camera_four,barrier,0-50,1
camera_four,barrier,50-100,0
camera_four,barrier,100-150,0
camera_four,barrier,150-400,0
camera_four,barrier,>=400,0
camera_four,bicycle,0-50,9
camera_four,bicycle,50-100,0
camera_four,bicycle,100-150,0
camera_four,bicycle,150-400,0
camera_four,bicycle,>=400,0
camera_four,bus,0-50,78
camera_four,bus,50-100,4
camera_four,bus,100-150,7
camera_four,bus,150-400,3
camera_four,bus,>=400,0
camera_four,car,0-50,2223
camera_four,car,50-100,921
camera_four,car,100-150,23
camera_four,car,150-400,4
camera_four,car,>=400,0
camera_four,motorcycle,0-50,52
camera_four,motorcycle,50-100,3
camera_four,motorcycle,100-150,0
camera_four,motorcycle,150-400,0
camera_four,motorcycle,>=400,0
camera_four,other_vehicle,0-50,3
camera_four,other_vehicle,50-100,0
camera_four,other_vehicle,100-150,0
camera_four,other_vehicle,150-400,0
camera_four,other_vehicle,>=400,0
camera_four,pedestrian,0-50,222
camera_four,pedestrian,50-100,12
camera_four,pedestrian,100-150,0
camera_four,pedestrian,150-400,0
camera_four,pedestrian,>=400,0
camera_four,traffic_cone,0-50,47
camera_four,traffic_cone,50-100,0
camera_four,traffic_cone,100-150,0
camera_four,traffic_cone,150-400,0
camera_four,traffic_cone,>=400,0
camera_four,trailer,0-50,395
camera_four,trailer,50-100,202
camera_four,trailer,100-150,2
camera_four,trailer,150-400,0
camera_four,trailer,>=400,0
camera_four,truck,0-50,837
camera_four,truck,50-100,198
camera_four,truck,100-150,1
camera_four,truck,150-400,0
camera_four,truck,>=400,0
camera_one,bus,0-50,17
camera_one,bus,50-100,2
camera_one,bus,100-150,3
camera_one,bus,150-400,0
camera_one,bus,>=400,0
camera_one,car,0-50,354
camera_one,car,50-100,69
camera_one,car,100-150,8
camera_one,car,150-400,0
camera_one,car,>=400,0
camera_one,motorcycle,0-50,12
camera_one,motorcycle,50-100,0
camera_one,motorcycle,100-150,0
camera_one,motorcycle,150-400,0
camera_one,motorcycle,>=400,0
camera_one,pedestrian,0-50,90
camera_one,pedestrian,50-100,7
camera_one,pedestrian,100-150,0
camera_one,pedestrian,150-400,0
camera_one,pedestrian,>=400,0
camera_one,trailer,0-50,43
camera_one,trailer,50-100,82
camera_one,trailer,100-150,0
camera_one,trailer,150-400,0
camera_one,trailer,>=400,0
camera_one,truck,0-50,167
camera_one,truck,50-100,104
camera_one,truck,100-150,1
camera_one,truck,150-400,0
camera_one,truck,>=400,0
ground_truth,barrier,0-50,14
ground_truth,barrier,50-100,0
ground_truth,barrier,100-150,0
ground_truth,barrier,150-400,0
ground_truth,barrier,>=400,0
ground_truth,car,0-50,562
ground_truth,car,50-100,202
ground_truth,car,100-150,162
ground_truth,car,150-400,172
ground_truth,car,>=400,0
ground_truth,motorcycle,0-50,20
ground_truth,motorcycle,50-100,12
ground_truth,motorcycle,100-150,8
ground_truth,motorcycle,150-400,0
ground_truth,motorcycle,>=400,0
ground_truth,pedestrian,0-50,130
ground_truth,pedestrian,50-100,2
ground_truth,pedestrian,100-150,0
ground_truth,pedestrian,150-400,0
ground_truth,pedestrian,>=400,0
ground_truth,traffic_cone,0-50,24
ground_truth,traffic_cone,50-100,0
ground_truth,traffic_cone,100-150,0
ground_truth,traffic_cone,150-400,0
ground_truth,traffic_cone,>=400,0
ground_truth,traffic_sign,0-50,96
ground_truth,traffic_sign,50-100,126
ground_truth,traffic_sign,100-150,90
ground_truth,traffic_sign,150-400,110
ground_truth,traffic_sign,>=400,0
ground_truth,trailer,0-50,370
ground_truth,trailer,50-100,27
ground_truth,trailer,100-150,11
ground_truth,trailer,150-400,11
ground_truth,trailer,>=400,0
ground_truth,truck,0-50,319
ground_truth,truck,50-100,63
ground_truth,truck,100-150,10
ground_truth,truck,150-400,33
ground_truth,truck,>=400,0
