sample_token,source,region,band_m,count,denominator
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,all_azimuth,0-50,171,800
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,all_azimuth,50-100,343,800
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,all_azimuth,100-150,276,800
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,all_azimuth,150-400,10,800
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,forward_30deg,0-50,79,453
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,forward_30deg,50-100,206,453
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,forward_30deg,100-150,160,453
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,forward_30deg,150-400,8,453
32d2bcf46e734dffb14fe2e0a823d059,RADAR_LEFT_FRONT,forward_30deg,>=400,0,453
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,all_azimuth,0-50,68232,79594
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,all_azimuth,50-100,7879,79594
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,all_azimuth,100-150,2616,79594
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,all_azimuth,150-400,867,79594
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,all_azimuth,>=400,0,79594
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,forward_30deg,0-50,22417,25485
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,forward_30deg,50-100,2578,25485
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,forward_30deg,100-150,75,25485
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,forward_30deg,150-400,415,25485
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_LEFT,forward_30deg,>=400,0,25485
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,all_azimuth,0-50,17177,17180
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,all_azimuth,50-100,3,17180
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,all_azimuth,100-150,0,17180
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,all_azimuth,150-400,0,17180
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,all_azimuth,>=400,0,17180
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,forward_30deg,0-50,13298,13298
